Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	MmusDv:0000038	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid130
ERROR	deprecated_class_reference	MmusDv:0000038	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid131
ERROR	deprecated_class_reference	MmusDv:0000038	rdfs:subClassOf	MmusDv:0000000
ERROR	deprecated_class_reference	MmusDv:0000043	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid138
ERROR	deprecated_class_reference	MmusDv:0000043	rdfs:subClassOf	MmusDv:0000000
ERROR	deprecated_class_reference	MmusDv:0000044	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid140
ERROR	deprecated_class_reference	MmusDv:0000044	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid141
ERROR	deprecated_class_reference	MmusDv:0000044	rdfs:subClassOf	MmusDv:0000000
ERROR	deprecated_class_reference	MmusDv:0000096	rdfs:subClassOf	3fb6795b-4511-4676-89c9-1abdfff31978genid291
ERROR	deprecated_class_reference	MmusDv:0000096	rdfs:subClassOf	MmusDv:0000000
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/mmusdv.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/mmusdv.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/mmusdv.owl	dc:title	
WARN	duplicate_exact_synonym	MmusDv:0000014	oboInOwl:hasExactSynonym	Theiler stage 9
WARN	duplicate_exact_synonym	MmusDv:0000103	oboInOwl:hasExactSynonym	Theiler stage 9
WARN	duplicate_exact_synonym	MmusDv:0000104	oboInOwl:hasExactSynonym	Theiler stage 9
WARN	missing_definition	MmusDv:0000041	IAO:0000115	
WARN	missing_obsolete_label	MmusDv:0000016	rdfs:label	neurula stage
WARN	missing_obsolete_label	MmusDv:0000030	rdfs:label	post-embryonic developmental stage
WARN	missing_obsolete_label	MmusDv:0000038	rdfs:label	infant stage
WARN	missing_obsolete_label	MmusDv:0000039	rdfs:label	adolescent stage
WARN	missing_obsolete_label	MmusDv:0000040	rdfs:label	adult stage
WARN	missing_obsolete_label	MmusDv:0000043	rdfs:label	immature stage
WARN	missing_obsolete_label	MmusDv:0000044	rdfs:label	1-7 days
WARN	missing_obsolete_label	MmusDv:0000096	rdfs:label	early immature stage
WARN	missing_subset_declaration	obo:mmusdv#granular_stage	rdfs:subPropertyOf	
INFO	lowercase_definition	MmusDv:0000030	IAO:0000115	mouse life cycle that follows the embryonic development stage and during which further organogenesis and histogenesis occur.
INFO	missing_superclass	MmusDv:0000000	rdfs:subClassOf	
