Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	L-methionine (R)-sulfoxide	rdfs:label	L-methionine (R)-sulfoxide
ERROR	duplicate_label	L-methionine (R)-sulfoxide	rdfs:label	L-methionine (R)-sulfoxide
ERROR	duplicate_label	desmosine	rdfs:label	desmosine
ERROR	duplicate_label	desmosine	rdfs:label	desmosine
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/mod.owl	dc:description	
ERROR	missing_label	obo:mod#PSI-MOD-slim	rdfs:label	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/mod.owl	dc:title	
ERROR	misused_replaced_by	glucosylated residue	IAO:0100001	monoglucosylated residue
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/mod.owl	dc:license	
ERROR	duplicate_definition	TMT6plex reporter fragment	IAO:0000115	The protein modification reporter fragment produced by an Proteome Sciences TMT6plex-126 reagent acylated residue.
ERROR	duplicate_definition	TMT6plex-126 reporter fragment	IAO:0000115	The protein modification reporter fragment produced by an Proteome Sciences TMT6plex-126 reagent acylated residue.
ERROR	duplicate_definition	Michael addition of BHT quinone methide to cysteine and lysine	IAO:0000115	modification from Unimod Post-translational
ERROR	duplicate_definition	Levuglandinyl - arginine hydroxylactam adduct	IAO:0000115	modification from Unimod Post-translational
ERROR	duplicate_definition	Levuglandinyl - hydroxylactam adduct, K and N-term	IAO:0000115	modification from Unimod Post-translational
ERROR	duplicate_definition	Levuglandinyl - arginine lactam adduct	IAO:0000115	modification from Unimod Post-translational
ERROR	duplicate_definition	Levuglandinyl - lactam adduct, K and N-term	IAO:0000115	modification from Unimod Post-translational
ERROR	duplicate_definition	thioacylation of primary amines - site N-term	IAO:0000115	modification from Unimod Other -
ERROR	duplicate_definition	thioacylation of primary amines - site K	IAO:0000115	modification from Unimod Other -
ERROR	duplicate_definition	crotonylated L-cysteine	IAO:0000115	modification from Unimod Other -
ERROR	duplicate_definition	crotonylated L-lysine	IAO:0000115	modification from Unimod Other -
ERROR	duplicate_definition	crotonylated L-histidine	IAO:0000115	modification from Unimod Other -
ERROR	duplicate_definition	crotonylated residue	IAO:0000115	modification from Unimod Other
ERROR	duplicate_definition	Michael addition of BHT quinone methide to histidine	IAO:0000115	modification from Unimod Other
ERROR	duplicate_definition	Michael addition of BHT quinone methide to lysine	IAO:0000115	modification from Unimod Other
ERROR	duplicate_definition	Michael addition of BHT quinone methide to cysteine	IAO:0000115	modification from Unimod Other
ERROR	duplicate_definition	biantennary N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation - missing ref
ERROR	duplicate_definition	biantennary (-2 galactose) N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation - missing ref
ERROR	duplicate_definition	biantennary (-1 galactose) N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation - missing ref
ERROR	duplicate_definition	Hex1HexNAc2 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	HexNAc2dHex2 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex1HexNAc2Pent1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex1HexNAc2dHex1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex2HexNAc2 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex3HexNAc1Pent1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex1HexNAc2dHex1Pent1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex1HexNAc2dHex2 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex2HexNAc2Pent1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex2HexNAc2dHex1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex3HexNAc2 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Hex3HexNAc2P1 N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	deglycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	fucosylated biantennary (-2 galactose) N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	fucosylated biantennary (-1 galactose) N4-glycosylated asparagine	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	fucosylated biantennary	IAO:0000115	modification from Unimod N-linked glycosylation
ERROR	duplicate_definition	Bruker Daltonics SERVA-ICPL(TM) quantification chemistry, medium form - site N-term	IAO:0000115	modification from Unimod Isotopic label - Use when labelling post-digest
ERROR	duplicate_definition	Bruker Daltonics SERVA-ICPL(TM) quantification chemistry, medium form - site K	IAO:0000115	modification from Unimod Isotopic label - Use when labelling post-digest
ERROR	duplicate_definition	(18)O monosubstituted L-serine	IAO:0000115	modification from Unimod Isotopic label - alkaline phosphatase to dephosphorylate
ERROR	duplicate_definition	(18)O monosubstituted L-threonine	IAO:0000115	modification from Unimod Isotopic label - alkaline phosphatase to dephosphorylate
ERROR	duplicate_definition	(18)O monosubstituted L-tyrosine	IAO:0000115	modification from Unimod Isotopic label - alkaline phosphatase to dephosphorylate
ERROR	duplicate_definition	N-ethyl iodoacetamide-d5 - site Y	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	N-ethyl iodoacetamide-d5 - site C	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	N-ethyl iodoacetamide-d0 - site C	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	N-ethyl iodoacetamide-d0 - site Y	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	benzoyl labeling reagent light form - site K	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	Sulfanilic Acid (SA), light C12 - site D	IAO:0000115	modification from Unimod Isotopic label -
ERROR	duplicate_definition	Sulfanilic Acid (SA), light C12 - site E	IAO:0000115	modification from Unimod Isotopic label -
