Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	MONDO:0010420	oboInOwl:hasExactSynonym	XLP
WARN	duplicate_exact_synonym	MONDO:0010627	oboInOwl:hasExactSynonym	XLP
WARN	duplicate_exact_synonym	MONDO:0017304	oboInOwl:hasExactSynonym	XLOA
WARN	duplicate_exact_synonym	MONDO:0021019	oboInOwl:hasExactSynonym	XLOA
WARN	duplicate_exact_synonym	MONDO:0006015	oboInOwl:hasExactSynonym	WFS
WARN	duplicate_exact_synonym	MONDO:0018105	oboInOwl:hasExactSynonym	WFS
WARN	duplicate_exact_synonym	MONDO:0005102	oboInOwl:hasExactSynonym	UES
WARN	duplicate_exact_synonym	MONDO:0015795	oboInOwl:hasExactSynonym	UES
WARN	duplicate_exact_synonym	MONDO:0010979	oboInOwl:hasExactSynonym	TS
WARN	duplicate_exact_synonym	MONDO:0016455	oboInOwl:hasExactSynonym	TS
WARN	duplicate_exact_synonym	MONDO:0005473	oboInOwl:hasExactSynonym	TMD
WARN	duplicate_exact_synonym	MONDO:0008040	oboInOwl:hasExactSynonym	TMD
WARN	duplicate_exact_synonym	MONDO:0010870	oboInOwl:hasExactSynonym	TMD
WARN	duplicate_exact_synonym	MONDO:0010108	oboInOwl:hasExactSynonym	TGCT
WARN	duplicate_exact_synonym	MONDO:0024686	oboInOwl:hasExactSynonym	TGCT
WARN	duplicate_exact_synonym	MONDO:0018079	oboInOwl:hasExactSynonym	TEN
WARN	duplicate_exact_synonym	MONDO:0019810	oboInOwl:hasExactSynonym	TEN
WARN	duplicate_exact_synonym	MONDO:0001823	oboInOwl:hasExactSynonym	SSS
WARN	duplicate_exact_synonym	MONDO:0009426	oboInOwl:hasExactSynonym	SSS
WARN	duplicate_exact_synonym	MONDO:0008394	oboInOwl:hasExactSynonym	SRS
WARN	duplicate_exact_synonym	MONDO:0010664	oboInOwl:hasExactSynonym	SRS
WARN	duplicate_exact_synonym	MONDO:0008428	oboInOwl:hasExactSynonym	SOD
WARN	duplicate_exact_synonym	MONDO:0019029	oboInOwl:hasExactSynonym	SOD
WARN	duplicate_exact_synonym	MONDO:0010031	oboInOwl:hasExactSynonym	SLS
WARN	duplicate_exact_synonym	MONDO:0700001	oboInOwl:hasExactSynonym	SLS
WARN	duplicate_exact_synonym	MONDO:0009717	oboInOwl:hasExactSynonym	SJS
WARN	duplicate_exact_synonym	MONDO:0800120	oboInOwl:hasExactSynonym	SJS
WARN	duplicate_exact_synonym	MONDO:0008426	oboInOwl:hasExactSynonym	SGS
WARN	duplicate_exact_synonym	MONDO:0010010	oboInOwl:hasExactSynonym	SGS
