Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	MOP:0000001	oboInOwl:hasExactSynonym	methanidylation
WARN	duplicate_label_synonym	MOP:0000002	oboInOwl:hasExactSynonym	azaniumylation
WARN	duplicate_label_synonym	MOP:0000003	oboInOwl:hasExactSynonym	formylation
WARN	duplicate_label_synonym	MOP:0000004	oboInOwl:hasExactSynonym	acetonylation
WARN	duplicate_label_synonym	MOP:0000005	oboInOwl:hasExactSynonym	L-cystylation
WARN	duplicate_label_synonym	MOP:0000006	oboInOwl:hasExactSynonym	L-cystinylation
WARN	duplicate_label_synonym	MOP:0000007	oboInOwl:hasExactSynonym	D-cystylation
WARN	duplicate_label_synonym	MOP:0000008	oboInOwl:hasExactSynonym	cystinylation
WARN	duplicate_label_synonym	MOP:0000009	oboInOwl:hasExactSynonym	cystylation
WARN	duplicate_label_synonym	MOP:0000010	oboInOwl:hasExactSynonym	cysteinylation
WARN	duplicate_label_synonym	MOP:0000011	oboInOwl:hasExactSynonym	L-cysteinylation
WARN	duplicate_label_synonym	MOP:0000012	oboInOwl:hasExactSynonym	D-cysteinylation
WARN	duplicate_label_synonym	MOP:0000013	oboInOwl:hasExactSynonym	cystein-S-ylation
WARN	duplicate_label_synonym	MOP:0000014	oboInOwl:hasExactSynonym	D-cystein-S-ylation
WARN	duplicate_label_synonym	MOP:0000015	oboInOwl:hasExactSynonym	L-cystein-S-ylation
WARN	duplicate_label_synonym	MOP:0000016	oboInOwl:hasExactSynonym	methionylation
WARN	duplicate_label_synonym	MOP:0000017	oboInOwl:hasExactSynonym	L-methionylation
WARN	duplicate_label_synonym	MOP:0000018	oboInOwl:hasExactSynonym	N-formyl-L-methionylation
WARN	duplicate_label_synonym	MOP:0000019	oboInOwl:hasExactSynonym	D-methionylation
WARN	duplicate_label_synonym	MOP:0000020	oboInOwl:hasExactSynonym	(R)-lipoylation
WARN	duplicate_label_synonym	MOP:0000021	oboInOwl:hasExactSynonym	(S)-lipoylation
WARN	duplicate_label_synonym	MOP:0000022	oboInOwl:hasExactSynonym	lipoylation
WARN	duplicate_label_synonym	MOP:0000023	oboInOwl:hasExactSynonym	(R)-dihydrolipoylation
WARN	duplicate_label_synonym	MOP:0000024	oboInOwl:hasExactSynonym	(S)-dihydrolipoylation
WARN	duplicate_label_synonym	MOP:0000025	oboInOwl:hasExactSynonym	alpha-sialoylation
WARN	duplicate_label_synonym	MOP:0000026	oboInOwl:hasExactSynonym	beta-sialoylation
WARN	duplicate_label_synonym	MOP:0000027	oboInOwl:hasExactSynonym	glyceroylation
WARN	duplicate_label_synonym	MOP:0000028	oboInOwl:hasExactSynonym	carboacylation
WARN	duplicate_label_synonym	MOP:0000029	oboInOwl:hasExactSynonym	univalent carboacylation
WARN	duplicate_label_synonym	MOP:0000030	oboInOwl:hasExactSynonym	acetylation
WARN	duplicate_label_synonym	MOP:0000031	oboInOwl:hasExactSynonym	alpha-aminoacylation
WARN	duplicate_label_synonym	MOP:0000032	oboInOwl:hasExactSynonym	alanylation
WARN	duplicate_label_synonym	MOP:0000033	oboInOwl:hasExactSynonym	L-alanylation
WARN	duplicate_label_synonym	MOP:0000034	oboInOwl:hasExactSynonym	D-alanylation
WARN	duplicate_label_synonym	MOP:0000035	oboInOwl:hasExactSynonym	alpha-aspartylation
WARN	duplicate_label_synonym	MOP:0000036	oboInOwl:hasExactSynonym	L-alpha-aspartylation
WARN	duplicate_label_synonym	MOP:0000037	oboInOwl:hasExactSynonym	D-alpha-aspartylation
WARN	duplicate_label_synonym	MOP:0000038	oboInOwl:hasExactSynonym	alpha-glutamylation
WARN	duplicate_label_synonym	MOP:0000039	oboInOwl:hasExactSynonym	L-alpha-glutamylation
WARN	duplicate_label_synonym	MOP:0000040	oboInOwl:hasExactSynonym	D-alpha-glutamylation
WARN	duplicate_label_synonym	MOP:0000041	oboInOwl:hasExactSynonym	pteroylglutamylation
WARN	duplicate_label_synonym	MOP:0000042	oboInOwl:hasExactSynonym	phenylalanylation
WARN	duplicate_label_synonym	MOP:0000043	oboInOwl:hasExactSynonym	L-phenylalanylation
WARN	duplicate_label_synonym	MOP:0000044	oboInOwl:hasExactSynonym	D-phenylalanylation
WARN	duplicate_label_synonym	MOP:0000045	oboInOwl:hasExactSynonym	glycylation
WARN	duplicate_label_synonym	MOP:0000046	oboInOwl:hasExactSynonym	histidylation
WARN	duplicate_label_synonym	MOP:0000047	oboInOwl:hasExactSynonym	L-histidylation
WARN	duplicate_label_synonym	MOP:0000048	oboInOwl:hasExactSynonym	D-histidylation
WARN	duplicate_label_synonym	MOP:0000049	oboInOwl:hasExactSynonym	isoleucylation
WARN	duplicate_label_synonym	MOP:0000050	oboInOwl:hasExactSynonym	L-isoleucylation
WARN	duplicate_label_synonym	MOP:0000051	oboInOwl:hasExactSynonym	D-isoleucylation
