Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	MPATH:853	rdfs:label	systemic plasmacytosis
ERROR	duplicate_label	MPATH:876	rdfs:label	systemic plasmacytosis
ERROR	duplicate_label	MPATH:550	rdfs:label	sarcoma
ERROR	duplicate_label	MPATH:551	rdfs:label	sarcoma
ERROR	duplicate_label	MPATH:852	rdfs:label	plasmacytosis
ERROR	duplicate_label	MPATH:874	rdfs:label	plasmacytosis
ERROR	duplicate_label	MPATH:379	rdfs:label	odontogenic tumor
ERROR	duplicate_label	MPATH:386	rdfs:label	odontogenic tumor
ERROR	duplicate_label	MPATH:574	rdfs:label	nephroblastomatosis
ERROR	duplicate_label	MPATH:88	rdfs:label	nephroblastomatosis
ERROR	duplicate_label	MPATH:414	rdfs:label	histiocytic sarcoma
ERROR	duplicate_label	MPATH:506	rdfs:label	histiocytic sarcoma
ERROR	duplicate_label	MPATH:413	rdfs:label	granular cell tumor
ERROR	duplicate_label	MPATH:569	rdfs:label	granular cell tumor
ERROR	duplicate_label	MPATH:588	rdfs:label	dysplasia
ERROR	duplicate_label	MPATH:589	rdfs:label	dysplasia
ERROR	duplicate_label	MPATH:65	rdfs:label	developmental hypoplasia
ERROR	duplicate_label	MPATH:703	rdfs:label	developmental hypoplasia
ERROR	duplicate_label	MPATH:854	rdfs:label	cutaneous plasmacytosis
ERROR	duplicate_label	MPATH:875	rdfs:label	cutaneous plasmacytosis
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/mpath.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/mpath.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/mpath.owl	dc:title	
WARN	annotation_whitespace	MPATH:710	oboInOwl:hasExactSynonym	Myosarcoma 
WARN	annotation_whitespace	MPATH:710	oboInOwl:hasRelatedSynonym	 Rhabdopoietic Sarcoma
WARN	annotation_whitespace	MPATH:710	oboInOwl:hasRelatedSynonym	 Sarcoma Botryoides [Soft Tissues]
WARN	annotation_whitespace	MPATH:723	oboInOwl:hasRelatedSynonym	 Musculoaponeurotic Fibromatosis
WARN	annotation_whitespace	MPATH:889	IAO:0000115	 intracellular aggregates of actin and actin-associated proteins first observed in neurons (nerve cells) by Asao Hirano. PMID: 21978358
WARN	invalid_xref	MPATH:272	oboInOwl:hasDbXref	URL: http://emice.nci.nih.gov/mouse_models/organ_models/lung_models/murinecancer/tumorclass
WARN	invalid_xref	MPATH:273	oboInOwl:hasDbXref	URL: http://emice.nci.nih.gov/mouse_models/organ_models/lung_models/murinecancer/tumorclass
