IRI	Label	Issue
http://purl.obolibrary.org/obo/ms#has_column	has_column	not an RO property
http://purl.obolibrary.org/obo/ms#has_domain	has_domain	not an RO property
http://purl.obolibrary.org/obo/ms#has_metric_category	has_metric_category	not an RO property
http://purl.obolibrary.org/obo/ms#has_optional_column	has_optional_column	not an RO property
http://purl.obolibrary.org/obo/ms#has_order	has_order	not an RO property
http://purl.obolibrary.org/obo/ms#has_regexp	has regexp	not an RO property
http://purl.obolibrary.org/obo/ms#has_structured_representation_in_format	has structured representation in format	not an RO property
http://purl.obolibrary.org/obo/ms#has_units	has_units	not an RO property
http://purl.obolibrary.org/obo/ms#has_value_concept	has_value_concept	not an RO property
http://purl.obolibrary.org/obo/ms#has_value_type	has value type	not an RO property
http://purl.obolibrary.org/obo/ms#part_of	part_of	not an RO property
