Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	active foraging behavior	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	active foraging behavior	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	smoking behavior	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	snuffing behavior	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	aggressive behavior towards inanimate objects	IAO:0000115	"<\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]>"
ERROR	duplicate_definition	aggressive behavior towards animate objects	IAO:0000115	"<\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]>"
ERROR	duplicate_definition	REM duration	IAO:0000115	"<\""Duration of REM sleep.\"" [NBO:GVG]>"
ERROR	duplicate_definition	NREM duration	IAO:0000115	"<\""Duration of REM sleep.\"" [NBO:GVG]>"
ERROR	duplicate_definition	regulation of withdrawal response	IAO:0000115	"<\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]>"
ERROR	duplicate_definition	regulation of addiction response	IAO:0000115	"<\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]>"
ERROR	duplicate_definition	regulation of behavioral response to chemical stimulus	IAO:0000115	"<\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]>"
ERROR	duplicate_definition	regulation of behavioral response to addictive substance	IAO:0000115	"<\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]>"
ERROR	missing_label	GO:0007625	rdfs:label	
ERROR	missing_label	GO:0007629	rdfs:label	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc11:description	
ERROR	duplicate_label	active foraging behavior	rdfs:label	active foraging behavior@en
ERROR	duplicate_label	active foraging behavior	rdfs:label	active foraging behavior@en
ERROR	multiple_definitions	agonistic alarm	IAO:0000115	Alarm behavior triggered by agonistic actions or postures@en
ERROR	multiple_definitions	agonistic alarm	IAO:0000115	Alarm behavior triggered by agonistic actions or postures.@en
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc11:title	
WARN	duplicate_exact_synonym	seizures	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	epilepsy	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	REM sleep behavior disorder	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	recurrent brief depression	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	pathological anxiety	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	conversion disorder	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	GO:0007625	oboInOwl:hasExactSynonym	groom@en
WARN	duplicate_exact_synonym	grooming behavior	oboInOwl:hasExactSynonym	groom@en
WARN	duplicate_exact_synonym	GO:0007629	oboInOwl:hasExactSynonym	fly@en
WARN	duplicate_exact_synonym	flight behavior	oboInOwl:hasExactSynonym	fly@en
WARN	duplicate_exact_synonym	discriminatory behavior	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_exact_synonym	bruxism	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_label_synonym	aggressive behavior towards humans	oboInOwl:hasExactSynonym	aggressive behavior towards humans
WARN	duplicate_label_synonym	aggressive behavior towards animals	oboInOwl:hasExactSynonym	aggressive behavior towards animals
WARN	duplicate_label_synonym	aggressive behavior towards objects	oboInOwl:hasExactSynonym	aggressive behavior towards objects
WARN	duplicate_label_synonym	aggressive behavior towards mice	oboInOwl:hasExactSynonym	aggressive behavior towards mice
WARN	duplicate_label_synonym	aggressive behavior towards women	oboInOwl:hasExactSynonym	aggressive behavior towards women
WARN	duplicate_label_synonym	aggressive behavior towards men	oboInOwl:hasExactSynonym	aggressive behavior towards men
WARN	duplicate_label_synonym	aggressive behavior towards male mice	oboInOwl:hasExactSynonym	aggressive behavior towards male mice
WARN	duplicate_label_synonym	aggressive behavior towards female mice	oboInOwl:hasExactSynonym	aggressive behavior towards female mice
WARN	duplicate_label_synonym	aggressive behavior towards inanimate objects	oboInOwl:hasExactSynonym	aggressive behavior towards inanimate objects
WARN	duplicate_label_synonym	aggressive behavior towards animate objects	oboInOwl:hasExactSynonym	aggressive behavior towards animate objects
WARN	duplicate_label_synonym	aggressive behavior towards children	oboInOwl:hasExactSynonym	aggressive behavior towards children
WARN	duplicate_label_synonym	aggressive behavior towards pups	oboInOwl:hasExactSynonym	aggressive behavior towards pups
WARN	duplicate_label_synonym	aggressive behavior towards males	oboInOwl:hasExactSynonym	aggressive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards males	oboInOwl:hasExactSynonym	submissive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards females	oboInOwl:hasExactSynonym	submissive behavior towards females
WARN	duplicate_label_synonym	submissive behavior towards male mice	oboInOwl:hasExactSynonym	submissive behavior towards male mice
WARN	missing_definition	GO:0007625	IAO:0000115	
WARN	missing_definition	GO:0007629	IAO:0000115	
WARN	missing_definition	whole body movement	IAO:0000115	
WARN	missing_definition	rhythmic behavior	IAO:0000115	
WARN	missing_definition	seizures/epilepsy	IAO:0000115	
WARN	missing_definition	emission behavior	IAO:0000115	
WARN	missing_definition	behavioral control of production of sound	IAO:0000115	
WARN	missing_definition	weaning behavior	IAO:0000115	
WARN	missing_definition	nuzzling	IAO:0000115	
WARN	missing_definition	swaying	IAO:0000115	
WARN	missing_definition	tilting	IAO:0000115	
WARN	missing_definition	yawning	IAO:0000115	
WARN	missing_definition	writhing	IAO:0000115	
WARN	missing_definition	exploration behavior	IAO:0000115	
WARN	missing_definition	agonistic behavior	IAO:0000115	
WARN	missing_definition	subordination behavior	IAO:0000115	
WARN	missing_definition	liquid preference/aversion	IAO:0000115	
WARN	missing_definition	food preference/aversion	IAO:0000115	
WARN	missing_definition	food preference	IAO:0000115	
WARN	missing_definition	food aversion	IAO:0000115	
WARN	missing_definition	saccharin preference	IAO:0000115	
WARN	missing_definition	mating frequency	IAO:0000115	
WARN	missing_definition	mating preference	IAO:0000115	
WARN	missing_definition	mating receptivity	IAO:0000115	
WARN	missing_definition	sexual display behavior	IAO:0000115	
WARN	missing_definition	social investigation	IAO:0000115	
WARN	missing_definition	reclusive behavior	IAO:0000115	
WARN	missing_definition	maternal crouching	IAO:0000115	
WARN	missing_definition	nesting behavior	IAO:0000115	
WARN	missing_definition	nest building behavior	IAO:0000115	
WARN	missing_definition	sleep pattern	IAO:0000115	
WARN	missing_definition	rapid eye movement sleep	IAO:0000115	
WARN	missing_definition	sleep duration	IAO:0000115	
WARN	missing_definition	REM frequency	IAO:0000115	
WARN	missing_definition	NREM frequency	IAO:0000115	
WARN	missing_definition	circadian period	IAO:0000115	
WARN	missing_definition	circadian persistence	IAO:0000115	
WARN	missing_definition	circadian phase	IAO:0000115	
WARN	missing_definition	olfactory learning behavior	IAO:0000115	
WARN	missing_definition	visual learning behavior	IAO:0000115	
WARN	missing_definition	motor learning	IAO:0000115	
WARN	missing_definition	spatial learning	IAO:0000115	
WARN	missing_definition	iconic memory	IAO:0000115	
WARN	missing_definition	direct priming	IAO:0000115	
WARN	missing_definition	response priming	IAO:0000115	
WARN	missing_definition	avoidance learning behavior	IAO:0000115	
WARN	missing_definition	conditioned taste aversion	IAO:0000115	
WARN	missing_definition	imprinting behavior	IAO:0000115	
WARN	missing_definition	latent learning behavior	IAO:0000115	
WARN	missing_definition	observational learning	IAO:0000115	
WARN	missing_definition	language learning behavior	IAO:0000115	
WARN	missing_definition	conditioned emotional response	IAO:0000115	
WARN	missing_definition	conditioned place preference behavior	IAO:0000115	
