Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/ncbitaxon.owl	dc:title	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/ncbitaxon.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/ncbitaxon.owl	dc:description	
WARN	duplicate_label_synonym	Cassava witches'-broom phytoplasma	oboInOwl:hasExactSynonym	Cassava witches'-broom phytoplasma
WARN	duplicate_label_synonym	Shuangao lacewing virus	oboInOwl:hasExactSynonym	Shuangao lacewing virus
WARN	duplicate_label_synonym	Russula littoralis	oboInOwl:hasExactSynonym	Russula littoralis
WARN	duplicate_label_synonym	Hubei rhabdo-like virus 5	oboInOwl:hasExactSynonym	Hubei rhabdo-like virus 5
WARN	duplicate_label_synonym	Leptodontium	oboInOwl:hasExactSynonym	Leptodontium
WARN	duplicate_label_synonym	Berkleasmium fusiforme	oboInOwl:hasExactSynonym	Berkleasmium fusiforme
WARN	duplicate_label_synonym	Pseudohelicomyces	oboInOwl:hasExactSynonym	Pseudohelicomyces
WARN	duplicate_label_synonym	Isoetes goebelii	oboInOwl:hasExactSynonym	Isoetes goebelii
WARN	duplicate_label_synonym	Didymella magnoliae	oboInOwl:hasExactSynonym	Didymella magnoliae
WARN	duplicate_label_synonym	Diaporthe sinensis	oboInOwl:hasExactSynonym	Diaporthe sinensis
WARN	duplicate_label_synonym	Chlorothrix	oboInOwl:hasExactSynonym	Chlorothrix
WARN	duplicate_label_synonym	Amaurodon mustialaensis	oboInOwl:hasExactSynonym	Amaurodon mustialaensis
WARN	duplicate_label_synonym	Sulcia	oboInOwl:hasExactSynonym	Sulcia
WARN	duplicate_label_synonym	Cananeia virus	oboInOwl:hasExactSynonym	Cananeia virus
WARN	duplicate_label_synonym	Hartigia	oboInOwl:hasExactSynonym	Hartigia
WARN	duplicate_label_synonym	Actinobacteria incertae sedis	oboInOwl:hasExactSynonym	Actinobacteria incertae sedis
WARN	duplicate_label_synonym	Wuchang romanomermis nematode virus 2	oboInOwl:hasExactSynonym	Wuchang romanomermis nematode virus 2
WARN	duplicate_label_synonym	Crenicichla sp. 'Catalao'	oboInOwl:hasExactSynonym	Crenicichla sp. 'Catalao'
WARN	duplicate_label_synonym	Schlegelia	oboInOwl:hasExactSynonym	Schlegelia
WARN	duplicate_label_synonym	Phaeobotrys	oboInOwl:hasExactSynonym	Phaeobotrys
WARN	duplicate_label_synonym	Diaporthe longispora	oboInOwl:hasExactSynonym	Diaporthe longispora
WARN	duplicate_label_synonym	earthworms	oboInOwl:hasExactSynonym	earthworms
WARN	duplicate_label_synonym	Bison	oboInOwl:hasExactSynonym	Bison
WARN	missing_definition	root	IAO:0000115	
WARN	missing_definition	Cellvibrio	IAO:0000115	
WARN	missing_definition	Ancylobacter aquaticus	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA12	IAO:0000115	
WARN	missing_definition	Microbacterium sp. 6.11-VPa	IAO:0000115	
WARN	missing_definition	Mycobacterium sp. 1.1-VEs	IAO:0000115	
WARN	missing_definition	Mycobacterium sp. 1.12-VEs	IAO:0000115	
WARN	missing_definition	Nocardia sp. 3.2-VPr	IAO:0000115	
WARN	missing_definition	Polaromonas sp. 7.23-VPa	IAO:0000115	
WARN	missing_definition	Promicromonospora sp. 10.25-Bb	IAO:0000115	
WARN	missing_definition	Promicromonospora sp. 3.1- VPr	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 10S-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5B-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5K-VPa	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA14	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5KS-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5KW-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5S-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 5T-VPa	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. 6S-VPa	IAO:0000115	
WARN	missing_definition	Rhodococcus sp. 1.15-VEs	IAO:0000115	
WARN	missing_definition	Rhodococcus sp. 1.3-VEs	IAO:0000115	
WARN	missing_definition	Rhodococcus sp. 3.3-VPr	IAO:0000115	
WARN	missing_definition	Rhodococcus sp. 4.20-VOd	IAO:0000115	
WARN	missing_definition	Rhodococcus sp. 4.20ST-VOd	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA15	IAO:0000115	
WARN	missing_definition	Sanguibacter sp. 1.16-VEs	IAO:0000115	
WARN	missing_definition	Sanguibacter sp. 1.23-VEs	IAO:0000115	
WARN	missing_definition	Sanguibacter sp. 1.23S-VEs	IAO:0000115	
WARN	missing_definition	Comamonadaceae bacterium 12S-VPa	IAO:0000115	
WARN	missing_definition	Intrasporangiaceae bacterium 7.31-VPa	IAO:0000115	
WARN	missing_definition	Intrasporangiaceae bacterium 7.4-VPa	IAO:0000115	
WARN	missing_definition	Micrococcineae bacterium 9.2-BP	IAO:0000115	
WARN	missing_definition	alpha proteobacterium 6.6-VPa	IAO:0000115	
WARN	missing_definition	Bacillus sp. enrichment culture clone w-181	IAO:0000115	
WARN	missing_definition	Pseudomonas sp. MBYD-1	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA16	IAO:0000115	
WARN	missing_definition	Agrobacterium sp. G21-07	IAO:0000115	
WARN	missing_definition	Agrobacterium sp. G21-09	IAO:0000115	
WARN	missing_definition	Enterobacter sp. P19-19	IAO:0000115	
WARN	missing_definition	Flavobacterium sp. G23-27	IAO:0000115	
WARN	missing_definition	Erwinia sp. Koakin	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA134	IAO:0000115	
WARN	missing_definition	Herbaspirillum sp. BA161	IAO:0000115	
WARN	missing_definition	Azospirillum sp. Ala	IAO:0000115	
WARN	missing_definition	Mycobacterium sp. C2-3	IAO:0000115	
WARN	missing_definition	Dangeardiella	IAO:0000115	
WARN	missing_definition	Dangeardiella macrospora	IAO:0000115	
WARN	missing_definition	Sciurus	IAO:0000115	
WARN	missing_definition	Leptospora	IAO:0000115	
WARN	missing_definition	Leptospora rubella	IAO:0000115	
WARN	missing_definition	Bartonella sp. RR13863PO	IAO:0000115	
WARN	missing_definition	Bartonella sp. MM5136CA	IAO:0000115	
WARN	missing_definition	diazotroph str. AB48	IAO:0000115	
WARN	missing_definition	diazotroph str. AB71	IAO:0000115	
WARN	missing_definition	diazotroph str. AB117	IAO:0000115	
WARN	missing_definition	diazotroph str. BA22	IAO:0000115	
WARN	missing_definition	diazotroph str. BA23	IAO:0000115	
WARN	missing_definition	Didymella exigua	IAO:0000115	
WARN	missing_definition	Sciurus aberti aberti	IAO:0000115	
WARN	missing_definition	diazotroph str. BA27	IAO:0000115	
