IRI	Label	Issue
http://purl.obolibrary.org/obo/NCIT_R100	disease_has_associated_anatomic_site	not an RO property
http://purl.obolibrary.org/obo/NCIT_R101	disease_has_primary_anatomic_site	not an RO property
http://purl.obolibrary.org/obo/NCIT_R102	disease_has_metastatic_anatomic_site	not an RO property
http://purl.obolibrary.org/obo/NCIT_R103	disease_has_normal_tissue_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R104	disease_has_normal_cell_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R105	disease_has_abnormal_cell	not an RO property
http://purl.obolibrary.org/obo/NCIT_R106	disease_has_molecular_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R107	disease_has_cytogenetic_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R108	disease_has_finding	not an RO property
http://purl.obolibrary.org/obo/NCIT_R110	disease_is_grade	not an RO property
http://purl.obolibrary.org/obo/NCIT_R111	disease_may_have_normal_tissue_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R112	disease_may_have_normal_cell_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R113	disease_may_have_abnormal_cell	not an RO property
http://purl.obolibrary.org/obo/NCIT_R114	disease_may_have_cytogenetic_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R115	disease_may_have_finding	not an RO property
http://purl.obolibrary.org/obo/NCIT_R116	disease_may_have_associated_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R122	chemical_or_drug_is_metabolized_by_enzyme	not an RO property
http://purl.obolibrary.org/obo/NCIT_R123	chemotherapy_regimen_has_component	not an RO property
http://purl.obolibrary.org/obo/NCIT_R124	chemical_or_drug_has_mechanism_of_action	not an RO property
http://purl.obolibrary.org/obo/NCIT_R125	chemical_or_drug_has_physiologic_effect	not an RO property
http://purl.obolibrary.org/obo/NCIT_R126	disease_has_associated_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R130	gene_is_element_in_pathway	not an RO property
http://purl.obolibrary.org/obo/NCIT_R131	gene_product_is_element_in_pathway	not an RO property
http://purl.obolibrary.org/obo/NCIT_R132	gene_has_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R133	gene_product_has_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R135	disease_excludes_primary_anatomic_site	not an RO property
http://purl.obolibrary.org/obo/NCIT_R136	disease_excludes_metastatic_anatomic_site	not an RO property
http://purl.obolibrary.org/obo/NCIT_R137	disease_excludes_normal_tissue_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R138	disease_excludes_normal_cell_origin	not an RO property
http://purl.obolibrary.org/obo/NCIT_R139	disease_excludes_abnormal_cell	not an RO property
http://purl.obolibrary.org/obo/NCIT_R140	disease_excludes_molecular_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R141	disease_excludes_cytogenetic_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R142	disease_excludes_finding	not an RO property
http://purl.obolibrary.org/obo/NCIT_R145	gene_has_physical_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R146	chemical_or_drug_affects_gene_product	not an RO property
http://purl.obolibrary.org/obo/NCIT_R150	chemical_or_drug_affects_abnormal_cell	not an RO property
http://purl.obolibrary.org/obo/NCIT_R153	allele_has_abnormality	not an RO property
http://purl.obolibrary.org/obo/NCIT_R155	allele_in_chromosomal_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R156	allele_absent_from_wild-type_chromosomal_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R158	allele_plays_altered_role_in_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R159	allele_has_activity	not an RO property
http://purl.obolibrary.org/obo/NCIT_R160	allele_plays_role_in_metabolism_of_chemical_or_drug	not an RO property
http://purl.obolibrary.org/obo/NCIT_R163	procedure_has_target_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R165	procedure_has_imaged_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R166	procedure_may_have_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R167	procedure_has_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R168	procedure_may_have_partially_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R169	procedure_has_partially_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R170	procedure_may_have_completely_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R171	procedure_has_completely_excised_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R172	regimen_has_accepted_use_for_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R173	cytogenetic_abnormality_involves_chromosome	not an RO property
http://purl.obolibrary.org/obo/NCIT_R174	disease_mapped_to_chromosome	not an RO property
http://purl.obolibrary.org/obo/NCIT_R175	gene_involved_in_pathogenesis_of_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R176	disease_mapped_to_gene	not an RO property
http://purl.obolibrary.org/obo/NCIT_R177	molecular_abnormality_involves_gene	not an RO property
http://purl.obolibrary.org/obo/NCIT_R178	gene_mutant_encodes_gene_product_sequence_variation	not an RO property
http://purl.obolibrary.org/obo/NCIT_R179	gene_product_sequence_variation_encoded_by_gene_mutant	not an RO property
http://purl.obolibrary.org/obo/NCIT_R180	procedure_has_target_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R181	procedure_uses_manufactured_object	not an RO property
http://purl.obolibrary.org/obo/NCIT_R182	gene_product_variant_of_gene_product	not an RO property
http://purl.obolibrary.org/obo/NCIT_R23	eo_disease_has_associated_cell_type	not an RO property
http://purl.obolibrary.org/obo/NCIT_R24	eo_disease_maps_to_human_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R25	eo_disease_has_associated_eo_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R26	eo_disease_has_property_or_attribute	not an RO property
http://purl.obolibrary.org/obo/NCIT_R27	conceptual_part_of	not an RO property
http://purl.obolibrary.org/obo/NCIT_R28	biological_process_has_initiator_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R29	biological_process_has_result_chemical_or_drug	not an RO property
http://purl.obolibrary.org/obo/NCIT_R30	biological_process_has_associated_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R31	biological_process_has_result_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R32	biological_process_has_initiator_chemical_or_drug	not an RO property
http://purl.obolibrary.org/obo/NCIT_R34	biological_process_has_result_biological_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R35	biological_process_is_part_of_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R36	gene_is_biomarker_type	not an RO property
http://purl.obolibrary.org/obo/NCIT_R37	gene_plays_role_in_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R38	gene_associated_with_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R39	gene_is_biomarker_of	not an RO property
http://purl.obolibrary.org/obo/NCIT_R40	gene_in_chromosomal_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R41	gene_found_in_organism	not an RO property
http://purl.obolibrary.org/obo/NCIT_R42	gene_product_is_biomarker_type	not an RO property
http://purl.obolibrary.org/obo/NCIT_R44	gene_product_has_chemical_classification	not an RO property
http://purl.obolibrary.org/obo/NCIT_R45	gene_product_has_organism_source	not an RO property
http://purl.obolibrary.org/obo/NCIT_R46	gene_product_has_associated_anatomy	not an RO property
http://purl.obolibrary.org/obo/NCIT_R47	gene_product_is_biomarker_of	not an RO property
http://purl.obolibrary.org/obo/NCIT_R48	gene_product_malfunction_associated_with_disease	not an RO property
http://purl.obolibrary.org/obo/NCIT_R49	gene_product_expressed_in_tissue	not an RO property
http://purl.obolibrary.org/obo/NCIT_R50	gene_product_has_structural_domain_or_motif	not an RO property
http://purl.obolibrary.org/obo/NCIT_R51	gene_product_is_physical_part_of	not an RO property
http://purl.obolibrary.org/obo/NCIT_R52	gene_product_has_biochemical_function	not an RO property
http://purl.obolibrary.org/obo/NCIT_R53	gene_product_plays_role_in_biological_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R54	gene_product_encoded_by_gene	not an RO property
http://purl.obolibrary.org/obo/NCIT_R66	chemical_or_drug_plays_role_in_biological_process	not an RO property
http://purl.obolibrary.org/obo/NCIT_R72	chemical_or_drug_affects_cell_type_or_tissue	not an RO property
http://purl.obolibrary.org/obo/NCIT_R81	anatomic_structure_has_location	not an RO property
http://purl.obolibrary.org/obo/NCIT_R82	anatomic_structure_is_physical_part_of	not an RO property
http://purl.obolibrary.org/obo/NCIT_R88	disease_is_stage	not an RO property
http://purl.obolibrary.org/obo/NCIT_R89	disease_may_have_molecular_abnormality	not an RO property
