Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	Activated PTT to Standard PTT Ratio Measurement	rdfs:subClassOf	Retired Concept 2013
ERROR	deprecated_class_reference	Beta-Trace Protein Measurement	rdfs:subClassOf	Retired Concept 2019
ERROR	deprecated_class_reference	Alpha 1 Microglobulin Measurement	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Mini-Mental State Examination Questionnaire	rdfs:subClassOf	Retired Concept 2014
ERROR	deprecated_class_reference	Biological Child	rdfs:subClassOf	Retired Concept 2018
ERROR	deprecated_class_reference	RPN1/MECOM Fusion Gene	rdfs:subClassOf	Retired Concept 2016
ERROR	deprecated_class_reference	Pegylated Recombinant L-asparaginase Erwinia chrysanthemi	rdfs:subClassOf	Retired Concept Current Year
ERROR	deprecated_class_reference	Anal Atresia	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Proteus morganii	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Application Dosing Unit	rdfs:subClassOf	Retired Concept 2014
ERROR	deprecated_class_reference	Hydroxyethyl Starch	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Heparan Sulfate Glycosaminoglycan Mimetic M402	rdfs:subClassOf	Retired Concept Current Year
ERROR	deprecated_class_reference	PBN Derivative OKN-007	rdfs:subClassOf	Retired Concept Current Year
ERROR	deprecated_class_reference	Identification of Medicinal Products Terminology	rdfs:subClassOf	Retired Concept 2016
ERROR	deprecated_class_reference	Feel Less Physically Attractive Due to Disease or Treatment	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Progression of Multiple Myeloma or Plasma Cell Leukemia	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Partial Response of Multiple Myeloma or Plasma Cell Leukemia	rdfs:subClassOf	Retired Concept 2012
ERROR	deprecated_class_reference	Nodular Partial Response	rdfs:subClassOf	Retired Concept 2020
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Alpha 1 Microglobulin Measurement
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Anal Atresia
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Proteus morganii
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Hydroxyethyl Starch
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Feel Less Physically Attractive Due to Disease or Treatment
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Progression of Multiple Myeloma or Plasma Cell Leukemia
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Partial Response of Multiple Myeloma or Plasma Cell Leukemia
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Hypoxanthine Phosphoribosyltransferase
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	p59-HCK
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Miscellaneous Antineoplastic Antibiotic
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Miscellaneous Antimetabolite
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	p53:264-272 Peptide
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Retired Concept
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Recombinant Vaccinia-PSA(L155)-TRICOM Vaccine
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Collateral Sulcus
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Fissure of Rolando
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Lateral Sulcus of Sylvius
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Lobus Spigelii
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Parieto-Occipital Sulcus
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Left Brachiocephalic Vein
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Cisplatin/Doxorubicin/Methotrexate/Muramyl Tripeptide Phosphatidylethanolamine Liposome
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Cisplatin/Ifosfamide/Muramyl Tripeptide Phosphatidylethanolamine Liposome
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Doxorubicin/Ifosfamide/Methotrexate/Muramyl Tripeptide Phosphatidylethanolamine Liposome
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Nitric Oxide Synthase 2B
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Nitric Oxide Synthase 2C
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	LONG_DEFINITION
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Maps_To_LASH
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Mitelman_Code
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	NDFRT_Code
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	NDFRT_Name
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Related_Lash_Concept
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Related_MedDRA_Code
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Synonym Property
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Chemical_Or_Drug_FDA_Approved_For_Disease
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Chemical_Or_Drug_Has_Accepted_Therapeutic_Use_For
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Chemical_Or_Drug_Has_Study_Therapeutic_Use_For
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	EO_Anatomic_Structure_Is_Physical_Part_Of
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	EO_Derived_By_Technique
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	EO_Develops_Disease
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	EO_Disease_Metastatic_To_EO_Anatomy
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	EO_Models_Human_Disease
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Gene_Product_Has_Malfunction_Type
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Technique_Has_Associated_Condition
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Technique_Has_Purpose
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Technique_Has_Sample_Or_Specimen_Anatomy
ERROR	deprecated_class_reference	Retired Concept 2012	rdfs:subClassOf	Technique_Has_Sample_Or_Specimen_Chemical_Or_Drug
