IRI	Label	Issue
http://purl.obolibrary.org/obo/OAE_0000025	induced_by	not an RO property
http://purl.obolibrary.org/obo/OAE_0000186	induces	not an RO property
http://purl.obolibrary.org/obo/OAE_0000190	role_of	not an RO property
http://purl.obolibrary.org/obo/OAE_0001735	is evidence of	not an RO property
http://purl.obolibrary.org/obo/OAE_0001788	has participant quality	not an RO property
http://purl.obolibrary.org/obo/OAE_0002081	ae occurs in	not an RO property
http://purl.obolibrary.org/obo/OAE_0002615	has participant undergoing	not an RO property
http://purl.obolibrary.org/obo/OAE_0002616	adverse event preceded by	not an RO property
http://purl.obolibrary.org/obo/OAE_0004422	has size	not an RO property
http://purl.obolibrary.org/obo/OAE_0004423	has diameter in cm	not an RO property
