Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	vocalization behavior quality	IAO:0000115	The quality of a vocalization behavior.
ERROR	duplicate_definition	vocalization trait	IAO:0000115	The quality of a vocalization behavior.
ERROR	duplicate_definition	parental behavior quality	IAO:0000115	The quality of a parental behavior.
ERROR	duplicate_definition	parental behavior trait	IAO:0000115	The quality of a parental behavior.
ERROR	duplicate_definition	grooming behavior quality	IAO:0000115	The quality of a grooming behavior.
ERROR	duplicate_definition	grooming behavior trait	IAO:0000115	The quality of a grooming behavior.
ERROR	duplicate_definition	myelin sheath morphology	IAO:0000115	The morphology of a myelin sheath.
ERROR	duplicate_definition	myelin sheath morphology trait	IAO:0000115	The morphology of a myelin sheath.
ERROR	duplicate_definition	protein amount	IAO:0000115	The amount of a protein.
ERROR	duplicate_definition	protein amount	IAO:0000115	The amount of a protein.
ERROR	duplicate_definition	neurotransmitter levels	IAO:0000115	The amount of a neurotransmitter.
ERROR	duplicate_definition	neurotransmitter amount	IAO:0000115	The amount of a neurotransmitter.
ERROR	misused_obsolete_label	obsolete podocyte foot process morphology	rdfs:label	obsolete podocyte foot process morphology
ERROR	misused_obsolete_label	obsolete podocyte foot process amount	rdfs:label	obsolete podocyte foot process amount
ERROR	missing_ontology_description	obo:oba.owl	dc11:description	
ERROR	duplicate_label	thymus mass	rdfs:label	thymus mass
ERROR	duplicate_label	thymus mass	rdfs:label	thymus mass
ERROR	duplicate_label	spleen mass	rdfs:label	spleen mass
ERROR	duplicate_label	spleen mass	rdfs:label	spleen mass
ERROR	duplicate_label	protein amount	rdfs:label	protein amount
ERROR	duplicate_label	protein amount	rdfs:label	protein amount
ERROR	duplicate_label	placenta mass	rdfs:label	placenta mass
ERROR	duplicate_label	placenta mass	rdfs:label	placenta mass
ERROR	duplicate_label	lung mass	rdfs:label	lung mass
ERROR	duplicate_label	lung mass	rdfs:label	lung mass
ERROR	duplicate_label	liver mass	rdfs:label	liver mass
ERROR	duplicate_label	liver mass	rdfs:label	liver mass
ERROR	duplicate_label	kidney mass	rdfs:label	kidney mass
ERROR	duplicate_label	kidney mass	rdfs:label	kidney mass
ERROR	duplicate_label	heart mass	rdfs:label	heart mass
ERROR	duplicate_label	heart mass	rdfs:label	heart mass
ERROR	duplicate_label	copper amount	rdfs:label	copper amount
ERROR	duplicate_label	copper amount	rdfs:label	copper amount
ERROR	duplicate_label	brain mass	rdfs:label	brain mass
ERROR	duplicate_label	brain mass	rdfs:label	brain mass
ERROR	duplicate_label	aorta mass	rdfs:label	aorta mass
ERROR	duplicate_label	aorta mass	rdfs:label	aorta mass
ERROR	duplicate_label	abdominal fat pad mass	rdfs:label	abdominal fat pad mass
ERROR	duplicate_label	abdominal fat pad mass	rdfs:label	abdominal fat pad mass
ERROR	missing_ontology_license	obo:oba.owl	dc:license	
ERROR	missing_ontology_title	obo:oba.owl	dc11:title	
ERROR	multiple_labels	membrane potential in photoreceptor cell	rdfs:label	membrane potential in photoreceptor cell
ERROR	multiple_labels	membrane potential in photoreceptor cell	rdfs:label	photoreceptor cell membrane potential
ERROR	multiple_labels	attribute of cell	rdfs:label	attribute of cell
ERROR	multiple_labels	attribute of cell	rdfs:label	cell attribute
ERROR	multiple_labels	attribute of cytosol	rdfs:label	attribute of cytosol
ERROR	multiple_labels	attribute of cytosol	rdfs:label	cytosol attribute
ERROR	multiple_labels	organelle attribute	rdfs:label	attribute of organelle
ERROR	multiple_labels	organelle attribute	rdfs:label	organelle attribute
ERROR	multiple_labels	blue iris	rdfs:label	blue iris
ERROR	multiple_labels	blue iris	rdfs:label	blue iris 
ERROR	multiple_labels	brown strand of hair	rdfs:label	brown strand of hair
ERROR	multiple_labels	brown strand of hair	rdfs:label	brown strand of hair 
WARN	duplicate_exact_synonym	vocalization behavior quality	oboInOwl:hasExactSynonym	quality of vocalization behavior
WARN	duplicate_exact_synonym	vocalization trait	oboInOwl:hasExactSynonym	quality of vocalization behavior
WARN	duplicate_exact_synonym	parental behavior quality	oboInOwl:hasExactSynonym	quality of parental behavior
WARN	duplicate_exact_synonym	parental behavior trait	oboInOwl:hasExactSynonym	quality of parental behavior
WARN	duplicate_exact_synonym	grooming behavior quality	oboInOwl:hasExactSynonym	quality of grooming behavior
WARN	duplicate_exact_synonym	grooming behavior trait	oboInOwl:hasExactSynonym	quality of grooming behavior
WARN	duplicate_exact_synonym	myelin sheath morphology	oboInOwl:hasExactSynonym	morphology of myelin sheath
WARN	duplicate_exact_synonym	myelin sheath morphology trait	oboInOwl:hasExactSynonym	morphology of myelin sheath
WARN	duplicate_exact_synonym	protein amount	oboInOwl:hasExactSynonym	amount of protein
WARN	duplicate_exact_synonym	protein amount	oboInOwl:hasExactSynonym	amount of protein
WARN	duplicate_exact_synonym	neurotransmitter levels	oboInOwl:hasExactSynonym	amount of neurotransmitter
WARN	duplicate_exact_synonym	neurotransmitter amount	oboInOwl:hasExactSynonym	amount of neurotransmitter
WARN	duplicate_label_synonym	direction of cell growth	oboInOwl:hasExactSynonym	direction of cell growth
WARN	duplicate_label_synonym	lung blood pressure	oboInOwl:hasExactSynonym	lung blood pressure
WARN	duplicate_label_synonym	force of heart contraction	oboInOwl:hasExactSynonym	force of heart contraction
WARN	duplicate_label_synonym	blood mineral amount	oboInOwl:hasExactSynonym	blood mineral amount
WARN	duplicate_label_synonym	blood cholesterol amount	oboInOwl:hasExactSynonym	blood cholesterol amount
WARN	duplicate_label_synonym	blood glucose amount	oboInOwl:hasExactSynonym	blood glucose amount
WARN	duplicate_label_synonym	blood alkaline phosphatase amount	oboInOwl:hasExactSynonym	blood alkaline phosphatase amount
WARN	duplicate_label_synonym	urine hemoglobin amount	oboInOwl:hasExactSynonym	urine hemoglobin amount
WARN	duplicate_label_synonym	blood phosphate amount	oboInOwl:hasExactSynonym	blood phosphate amount
WARN	duplicate_label_synonym	blood bilirubin amount	oboInOwl:hasExactSynonym	blood bilirubin amount
WARN	duplicate_label_synonym	blood corticotropin-releasing hormone amount	oboInOwl:hasExactSynonym	blood corticotropin-releasing hormone amount
WARN	duplicate_label_synonym	urine glucose amount	oboInOwl:hasExactSynonym	urine glucose amount
WARN	duplicate_label_synonym	blood triglyceride amount	oboInOwl:hasExactSynonym	blood triglyceride amount
WARN	duplicate_label_synonym	blood glucagon amount	oboInOwl:hasExactSynonym	blood glucagon amount
WARN	duplicate_label_synonym	blood sulfate amount	oboInOwl:hasExactSynonym	blood sulfate amount
WARN	duplicate_label_synonym	urine phosphate amount	oboInOwl:hasExactSynonym	urine phosphate amount
WARN	duplicate_label_synonym	blood parathyroid hormone amount	oboInOwl:hasExactSynonym	blood parathyroid hormone amount
WARN	duplicate_label_synonym	blood chloride amount	oboInOwl:hasExactSynonym	blood chloride amount
WARN	duplicate_label_synonym	urine amino acid amount	oboInOwl:hasExactSynonym	urine amino acid amount
WARN	duplicate_label_synonym	blood renin amount	oboInOwl:hasExactSynonym	blood renin amount
WARN	duplicate_label_synonym	blood thyroid hormone amount	oboInOwl:hasExactSynonym	blood thyroid hormone amount
WARN	duplicate_label_synonym	blood glucocorticoid amount	oboInOwl:hasExactSynonym	blood glucocorticoid amount
WARN	duplicate_label_synonym	blood estrogen amount	oboInOwl:hasExactSynonym	blood estrogen amount
WARN	duplicate_label_synonym	blood glycerol amount	oboInOwl:hasExactSynonym	blood glycerol amount
WARN	duplicate_label_synonym	blood lipid amount	oboInOwl:hasExactSynonym	blood lipid amount
WARN	duplicate_label_synonym	blood carnitine amount	oboInOwl:hasExactSynonym	blood carnitine amount
WARN	duplicate_label_synonym	blood growth hormone amount	oboInOwl:hasExactSynonym	blood growth hormone amount
WARN	duplicate_label_synonym	urine protein amount	oboInOwl:hasExactSynonym	urine protein amount
WARN	duplicate_label_synonym	blood testosterone amount	oboInOwl:hasExactSynonym	blood testosterone amount
WARN	duplicate_label_synonym	blood estradiol amount	oboInOwl:hasExactSynonym	blood estradiol amount
WARN	duplicate_label_synonym	blood progesterone amount	oboInOwl:hasExactSynonym	blood progesterone amount
WARN	duplicate_label_synonym	blood ammonia amount	oboInOwl:hasExactSynonym	blood ammonia amount
WARN	duplicate_label_synonym	blood amino acid amount	oboInOwl:hasExactSynonym	blood amino acid amount
WARN	duplicate_label_synonym	blood creatinine amount	oboInOwl:hasExactSynonym	blood creatinine amount
WARN	duplicate_label_synonym	blood corticosterone amount	oboInOwl:hasExactSynonym	blood corticosterone amount
WARN	duplicate_label_synonym	blood aldosterone amount	oboInOwl:hasExactSynonym	blood aldosterone amount
WARN	duplicate_label_synonym	blood protein amount	oboInOwl:hasExactSynonym	blood protein amount
WARN	duplicate_label_synonym	blood hormone amount	oboInOwl:hasExactSynonym	blood hormone amount
WARN	duplicate_label_synonym	blood thyroxine amount	oboInOwl:hasExactSynonym	blood thyroxine amount
WARN	duplicate_label_synonym	blood atrial natriuretic factor amount	oboInOwl:hasExactSynonym	blood atrial natriuretic factor amount
WARN	duplicate_label_synonym	blood leptin amount	oboInOwl:hasExactSynonym	blood leptin amount
WARN	duplicate_label_synonym	urine myoglobin amount	oboInOwl:hasExactSynonym	urine myoglobin amount
WARN	duplicate_label_synonym	blood homocysteine amount	oboInOwl:hasExactSynonym	blood homocysteine amount
WARN	duplicate_label_synonym	blood phospholipid amount	oboInOwl:hasExactSynonym	blood phospholipid amount
WARN	duplicate_label_synonym	blood interleukin-1 amount	oboInOwl:hasExactSynonym	blood interleukin-1 amount
WARN	duplicate_label_synonym	blood interleukin-10 amount	oboInOwl:hasExactSynonym	blood interleukin-10 amount
WARN	duplicate_label_synonym	blood interleukin-6 amount	oboInOwl:hasExactSynonym	blood interleukin-6 amount
WARN	duplicate_label_synonym	blood interleukin-2 amount	oboInOwl:hasExactSynonym	blood interleukin-2 amount
WARN	duplicate_label_synonym	blood interleukin-4 amount	oboInOwl:hasExactSynonym	blood interleukin-4 amount
WARN	duplicate_label_synonym	blood interleukin-7 amount	oboInOwl:hasExactSynonym	blood interleukin-7 amount
WARN	duplicate_label_synonym	blood interleukin-13 amount	oboInOwl:hasExactSynonym	blood interleukin-13 amount
WARN	duplicate_label_synonym	blood interleukin-15 amount	oboInOwl:hasExactSynonym	blood interleukin-15 amount
WARN	duplicate_label_synonym	blood interleukin-17 amount	oboInOwl:hasExactSynonym	blood interleukin-17 amount
WARN	duplicate_label_synonym	blood interleukin-3 amount	oboInOwl:hasExactSynonym	blood interleukin-3 amount
WARN	duplicate_label_synonym	blood interleukin-5 amount	oboInOwl:hasExactSynonym	blood interleukin-5 amount
WARN	duplicate_label_synonym	blood interleukin-9 amount	oboInOwl:hasExactSynonym	blood interleukin-9 amount
WARN	duplicate_label_synonym	blood interleukin-16 amount	oboInOwl:hasExactSynonym	blood interleukin-16 amount
WARN	duplicate_label_synonym	blood interleukin-18 amount	oboInOwl:hasExactSynonym	blood interleukin-18 amount
WARN	duplicate_label_synonym	blood interleukin-1 alpha amount	oboInOwl:hasExactSynonym	blood interleukin-1 alpha amount
WARN	duplicate_label_synonym	blood interleukin-1 beta amount	oboInOwl:hasExactSynonym	blood interleukin-1 beta amount
WARN	duplicate_label_synonym	blood interleukin-21 amount	oboInOwl:hasExactSynonym	blood interleukin-21 amount
WARN	duplicate_label_synonym	milk alpha-lactalbumin amount	oboInOwl:hasExactSynonym	milk alpha-lactalbumin amount
WARN	duplicate_label_synonym	milk whey acidic protein amount	oboInOwl:hasExactSynonym	milk whey acidic protein amount
WARN	duplicate_label_synonym	colostrum hormone amount	oboInOwl:hasExactSynonym	colostrum hormone amount
WARN	duplicate_label_synonym	colostrum steroid amount	oboInOwl:hasExactSynonym	colostrum steroid amount
WARN	duplicate_label_synonym	colostrum leptin amount	oboInOwl:hasExactSynonym	colostrum leptin amount
WARN	duplicate_label_synonym	milk hormone amount	oboInOwl:hasExactSynonym	milk hormone amount
WARN	duplicate_label_synonym	milk steroid amount	oboInOwl:hasExactSynonym	milk steroid amount
WARN	duplicate_label_synonym	milk leptin amount	oboInOwl:hasExactSynonym	milk leptin amount
WARN	duplicate_label_synonym	milk alpha-S1-casein amount	oboInOwl:hasExactSynonym	milk alpha-S1-casein amount
WARN	duplicate_label_synonym	milk kappa-casein amount	oboInOwl:hasExactSynonym	milk kappa-casein amount
WARN	duplicate_label_synonym	milk beta-casein amount	oboInOwl:hasExactSynonym	milk beta-casein amount
WARN	duplicate_label_synonym	milk lactose amount	oboInOwl:hasExactSynonym	milk lactose amount
WARN	duplicate_label_synonym	milk mineral amount	oboInOwl:hasExactSynonym	milk mineral amount
WARN	duplicate_label_synonym	milk chloride amount	oboInOwl:hasExactSynonym	milk chloride amount
WARN	duplicate_label_synonym	blood uric acid amount	oboInOwl:hasExactSynonym	blood uric acid amount
WARN	duplicate_label_synonym	milk fatty acid amount	oboInOwl:hasExactSynonym	milk fatty acid amount
WARN	duplicate_label_synonym	milk saturated fatty acid amount	oboInOwl:hasExactSynonym	milk saturated fatty acid amount
WARN	duplicate_label_synonym	milk unsaturated fatty acid amount	oboInOwl:hasExactSynonym	milk unsaturated fatty acid amount
WARN	duplicate_label_synonym	milk omega-3 fatty acid amount	oboInOwl:hasExactSynonym	milk omega-3 fatty acid amount
WARN	duplicate_label_synonym	milk omega-6 fatty acid amount	oboInOwl:hasExactSynonym	milk omega-6 fatty acid amount
WARN	duplicate_label_synonym	milk conjugated linoleic acid amount	oboInOwl:hasExactSynonym	milk conjugated linoleic acid amount
WARN	duplicate_label_synonym	milk monounsaturated fatty acid amount	oboInOwl:hasExactSynonym	milk monounsaturated fatty acid amount
WARN	duplicate_label_synonym	milk polyunsaturated fatty acid amount	oboInOwl:hasExactSynonym	milk polyunsaturated fatty acid amount
WARN	duplicate_label_synonym	milk beta-carotene amount	oboInOwl:hasExactSynonym	milk beta-carotene amount
