Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	OBCS:0000224	IAO:0000115	A data set that follows a probability distribution@en
ERROR	duplicate_definition	OBCS:0000225	IAO:0000115	A data set that follows a probability distribution@en
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/obcs.owl	dc:title	
ERROR	multiple_definitions	OBCS:0000240	IAO:0000115	An inferential statistical data analysis that  includes all randomized patients in the groups to which they were randomly assigned. The intent-to-treat analysis  is based on the initial treatment assignment and not on the treatment eventually received.  ITT analysis includes every subject who is randomized according to randomized treatment assignment. It ignores noncompliance, protocol deviations, withdrawal, and anything that happens after randomization.
ERROR	multiple_definitions	OBCS:0000240	IAO:0000115	HL, QL, YH
WARN	annotation_whitespace	OBCS:0000001	IAO:0000115	a data transformation that has input of mulitple data and report overall trend of the data. 
WARN	annotation_whitespace	OBCS:0000002	IAO:0000119	WEB: http://en.wikipedia.org/wiki/Data_collection 
WARN	annotation_whitespace	OBCS:0000058	IAO:0000115	A data item that measures the proportion of actual positives which are correctly identified as such (e.g. the percentage of sick people who are correctly identified as having the condition). 
WARN	annotation_whitespace	OBCS:0000060	IAO:0000115	A data item that refers to the extent to which a concept conclusion or measurement is well-founded and corresponds accurately to the real world. 
WARN	annotation_whitespace	OBCS:0000062	IAO:0000115	A plan specification that provides a detailed outline of which measurements will be taken at what times, on which material, in what manner, and by whom. Sampling plans should be designed in such a way that the resulting data will contain a representative sample of the parameters of interest and allow for all questions, as stated in the goals, to be answered. 
WARN	annotation_whitespace	OBCS:0000118	IAO:0000115	A quantitative confidence value that expresses how many times more likely the data are under one model than the other. 
WARN	annotation_whitespace	OBCS:0000121	IAO:0000118	"significantly statistical data analysis
"
WARN	annotation_whitespace	OBCS:0000124	IAO:0000115	A statistical data analysis objective where the aim is to make inference using population sample data. 
WARN	annotation_whitespace	OBCS:0000126	IAO:0000119	WEB: http://en.wikipedia.org/wiki/Random_variable  
WARN	annotation_whitespace	OBCS:0000127	IAO:0000115	An objective specification where the aim is to collect data. 
WARN	annotation_whitespace	OBCS:0000134	IAO:0000119	WEB: http://www.stats.gla.ac.uk/steps/glossary/probability_distributions.html#contvar 
WARN	annotation_whitespace	OBCS:0000135	IAO:0000119	WEB: http://www.stats.gla.ac.uk/steps/glossary/probability_distributions.html#contvar 
WARN	annotation_whitespace	OBCS:0000140	IAO:0000115	A normalization data transformation that used to create normalized gene expression level from microarray raw data. The raw intensity values are background corrected, log2 transformed and then quantile normalized in the RMA normalization process. 
WARN	annotation_whitespace	OBCS:0000141	IAO:0000119	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC33173/http://en.wikipedia.org/wiki/Significance_analysis_of_microarrays
WARN	annotation_whitespace	OBCS:0000142	IAO:0000119	http://en.wikipedia.org/wiki/Signal-to-noise_ratiohttp://www.ncbi.nlm.nih.gov/pubmed/10521349
WARN	annotation_whitespace	OBCS:0000146	IAO:0000115	"A contingency table with two rows and two columns that reports the number of false positives, false negatives, true positives, and true negatives. This allows more detailed analysis than mere proportion of correct guesses (accuracy). 
"
WARN	annotation_whitespace	OBCS:0000147	IAO:0000119	http://www.pnas.org/content/102/43/15545.abstract
WARN	annotation_whitespace	OBCS:0000164	IAO:0000119	"Storey J.D. (2007) The optimal discovery procedure: A new approach to simultaneous significance testing, Journal of the Royal Statistical Society, Series B, 69: 347-368.
Storey J.D., Dai J.Y., and Leek J.T. (2007) The optimal discovery procedure for large-scale significance testing, with applications to comparative microarray experiments, Biostatistics, 8: 414-432.
Leek J.T,. Monsen E.C., Dabney A.R., and Storey J.D. (2006) EDGE: Extraction and analysis of differential gene expression, Bioinformatics, 22: 507-508.
Storey J.D., Xiao W., Leek J.T., Tompkins R.G., and Davis R.W. (2005) Significance analysis of time course microarray experiments, Proceedings of the National Academy of Sciences, 102: 12837-12842.
"
WARN	annotation_whitespace	OBCS:0000165	IAO:0000115	"A software that can be used to produce lists of differentially expressed genes with confidence measures attached. These lists are generated via a False Discovery Rate (FDR) method of controlling the false positives. Patterns from Gene Expression (PaGE) is more than a differential expression analysis tool.  PaGE is a tool to attach descriptive, dependable, and easily interpretable expression patterns to genes across multiple conditions, each represented by a set of replicated array experiments. 
"
WARN	annotation_whitespace	OBCS:0000165	IAO:0000116	The input consists of (replicated) intensities from a collection of array experiments from two or more conditions (or from a collection of direct comparisons on 2-channel arrays). The output consists of patterns, one for each row identifier in the data file. One condition is used as a reference to which the other types are compared. The length of a pattern equals the number of non-reference sample types. The symbols in the patterns are integers, where positive integers represent up-regulation as compared to the reference sample type and negative integers represent down-regulation. The patterns are based on the false discovery rates for each position in the pattern, so that the number of positive and negative symbols that appear in each position of the pattern is as descriptive as the data variability allows. The patterns generated are easily interpretable in that integers are used to represent different levels of up- or down-regulation as compared to the reference sample type. 
WARN	annotation_whitespace	OBCS:0000166	IAO:0000119	"PMID:19553195
Tuteja G., White P., Schug J., Kaestner K.H. (2009) Extracting transcription factor targets from ChIP-Seq data. Nucleic Acids Res., 37(17): e113. doi: 10.1093/nar/gkp536.
"
WARN	annotation_whitespace	OBCS:0000167	IAO:0000119	http://en.wikipedia.org/wiki/Peak_calling
WARN	annotation_whitespace	OBCS:0000226	IAO:0000115	A data set that is an aggregate of numerical data item. 
WARN	annotation_whitespace	OBCS:0000228	IAO:0000115	An confidence interval with 95 percent probability that the true population value can be found. 
WARN	annotation_whitespace	OBCS:0000231	IAO:0000115	A rate of deaths (in general, or due to a specific cause) that in a particular population, scaled to the size of that population, per unit of time. 
WARN	annotation_whitespace	OBCS:0000232	IAO:0000115	A rate of unit shif in a hospital. 
WARN	duplicate_exact_synonym	OBCS:0000162	IAO:0000118	translation validity
WARN	duplicate_exact_synonym	OBCS:0000163	IAO:0000118	translation validity
WARN	duplicate_exact_synonym	OBCS:0000241	IAO:0000118	KS test
WARN	duplicate_exact_synonym	OBCS:0000243	IAO:0000118	KS test
WARN	duplicate_exact_synonym	OBCS:0000005	IAO:0000118	Gaussian distribution
WARN	duplicate_exact_synonym	OBCS:0000211	IAO:0000118	Gaussian distribution
WARN	duplicate_exact_synonym	OBCS:0000246	IAO:0000118	CMH test
WARN	duplicate_exact_synonym	OBCS:0000247	IAO:0000118	CMH test
WARN	equivalent_class_axiom_no_genus	OBCS:0000002	OBI:0000417	OBCS:0000127
