IRI	Label	Issue
http://purl.obolibrary.org/obo/IAO_0000039	has measurement unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000136	is about	not an RO property
http://purl.obolibrary.org/obo/IAO_0000142	mentions	not an RO property
http://purl.obolibrary.org/obo/IAO_0000219	denotes	not an RO property
http://purl.obolibrary.org/obo/IAO_0000221	is quality measurement of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000235	denoted by	not an RO property
http://purl.obolibrary.org/obo/IAO_0000407	has coordinate unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000413	is duration of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000417	is quality measured as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000418	is quality specification of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000419	quality is specified as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000581	has time stamp	not an RO property
http://purl.obolibrary.org/obo/IAO_0000583	has measurement datum	not an RO property
http://purl.obolibrary.org/obo/OBI_0000107	provides_service_consumer_with	not an RO property
http://purl.obolibrary.org/obo/OBI_0000124	is_supported_by_data	not an RO property
http://purl.obolibrary.org/obo/OBI_0000293	has_specified_input	not an RO property
http://purl.obolibrary.org/obo/OBI_0000295	is_specified_input_of	not an RO property
http://purl.obolibrary.org/obo/OBI_0000299	has_specified_output	not an RO property
http://purl.obolibrary.org/obo/OBI_0000304	is_manufactured_by	not an RO property
http://purl.obolibrary.org/obo/OBI_0000312	is_specified_output_of	not an RO property
http://purl.obolibrary.org/obo/OBI_0000314	is_proxy_for	not an RO property
http://purl.obolibrary.org/obo/OBI_0000417	achieves_planned_objective	not an RO property
http://purl.obolibrary.org/obo/OBI_0000643	has grain	not an RO property
http://purl.obolibrary.org/obo/OBI_0000645	is grain of	not an RO property
http://purl.obolibrary.org/obo/OBI_0000646	provisions	not an RO property
http://purl.obolibrary.org/obo/OBI_0000647	has_supplier	not an RO property
http://purl.obolibrary.org/obo/OBI_0000833	objective_achieved_by	not an RO property
http://purl.obolibrary.org/obo/OBI_0000846	is member of organization	not an RO property
http://purl.obolibrary.org/obo/OBI_0000999	has category label	not an RO property
http://purl.obolibrary.org/obo/OBI_0001637	has disposition to bind	not an RO property
http://purl.obolibrary.org/obo/OBI_0001688	has organization member	not an RO property
http://purl.obolibrary.org/obo/OBI_0001927	specifies value of	not an RO property
http://purl.obolibrary.org/obo/OBI_0001938	has value specification	not an RO property
http://purl.obolibrary.org/obo/OBI_0001950	has performer	not an RO property
http://purl.obolibrary.org/obo/OBI_0003385	has assay target context	not an RO property
http://purl.obolibrary.org/obo/OBI_1110060	process is result of	not an RO property
http://purl.obolibrary.org/obo/OBI_1110119	bound_to	not an RO property
http://purl.obolibrary.org/obo/IAO_0000004	has measurement value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000404	has x coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000405	has z coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000406	has y coordinate value	not an RO property
http://purl.obolibrary.org/obo/OBI_0000292	has_feature_value	not an RO property
http://purl.obolibrary.org/obo/OBI_0001937	has specified numeric value	not an RO property
http://purl.obolibrary.org/obo/OBI_0002135	has specified value	not an RO property
http://purl.obolibrary.org/obo/OBI_0002815	has representation	not an RO property
