IRI	Label	Issue
http://purl.obolibrary.org/obo/OHD_0000091	is dental restoration of	not an RO property
http://purl.obolibrary.org/obo/OHD_0000216	next visit	not an RO property
http://purl.obolibrary.org/obo/OHD_0000217	later visit	not an RO property
http://purl.obolibrary.org/obo/OHD_0000014	patient id	not an RO property
http://purl.obolibrary.org/obo/OHD_0000015	occurrence date	not an RO property
http://purl.obolibrary.org/obo/OHD_0000050	birth_date	not an RO property
http://purl.obolibrary.org/obo/OHD_0000053	data source	not an RO property
http://purl.obolibrary.org/obo/OHD_0000097	has patient activity status	not an RO property
http://purl.obolibrary.org/obo/OHD_0000218	first dental visit date	not an RO property
http://purl.obolibrary.org/obo/ohd.owl/last_dental_visit_date	last dental visit date	not an RO property
http://purl.obolibrary.org/obo/OHD_0000234	missing tooth number	not an RO property
http://purl.obolibrary.org/obo/OHD_0000360	missing ada tooth root number	not an RO property
