Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	OHD:0000272	IAO:0000115	A patient-reported outcome that reports a favorable outcome in regards to the patient's health.
ERROR	duplicate_definition	OHD:0005001	IAO:0000115	A patient-reported outcome that reports a favorable outcome in regards to the patient's health.
ERROR	duplicate_definition	OHD:0005010	IAO:0000115	A health care encounter avoidance behavior that involves delay in scheduling a health care appointment due to fear, anxiety, or other psychological factors.
ERROR	duplicate_definition	OHD:0005011	IAO:0000115	A health care encounter avoidance behavior that involves delay in scheduling a health care appointment due to fear, anxiety, or other psychological factors.
ERROR	duplicate_label	OHD:0005010	rdfs:label	health care encounter avoidance behavior that involves delay in scheduling a health care appointment@en
ERROR	duplicate_label	OHD:0005011	rdfs:label	health care encounter avoidance behavior that involves delay in scheduling a health care appointment@en
ERROR	multiple_definitions	OHD:0001080	IAO:0000115	A metal oxide which contain yttrium and oxygen.
ERROR	multiple_definitions	OHD:0001080	IAO:0000115	"Compound CID: 159374  
https://pubchem.ncbi.nlm.nih.gov/compound/159374"
ERROR	multiple_definitions	OHD:0005001	IAO:0000115	A data item that comes directly from a patient about how they function or feel in relation to the patient's health.  A patient reported outcome can include subjective feelings regarding symptoms, functions in daily life, physical, mental, emotional, spiritual, and social well-being, and satisfaction with the health  care that has been received.
ERROR	multiple_definitions	OHD:0005001	IAO:0000115	A patient-reported outcome that reports a favorable outcome in regards to the patient's health.
ERROR	multiple_labels	OHD:0000191	rdfs:label	dental restoration material role
ERROR	multiple_labels	OHD:0000191	rdfs:label	dental restoration material role@en
WARN	annotation_whitespace	OHD:0000006	IAO:0000115	"A tooth restoration procedure in which a dental restoration material is placed into a site that is located in the crown of the tooth.
"
WARN	annotation_whitespace	OHD:0000010	IAO:0000115	"A clinical finding is a specified output of a dental exam and is about the oral cavity, maxillofacial area, and/or the adjacent and associated structures, or their parts, or pathological anatomical entities derived from them. The finding has a part that is about when the exam that led to the finding occured well as other data items specifying the nature of the finding.
@en"
WARN	annotation_whitespace	OHD:0000016	IAO:0000116	"Bill Duncan 09/30/2015:
Professional prophylaxis, radiographs, sealants, and nonsurgical periodontal therapy are among the procedures performed by a hygienist. Most are licensed to administer local anesthesia, depending on applicable regulations in their area. They usually work for a dentist in a dental office or clinic under a form of supervision. In some locations hygienists are allowed to practice without a dentist's supervision. "
WARN	annotation_whitespace	OHD:0000017	IAO:0000115	"a dental health care provider role that inheres in a person who is qualified by training and licensed by a state or region to diagnose and treat abnormalities of the teeth, gums, and underlying bone, including conditions caused by disease, trauma, and heredity

"
WARN	annotation_whitespace	OHD:0000019	IAO:0000115	A conversational, visual and tactile examination in which the clinician evaluates the status of the patient's medical, dental and oral health. @en
WARN	annotation_whitespace	OHD:0000026	IAO:0000116	Bill Duncan 5/14/2012: We have added the necessary condtion that a missing tooth finding is about 'exactly 1 Secondary Dentition'.  
WARN	annotation_whitespace	OHD:0000031	IAO:0000116	 Titus Schleyer 3/4/2014: definition updated
WARN	annotation_whitespace	OHD:0000037	IAO:0000115	A material combination in which a moldable restorative material is placed directly into or on the tooth. The material then hardens and becomes (essentially) part of the tooth. 
WARN	annotation_whitespace	OHD:0000038	IAO:0000115	A material combination in which a rigid piece of restoration material is attached to a tooth. The restoration is attached to the tooth by mechanical forces or some form of cement or glue. 
WARN	annotation_whitespace	OHD:0000057	IAO:0000115	"A surgical dental procedure that removes a tooth from the oral cavity.
"
WARN	annotation_whitespace	OHD:0000057	IAO:0000119	"Mosby. Mosby's Dental Dictionary, 2nd Edition. Mosby, 102007. p. 238
"
WARN	annotation_whitespace	OHD:0000092	IAO:0000115	This annotation is used to indicate that an individual is asserted to be a member of a class.  This is useful when needing to find only the non-inferred type of an individual, and not the all the inferred types.  For example, suppose x is a member of the class 'material entity' and 'material entity' is a subclass of 'independent continuant'.  This entails that x will be a member of 'independent continuant'.  However, by using this annotation to assert that x is a member of 'material entity', you can query for x's 'asserted type' and ignore the other inferred types in the class hierarchy.  
WARN	annotation_whitespace	OHD:0000100	IAO:0000115	A label naming a type of secondary tooth canonically found in humans, adopted by the American Dental Association, and commonly used as labels on odontograms (toothcharts) and clinical notes. The Universal Numbering System uses No. 1 through 32 for the 32 teeth in the permanent dentition, starting with 1 for the maxillary right third molar, going around the arch to the maxillary left third molar as 16; dropping down on the same side, the left mandibular third molar becomes 17, and then the numbers increase around the lower arch to 32, which is the lower right third molar. @en
WARN	annotation_whitespace	OHD:0000100	IAO:0000119	Book:Scheid, Rickne. Woelfel's Dental Anatomy, 8th Edition. Lippincott Williams & Wilkins, 01/2011. pp. i - ii). @en
WARN	annotation_whitespace	OHD:0000158	IAO:0000115	"A procelain fused to nobal metal crown restoration procedure that uses high noble metal as a substrate.
"
WARN	annotation_whitespace	OHD:0000165	IAO:0000115	"a dental health care provider role that inheres in a person who is a an auxiliary to the dental operator
"
WARN	annotation_whitespace	OHD:0000202	IAO:0000115	"An oral evaluation that is performed on new patients; established patients who have had a significant change in health conditions or other unusual circumstances; or established patients who have been absent from active treatment for three or more years. It is a thorough evaluation and recording of the extraoral and intraoral hard and soft tissues. It may require interpretation of information acquired through additional diagnostic procedures. 

This includes an evaluation for oral cancer where indicated, the evaluation and recording of the patients dental and medical history and a general health assessment.  It may include the evaluation and recording of dental caries, missing or unerupted teeth, restorations, existing prostheses, occlusal relationships, periodontal conditions (including periodontal screening and/or charting), hard and soft tissue anomalies, etc. "
WARN	annotation_whitespace	OHD:0000203	IAO:0000115	An oral evaluation performed on patients showing signs or symptoms of periodontal disease and for patients with risk factors for such disease, such as smoking or diabetes.  It includes evaluation of periodontal conditions, probing and charting, evaluation and recording of the patients dental and medical history and general health assessment.  It may include the evaluation and recording of dental caries, missing or unerupted teeth, restorations and occlusal relationships. 
WARN	annotation_whitespace	OHD:0000302	IAO:0000116	usually made of porcelain or plastic 
WARN	annotation_whitespace	OHD:0000310	IAO:0000115	a prosthesis that replaces one or more, but less than all, of the natural teeth and associated structures 
WARN	annotation_whitespace	OHD:0000311	IAO:0000116	"Dan Caplan 12/13/2014:
Mosby's definition is not quite corrrect. The support could also include other teeth that are not adjacent to the endentulous area. The important point is that the prosthesis is supported by existing teeth (wherever they are in the arch), and not by the gingiva.
"
WARN	annotation_whitespace	OHD:0000314	IAO:0000116	"Bill Duncan / Alan Ruttenber 12/16/2014:

Prosthics may be either functional for non-functional. For example, a glass eye bears a prosthetic role, but it does not see. "
WARN	duplicate_label_synonym	OHD:0000169	IAO:0000118	resin onlay restoration procedure
WARN	equivalent_class_axiom_no_genus	OHD:0000000	RO:0000087	OHD:0000191
WARN	equivalent_class_axiom_no_genus	OHD:0000002	BFO:0000055	OHD:0000190
WARN	equivalent_class_axiom_no_genus	OHD:0000421	OHD:0008045	OHD:0000421
