IRI	Label	Issue
http://purl.obolibrary.org/obo/OHMI_0000252	has phenotype	shares label with http://purl.obolibrary.org/obo/RO_0002200
http://purl.obolibrary.org/obo/OHMI_0000481	has host	shares label with http://purl.obolibrary.org/obo/RO_0002454
http://purl.obolibrary.org/obo/OHMI_0000055	microbe susceptibly expanded in host with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000056	microbe susceptibly expanded in human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000059	microbe susceptibly expanded in gut of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000060	has disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000209	microbe susceptibly depleted in host with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000214	microbial population phenotype in host	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000232	microbe susceptibly depleted in human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000272	microbe susceptibly depleted in gut of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000284	microbe susceptibly depleted in rat with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000301	microbe susceptibly expanded in rat with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000303	microbe susceptibly depleted in gut of rat with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000304	microbe susceptibly expanded in gut of rat with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000306	disease in host with susceptibly expanded microbe	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000313	microbe susceptibly changed in host with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000339	disease in host with susceptibly depleted microbe	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000347	microbe susceptibly depleted in respiratory airway of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000348	microbe susceptibly expanded in respiratory airway of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000350	microbe susceptibly expanded in oral cavity of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000354	microbe susceptibly depleted in oral cavity of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000358	microbe susceptibly expanded in mouse with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000359	microbe susceptibly expanded in gut of mouse with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000363	microbe susceptibly depleted in mouse with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000364	microbe susceptibly depleted in gut of mouse with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000377	has microbe depleted in diseased host	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000423	has microbe expanded in diseased host	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000453	microbe susceptibly depleted (compared to fibromyalgia patients) in gut of human with disease	not an RO property
http://purl.obolibrary.org/obo/OHMI_0000467	has microbe population size altered in diseased host	not an RO property
