IRI	Label	Issue
http://purl.obolibrary.org/obo/OHPI_0000002	gene mutant attenuated in host organism	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000003	gene as virulence factor in pathogen	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000004	gene mutant attenuated in host cell line cell	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000005	gene mutant attenuated in host cell	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000007	gene mutant attenuated in host	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000025	has microbe mutated gene	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000026	has hpi host	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000029	has hpi pathogen	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000033	has hpi host organism	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000035	has hpi host cell	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000036	has hpi host cell line cell	not an RO property
http://purl.obolibrary.org/obo/OHPI_0000090	gene encoding antigen	not an RO property
