Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	name of biobank contact person	IAO:0000115	A personal name that designates the person acting as contact for a sample collection or a study.@en
ERROR	duplicate_definition	name of sample collection or study contact person	IAO:0000115	A personal name that designates the person acting as contact for a sample collection or a study.@en
ERROR	misused_obsolete_label	obsolete_survey data	rdfs:label	obsolete_survey data@en
ERROR	missing_ontology_description	obo:omiabis.owl	dc11:description	
ERROR	multiple_definitions	biobank organization	IAO:0000115	An organization bearing legal personality that ownes or adminstrates a biobank.
ERROR	multiple_definitions	biobank organization	IAO:0000115	An organization bearing legal personality that ownes or adminstrates a biobank.@en
ERROR	multiple_definitions	contacting	IAO:0000115	A planned process that involves a human being and is intended to initiate a communication with another human being.@en
ERROR	multiple_definitions	contacting	IAO:0000115	Contacting is the process of one human being starting a communication process with another human being. Contacting can be done using all modes of communication used by humans.
ERROR	multiple_definitions	department of sample collection or study contact	IAO:0000115	A department that has a contact person for a sample collection or a study as an organizational member.@en
ERROR	multiple_definitions	department of sample collection or study contact	IAO:0000115	Mathias Brochhausen
ERROR	multiple_definitions	intra-settlement specification part of address of sample collection or study contact	IAO:0000115	An intra-settlement specification part of address that is part of a sample collection or study contact's postal address.@en
ERROR	multiple_definitions	intra-settlement specification part of address of sample collection or study contact	IAO:0000115	Sample Collection/Study contact address@en
ERROR	multiple_definitions	biobank contact role	IAO:0000115	A contact role borne by a member of a biobank organization and realized by serving as the contact for one of its biobanks.@en
ERROR	multiple_definitions	biobank contact role	IAO:0000115	A contact role borne by a member of a sample collection or study organization and realized by serving as the contact for the collection or the study.@en
ERROR	multiple_definitions	omics experiment on specimen	IAO:0000115	An objective specification that aims at the collective characterization and quantification of pools of biological molecules that translate into the structure, function, and dynamics of an organism or organisms.@en
