Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/omrse/omrse-base.owl	dc:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/omrse/omrse-base.owl	dc:title	
ERROR	missing_label	OMIABIS:0000008	rdfs:label	
ERROR	missing_label	OMIABIS:0000009	rdfs:label	
ERROR	missing_label	OMIABIS:0000048	rdfs:label	
ERROR	missing_label	OMRSE:00002046	rdfs:label	
ERROR	missing_label	OMRSE:00002047	rdfs:label	
ERROR	missing_label	PCO:0000020	rdfs:label	
ERROR	missing_label	RO:0002217	rdfs:label	
ERROR	deprecated_boolean_datatype	is-aggregate-of	owl:deprecated	true@en
ERROR	deprecated_class_reference	obsolete OMB ethnic identity datum	rdfs:subClassOf	obsolete ethnic identity datum
ERROR	deprecated_class_reference	obsolete OMB ethnic identity datum	rdfs:subClassOf	obsolete hispanic or latino identity datum
ERROR	deprecated_class_reference	obsolete OMB ethnic identity datum	rdfs:subClassOf	obsolete not hispanic or latino identity datum
ERROR	deprecated_class_reference	obsolete socio-legal human social role	rdfs:subClassOf	human social role
ERROR	deprecated_class_reference	obsolete racial identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete racial identity datum	owl:equivalentClass	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid305
ERROR	deprecated_class_reference	obsolete ethnic identity datum	rdfs:subClassOf	obsolete OMB ethnic identity datum
ERROR	deprecated_class_reference	obsolete ethnic identity datum	owl:equivalentClass	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid319
ERROR	deprecated_class_reference	obsolete hispanic or latino identity datum	rdfs:subClassOf	obsolete OMB ethnic identity datum
ERROR	deprecated_class_reference	obsolete not hispanic or latino identity datum	rdfs:subClassOf	obsolete OMB ethnic identity datum
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	obsolete self-identity data item
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	answer to identity question
ERROR	deprecated_class_reference	obsolete identity datum	owl:equivalentClass	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid383
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	obsolete female gender identity datum
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	obsolete male gender identity datum
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	obsolete non-binary gender identity datum
ERROR	deprecated_class_reference	obsolete gender identity datum	owl:equivalentClass	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid392
ERROR	deprecated_class_reference	obsolete female gender identity datum	rdfs:subClassOf	obsolete gender identity datum
ERROR	deprecated_class_reference	obsolete male gender identity datum	rdfs:subClassOf	obsolete gender identity datum
ERROR	deprecated_class_reference	obsolete self-identity data item	rdfs:subClassOf	obsolete identity datum
ERROR	deprecated_class_reference	obsolete medical advice	rdfs:subClassOf	IAO:0021003
ERROR	deprecated_class_reference	questions asking process	rdfs:subClassOf	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid439
ERROR	deprecated_class_reference	questions asking process	rdfs:subClassOf	bb9aa1cb-b2ef-4725-bfcc-a8737107305agenid440
ERROR	deprecated_class_reference	questions asking process	rdfs:subClassOf	identity question asking process
ERROR	deprecated_class_reference	material information bearer of question text plus answer set	rdfs:subClassOf	BFO:0000040
ERROR	deprecated_class_reference	identity question asking process	rdfs:subClassOf	questions asking process
ERROR	deprecated_class_reference	identity question asking process	rdfs:subClassOf	ethnic identity question asking process
ERROR	deprecated_class_reference	identity question asking process	rdfs:subClassOf	race identity question asking process
ERROR	deprecated_class_reference	ethnic identity question asking process	rdfs:subClassOf	identity question asking process
ERROR	deprecated_class_reference	race identity question asking process	rdfs:subClassOf	identity question asking process
ERROR	deprecated_class_reference	obsolete American Indian or Alaska Native identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete Asian identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete black or African American identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete Native Hawaiian or other Pacific Islander identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete white identity datum	rdfs:subClassOf	obsolete OMB racial identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete racial identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete American Indian or Alaska Native identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete Asian identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete black or African American identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete Native Hawaiian or other Pacific Islander identity datum
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	obsolete white identity datum
ERROR	deprecated_class_reference	obsolete non-binary gender identity datum	rdfs:subClassOf	obsolete gender identity datum
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	obsolete racial identity datum
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	obsolete ethnic identity datum
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	obsolete gender identity datum
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	questions asking process
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	material information bearer of question text plus answer set
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	obsolete OMB racial identity datum
WARN	missing_definition	OMIABIS:0000008	IAO:0000115	
WARN	missing_definition	OMIABIS:0000009	IAO:0000115	
WARN	missing_definition	OMIABIS:0000048	IAO:0000115	
WARN	missing_definition	party to a legal entity	IAO:0000115	
WARN	missing_definition	party to a legal proceeding	IAO:0000115	
WARN	missing_definition	party to a legal agreement	IAO:0000115	
WARN	missing_definition	party to a marriage contract	IAO:0000115	
WARN	missing_definition	party to a power of attorney	IAO:0000115	
WARN	missing_definition	person health care provider role	IAO:0000115	
WARN	missing_definition	is-aggregate-of	IAO:0000115	
WARN	missing_definition	intravenous drug user	IAO:0000115	
WARN	missing_definition	material entity role	IAO:0000115	
WARN	missing_definition	organism role	IAO:0000115	
WARN	missing_definition	Homo sapiens role	IAO:0000115	
WARN	missing_definition	organization role	IAO:0000115	
WARN	missing_definition	school role	IAO:0000115	
WARN	missing_definition	nursery school role	IAO:0000115	
WARN	missing_definition	primary school role	IAO:0000115	
WARN	missing_definition	secondary school role	IAO:0000115	
WARN	missing_definition	is administered by	IAO:0000115	
WARN	missing_definition	is enrolled in school	IAO:0000115	
WARN	missing_definition	is admitted to hospital	IAO:0000115	
WARN	missing_definition	workplace facility	IAO:0000115	
WARN	missing_definition	enrollment end date	IAO:0000115	
WARN	missing_definition	age measurement datum	IAO:0000115	
WARN	missing_definition	payer role	IAO:0000115	
WARN	missing_definition	party to an insurance policy	IAO:0000115	
