Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Physical activity assessment	IAO:0000115	This class should not be used as an ontology term, it is included as a superclass for the purpose to give a better organization to the ontology.@en
ERROR	duplicate_definition	Blood Analytics	IAO:0000115	This class should not be used as an ontology term, it is included as a superclass for the purpose to give a better organization to the ontology.@en
ERROR	deprecated_class_reference	obo:ONS_0000057	rdfs:subClassOf	<http://purl.obolibrary.org/obo/ONS_0000065>
ERROR	missing_ontology_description	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl	dc11:description	
ERROR	missing_ontology_license	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl	dc:license	
WARN	equivalent_pair	OBI:0000630	owl:equivalentClass	<http://purl.obolibrary.org/obo/ONS_0000052>
WARN	missing_definition	Seroepidemiologic Studies	IAO:0000115	
WARN	missing_definition	Literature database query	IAO:0000115	
WARN	missing_obsolete_label	Dietary assessment method	rdfs:label	Dietary assessment method@en
WARN	missing_obsolete_label	subject informations	rdfs:label	subject informations@en
WARN	missing_obsolete_label	Start tab	rdfs:label	Start tab@en
WARN	missing_obsolete_label	Subject tab	rdfs:label	Subject tab@en
WARN	missing_obsolete_label	Event tab	rdfs:label	Event tab@en
WARN	missing_obsolete_label	Sampling tab	rdfs:label	Sampling tab@en
WARN	missing_obsolete_label	Information tab	rdfs:label	Information tab@en
WARN	missing_obsolete_label	Physiology assay type	rdfs:label	Physiology assay type@en
