IRI	Label	Issue
http://purl.obolibrary.org/obo/ONTOAVIDA_00000004	executes	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000005	is executed by	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000134	has digital phenotype	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000154	mutant of	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000176	is computed by	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000182	computes	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00001197	encodes	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00001198	encodes seq	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00001199	is encoded by	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00001200	involves	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000006	gestation time	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000015	doi	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000019	virtual cpu	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000098	instruction sequence	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000121	tandem repeat instruction sequence	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000122	genome instruction sequence	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000123	transcriptome instruction sequence	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000125	tandem repeat length	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000160	position at genome	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000161	transcriptome position at genome	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000166	tandem repeat position at genome	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000175	genome length	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000191	transcriptome length	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000192	viable	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000193	genome length executed	not an RO property
http://purl.obolibrary.org/obo/ONTOAVIDA_00000197	number of tandem repetitions	not an RO property
