Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	OOSTT:00000146	IAO:0000115	An aggregate of organizations whose members are all bearer of a level 1 trauma center role.@en
ERROR	duplicate_definition	OOSTT:00000161	IAO:0000115	An aggregate of organizations whose members are all bearer of a level 1 trauma center role.@en
ERROR	duplicate_definition	OOSTT:00000304	IAO:0000115	An aggregate of organization that consists only of emergencny medical service pediatric ground transportation agencies.@en
ERROR	duplicate_definition	OOSTT:00000305	IAO:0000115	An aggregate of organization that consists only of emergencny medical service pediatric ground transportation agencies.@en
ERROR	duplicate_definition	OOSTT:00000006	IAO:0000115	A committee with members from multiple specialties that engages in case review of trauma cases.@en
ERROR	duplicate_definition	OOSTT:00000052	IAO:0000115	A committee with members from multiple specialties that engages in case review of trauma cases.@en
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/oostt.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/oostt.owl	dc:description	
WARN	missing_definition	OOSTT:00000030	IAO:0000115	
WARN	missing_definition	OOSTT:00000111	IAO:0000115	
WARN	missing_definition	OOSTT:00000113	IAO:0000115	
WARN	missing_definition	OOSTT:00000277	IAO:0000115	
WARN	missing_definition	OOSTT:00000282	IAO:0000115	
WARN	missing_definition	OOSTT:00000303	IAO:0000115	
WARN	missing_definition	OOSTT:00000308	IAO:0000115	
WARN	missing_definition	OOSTT:00000311	IAO:0000115	
WARN	missing_definition	OOSTT:00000313	IAO:0000115	
WARN	missing_definition	OOSTT:00000365	IAO:0000115	
WARN	equivalent_class_axiom_no_genus	OOSTT:00000054	OBI:0000299	OOSTT:00000159
WARN	equivalent_class_axiom_no_genus	OOSTT:00000166	OBI:0000312	OOSTT:00000167
WARN	equivalent_class_axiom_no_genus	OOSTT:00000212	OBI:0000312	OOSTT:00000211
WARN	equivalent_class_axiom_no_genus	OOSTT:00000215	OBI:0000312	OOSTT:00000214
WARN	equivalent_class_axiom_no_genus	OOSTT:00000233	OBI:0000312	OOSTT:00000232
WARN	equivalent_class_axiom_no_genus	OOSTT:00000296	BFO:0000075	OOSTT:00000292
WARN	equivalent_class_axiom_no_genus	OOSTT:00000304	BFO:0000075	OOSTT:00000302
WARN	equivalent_class_axiom_no_genus	OOSTT:00000305	BFO:0000075	OOSTT:00000303
WARN	duplicate_label_synonym	OOSTT:00000195	IAO:0000118	general surgeon role@en
INFO	missing_superclass	OOSTT:00000201	rdfs:subClassOf	
INFO	lowercase_definition	OOSTT:00000042	IAO:0000115	'organize' holds between an independent continuant and a planned process, iff the independent continuant particpates in the planned process and also participated in the creation of the plan specification that the planned process realizes.@en
INFO	lowercase_definition	OOSTT:00000100	IAO:0000115	a socio-legal generically dependent continuant that is concretized in a role within an organizational context and which legally, normatively, or ethically permits some action.@en
INFO	lowercase_definition	OOSTT:00000101	IAO:0000115	authority prescribed by some enabling legislation@en
INFO	lowercase_definition	OOSTT:00000110	IAO:0000115	a governmental organization that has the authority to create, amend, fund, and repeal laws.@en
INFO	lowercase_definition	OOSTT:00000114	IAO:0000115	an organization consisting of persons who bear committee member role where that organization is appointed by an organization or members of an organization to realize a role.@en
INFO	lowercase_definition	OOSTT:00000115	IAO:0000115	a committee whose function is to evaluate the system of care within a trauma center.@en
INFO	lowercase_definition	OOSTT:00000116	IAO:0000115	a role that inheres in a homo sapiens that, if realized, is realized by preparing, keeping, and overseeing records made in a register.@en
INFO	lowercase_definition	OOSTT:00000117	IAO:0000115	a role that, if realized, is realized in the organization context of a committee.@en
INFO	lowercase_definition	OOSTT:00000118	IAO:0000115	a disposition realized in process profiles that have participants the biological qualities of patients and the practices and instruments of medical professionals.@en
INFO	lowercase_definition	OOSTT:00000123	IAO:0000115	'has policy' holds between an organization and a directive information entity, iff the directive information entity is the outcome of a document act and it is meant to regulate the actions of the organization or its organizational members.@en
INFO	lowercase_definition	OOSTT:00000145	IAO:0000115	'services area' holds iff a an organization performing or organizing paid or unpaid planned processes that benefit 3rd parties and b is a geographical region and a performs or organizes said planned process in the site of b.@en
INFO	lowercase_definition	OOSTT:00000278	IAO:0000115	'policy of' holds between a directive information entity and an organization iff the directive information entity is the outcome of a document act and it is meant to regulate the actions of the organization or its organizational members.@en
