Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete class	rdfs:label	obsolete class@en
ERROR	duplicate_definition	primary admission diagnosis status	IAO:0000115	The status of have the primary admission diagnosis
ERROR	duplicate_definition	preliminary admission diagnosis status	IAO:0000115	The status of have the primary admission diagnosis
ERROR	duplicate_definition	preliminary discharge diagnosis status	IAO:0000115	The status of have the primary admission diagnosis
ERROR	duplicate_definition	recruitment status	IAO:0000115	The current stage of a clinical study and whether it is or will be open for enrollment
ERROR	duplicate_definition	study status	IAO:0000115	The current stage of a clinical study and whether it is or will be open for enrollment
ERROR	duplicate_definition	DNA biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	duplicate_definition	RNA biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	duplicate_definition	protein biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	duplicate_definition	sponsor investigator role	IAO:0000115	An investigator role taken by an individual who both initiates and conducts the study
ERROR	duplicate_definition	sponsor investigator	IAO:0000115	An investigator role taken by an individual who both initiates and conducts the study
ERROR	duplicate_definition	Whether self owns email address	IAO:0000115	An email question that asks whether the email address provided belongs to the person being surveyed.
ERROR	duplicate_definition	Who owns email address	IAO:0000115	An email question that asks whether the email address provided belongs to the person being surveyed.
ERROR	duplicate_definition	outpatient visit	IAO:0000115	A vist ocurrence in which a patient attends an outpatient clinic with no plan to stay beyond the duration of the visit.
ERROR	duplicate_definition	emergency room visit	IAO:0000115	A vist ocurrence in which a patient attends an outpatient clinic with no plan to stay beyond the duration of the visit.
ERROR	duplicate_definition	age question	IAO:0000115	A textual question about age
ERROR	duplicate_definition	email question	IAO:0000115	A textual question about age
ERROR	multiple_definitions	health insurance plan	IAO:0000115	The code in the specific coding system for the payment method of the expenses incurred in a single hospitalization of the patient@en
ERROR	multiple_definitions	health insurance plan	IAO:0000115	患者单次住院诊疗所发生费用的支付方式的特定编码体系中的代码@zh
ERROR	multiple_definitions	viroid	IAO:0000115	
ERROR	multiple_definitions	viroid	IAO:0000115	An non-organism infectious agent that is composed solely of a short strand of circular, single-stranded RNA and has no protein coating.
ERROR	multiple_definitions	DNA biomarker	IAO:0000115	A molecular biomarker at the DNA gene level
ERROR	multiple_definitions	DNA biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	multiple_definitions	RNA biomarker	IAO:0000115	A molecular biomarker at the RNA level
ERROR	multiple_definitions	RNA biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	multiple_definitions	protein biomarker	IAO:0000115	A molecular biomarker at the protein level
ERROR	multiple_definitions	protein biomarker	IAO:0000115	Oliver He, Yingtong Liu
ERROR	multiple_definitions	date of hospital admission	IAO:0000115	A time measurement datum that is about a human being who bears a patient role and specifies the date of the patient's admission to a hospital@en
ERROR	multiple_definitions	date of hospital admission	IAO:0000115	指患者实际入病房的接诊时间@zh
ERROR	multiple_definitions	date of hospital discharge	IAO:0000115	A time measurement datum that is about a human being who bears a patient role and specifies the date of the patient's discharge from a hospital@en
ERROR	multiple_definitions	date of hospital discharge	IAO:0000115	出院时间是指患者治疗结束或终止治疗离开病房的时间，其中死亡患者是指其死亡时间；记录时间应当精确到分钟@zh
ERROR	multiple_definitions	residents health card number	IAO:0000115	The number of health card for residents of the People's Republic of China@en
ERROR	multiple_definitions	residents health card number	IAO:0000115	在已统一发放“中华人民共和国居民健康卡”的地区填写健康卡号码，尚未发放“健康卡”的地区填写“-”@zh
ERROR	multiple_definitions	Early Phase 1 clinical trial	IAO:0000115	A clinical trial that is at Early Phase 1 or Phase 0
ERROR	multiple_definitions	Early Phase 1 clinical trial	IAO:0000115	A clinical trial that is at an Early Phase i or Phase 0, which is designed to use an investigational agent that is available only in very limited quantities and which has never previously given to humans or for which there is extremely limited human experience. Phase 0 clinical trials are intended to enable researchers to understand the path of the drug in the body and its efficacy. Adverse event reporting in Phase 0 trials is expedited. [def-source: NCI]
ERROR	multiple_definitions	Phase 3 clinical trial	IAO:0000115	A clinical trial that is at Phase 3
ERROR	multiple_definitions	Phase 3 clinical trial	IAO:0000115	A clinical trial that is at Phase 3, which is designed to investigate the efficacy of the biomedical or behavioral intervention in large groups of human subjects (from several hundred to several thousand), to confirm efficacy, to monitor adverse reactions to the new medication or treatment regimen with respect to long-term use and by comparing the intervention to other standard or experimental interventions as well as to a placebo. [def-source: NCI]
WARN	equivalent_class_axiom_no_genus	precision medicine process	OBI:0000417	precision medicine objective
WARN	equivalent_class_axiom_no_genus	investigator	RO:0000087	investigator role
WARN	equivalent_class_axiom_no_genus	contact person	RO:0000087	contact person role
WARN	equivalent_class_axiom_no_genus	primary registry identifier	RO:0000087	primary registry identifier role
WARN	equivalent_class_axiom_no_genus	sponsor	RO:0000087	OBI:0000243
WARN	equivalent_class_axiom_no_genus	secondary registry identifier	RO:0000087	secondary registry identifier role
WARN	equivalent_class_axiom_no_genus	principal investigator	RO:0000087	principal investigator role
WARN	equivalent_class_axiom_no_genus	sponsor investigator	RO:0000087	sponsor investigator role
WARN	equivalent_class_axiom_no_genus	patient	RO:0000087	OMRSE:00000030
WARN	equivalent_class_axiom_no_genus	biomarker	RO:0000087	biomarker role
WARN	equivalent_class_axiom_no_genus	Early Phase 1 clinical trial	has process quality	clinical trial early phase 1
WARN	equivalent_class_axiom_no_genus	Phase 1 clinical trial	has process quality	clinical trial phase 1
WARN	equivalent_class_axiom_no_genus	Phase 2 clinical trial	has process quality	clinical trial phase 2
WARN	equivalent_class_axiom_no_genus	Phase 3 clinical trial	has process quality	clinical trial phase 3
WARN	equivalent_class_axiom_no_genus	Phase 4 clinical trial	has process quality	clinical trial phase 4
WARN	duplicate_exact_synonym	provenance of procedure record	IAO:0000118	Procedure Type Concept
WARN	duplicate_exact_synonym	provenance of episode record	IAO:0000118	Procedure Type Concept
WARN	duplicate_exact_synonym	procedure start date	IAO:0000118	procedure date
WARN	duplicate_exact_synonym	procedure start datetime	IAO:0000118	procedure date
WARN	duplicate_exact_synonym	procedure end date	IAO:0000118	procedure date
WARN	duplicate_exact_synonym	procedure end datetime	IAO:0000118	procedure date
WARN	duplicate_exact_synonym	primary admission diagnosis status	IAO:0000118	primary admission diagnosis
WARN	duplicate_exact_synonym	postoperative diagnosis status	IAO:0000118	primary admission diagnosis
WARN	duplicate_exact_synonym	secondary sponsor role	IAO:0000118	collaborator role
WARN	duplicate_exact_synonym	investigation collaborator role	IAO:0000118	collaborator role
WARN	duplicate_exact_synonym	central contact person of study	IAO:0000118	central contact person
WARN	duplicate_exact_synonym	central contact backup of study	IAO:0000118	central contact person
WARN	missing_definition	more than 5.5 pounds (2500 grams) birth weight	IAO:0000115	
WARN	missing_definition	less than 5.5 pounds (2500 grams) birth weight	IAO:0000115	
WARN	missing_definition	unknown birth weight	IAO:0000115	
WARN	missing_definition	birth weight declined to answer	IAO:0000115	
WARN	missing_definition	individual plan insurance (paid by the member)	IAO:0000115	
WARN	missing_definition	group plan insurance through employee union	IAO:0000115	
WARN	missing_definition	USA government health plan insurance	IAO:0000115	
WARN	missing_definition	no insurance status	IAO:0000115	
WARN	missing_definition	body temperature measured orally	IAO:0000115	
WARN	missing_definition	body temprature by ear (tempanic, aural)	IAO:0000115	
WARN	missing_definition	body temprature by forhead	IAO:0000115	
WARN	missing_definition	arterial line body temperature	IAO:0000115	
WARN	missing_definition	body temprature by other measurement	IAO:0000115	
WARN	missing_definition	direct serum bilirubin level	IAO:0000115	
WARN	missing_definition	precision medicine objective	IAO:0000115	
WARN	missing_definition	medical history form	IAO:0000115	
WARN	missing_definition	physical measurement form	IAO:0000115	
WARN	missing_definition	laboratory result form	IAO:0000115	
WARN	missing_definition	new patient form	IAO:0000115	
WARN	missing_definition	biopsy procedure form	IAO:0000115	
WARN	missing_definition	kidney biopsy procedure form	IAO:0000115	
WARN	missing_definition	consent form	IAO:0000115	
WARN	missing_definition	paper form	IAO:0000115	
WARN	missing_definition	paper form with signature required	IAO:0000115	
WARN	missing_definition	biosample collection form	IAO:0000115	
WARN	missing_definition	clinic reception form	IAO:0000115	
WARN	missing_definition	medications form	IAO:0000115	
WARN	missing_definition	participant study status form	IAO:0000115	
WARN	missing_definition	hospitalization form	IAO:0000115	
WARN	missing_definition	personal history form	IAO:0000115	
WARN	missing_definition	AKI hospitalization form	IAO:0000115	
WARN	missing_definition	CKD hospitalization form	IAO:0000115	
WARN	missing_definition	participant reported outcome measures form	IAO:0000115	
WARN	missing_definition	health literacy questionnaire form	IAO:0000115	
WARN	missing_definition	biopsy safety checklist form	IAO:0000115	
WARN	missing_definition	post biopsy form	IAO:0000115	
WARN	missing_definition	pathology images upload form	IAO:0000115	
WARN	missing_definition	diagnostic core .jpg images QC form	IAO:0000115	
WARN	missing_definition	diagnostic core - disease categories form	IAO:0000115	
WARN	missing_definition	central path quality metrics assessment Dx core form	IAO:0000115	
WARN	missing_definition	central path quality metrics assessment interrogation core form	IAO:0000115	
WARN	missing_definition	post-biopsy patient experience survey form	IAO:0000115	
WARN	missing_definition	adverse event entry form	IAO:0000115	
WARN	missing_definition	month of year	IAO:0000115	
WARN	missing_definition	person first name	IAO:0000115	
WARN	missing_definition	person last name	IAO:0000115	
WARN	missing_definition	person middle name	IAO:0000115	
WARN	missing_definition	married marital status	IAO:0000115	
WARN	missing_definition	single marrital status	IAO:0000115	
WARN	missing_definition	divorced marrital status	IAO:0000115	
WARN	missing_definition	legally separated marital status	IAO:0000115	
WARN	missing_definition	not married marital status	IAO:0000115	
WARN	missing_definition	cellular telephone number	IAO:0000115	
WARN	missing_definition	home postal address	IAO:0000115	
WARN	missing_definition	work postal address	IAO:0000115	
WARN	missing_definition	M.D. completion education level	IAO:0000115	
WARN	missing_definition	Pharmacy complete education level	IAO:0000115	
WARN	missing_definition	private health insurance plan	IAO:0000115	
