Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/ornaseq.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/ornaseq.owl	dc:description	
WARN	missing_definition	date of specimen amplification	IAO:0000115	
WARN	missing_definition	date of specimen library preparation	IAO:0000115	
WARN	missing_definition	enzymatic amplification protocol	IAO:0000115	
WARN	missing_definition	experiment name	IAO:0000115	
WARN	missing_definition	Illumina TruSeq Rapid SBS Kit v2	IAO:0000115	
WARN	missing_definition	Illumina TruSeq Stranded	IAO:0000115	
WARN	missing_definition	library preparation protocol	IAO:0000115	
WARN	missing_definition	number of flow cell lanes	IAO:0000115	
WARN	missing_definition	number of flow cells	IAO:0000115	
WARN	missing_definition	pairwise sequence alignment application	IAO:0000115	
WARN	missing_definition	region of material anatomical entity	IAO:0000115	
WARN	missing_definition	RNA harvest compound	IAO:0000115	
WARN	missing_definition	specimen harvest source type	IAO:0000115	
WARN	missing_definition	specimen harvest source unit	IAO:0000115	
WARN	missing_definition	star	IAO:0000115	
WARN	missing_definition	TIVA tag	IAO:0000115	
WARN	missing_definition	verse	IAO:0000115	
