Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	OVAE:0000553	IAO:0000115	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an injection-site pain AE
ERROR	duplicate_definition	OVAE:0000557	IAO:0000115	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an injection-site pain AE
ERROR	duplicate_definition	OVAE:0000556	IAO:0000115	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an diarrhea AE
ERROR	duplicate_definition	OVAE:0000564	IAO:0000115	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an diarrhea AE
ERROR	duplicate_definition	OVAE:0000426	IAO:0000115	A Havrix vaccine adverse event that is associated with an administration of Havrix and displays an headache AE
ERROR	duplicate_definition	OVAE:0000427	IAO:0000115	A Havrix vaccine adverse event that is associated with an administration of Havrix and displays an headache AE
ERROR	duplicate_definition	OVAE:0000258	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE
ERROR	duplicate_definition	OVAE:0000261	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE
ERROR	duplicate_definition	OVAE:0000264	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE
ERROR	duplicate_definition	OVAE:0000259	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an injection-site pain AE
ERROR	duplicate_definition	OVAE:0000262	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an injection-site pain AE
ERROR	duplicate_definition	OVAE:0000260	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an headache AE
ERROR	duplicate_definition	OVAE:0000263	IAO:0000115	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an headache AE
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/ovae.owl	dc:license	
ERROR	duplicate_label	OVAE:0000553	rdfs:label	Menomune-A/C/Y/W-135-associated injection-site pain AE
ERROR	duplicate_label	OVAE:0000557	rdfs:label	Menomune-A/C/Y/W-135-associated injection-site pain AE
ERROR	duplicate_label	OVAE:0000556	rdfs:label	Menomune-A/C/Y/W-135-associated diarrhea AE
ERROR	duplicate_label	OVAE:0000564	rdfs:label	Menomune-A/C/Y/W-135-associated diarrhea AE
ERROR	duplicate_label	OVAE:0000426	rdfs:label	Havrix-associated headache AE
ERROR	duplicate_label	OVAE:0000427	rdfs:label	Havrix-associated headache AE
ERROR	duplicate_label	OVAE:0000258	rdfs:label	Fluzone-associated myalgia AE
ERROR	duplicate_label	OVAE:0000261	rdfs:label	Fluzone-associated myalgia AE
ERROR	duplicate_label	OVAE:0000264	rdfs:label	Fluzone-associated myalgia AE
ERROR	duplicate_label	OVAE:0000259	rdfs:label	Fluzone-associated injection-site pain AE
ERROR	duplicate_label	OVAE:0000262	rdfs:label	Fluzone-associated injection-site pain AE
ERROR	duplicate_label	OVAE:0000260	rdfs:label	Fluzone-associated headache AE
