IRI	Label	Issue
http://purl.obolibrary.org/obo/pato#decreased_in_magnitude_relative_to	decreased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/pato#different_in_magnitude_relative_to	different_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/pato#directly_associated_with	directly_associated_with	not an RO property
http://purl.obolibrary.org/obo/pato#has_cross_section	has_cross_section	not an RO property
http://purl.obolibrary.org/obo/pato#has_dividend_entity	has_dividend_entity	not an RO property
http://purl.obolibrary.org/obo/pato#has_dividend_quality	has_dividend_quality	not an RO property
http://purl.obolibrary.org/obo/pato#has_divisor_entity	has_divisor_entity	not an RO property
http://purl.obolibrary.org/obo/pato#has_divisor_quality	has_divisor_quality	not an RO property
http://purl.obolibrary.org/obo/pato#has_ratio_quality	has_ratio_quality	not an RO property
http://purl.obolibrary.org/obo/pato#has_relative_magnitude	has_relative_magnitude	not an RO property
http://purl.obolibrary.org/obo/pato#increased_in_magnitude_relative_to	increased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/pato#inversely_associated_with	inversely_associated_with	not an RO property
http://purl.obolibrary.org/obo/pato#is_magnitude_of	is_magnitude_of	not an RO property
http://purl.obolibrary.org/obo/pato#is_measurement_of	is_measurement_of	not an RO property
http://purl.obolibrary.org/obo/pato#is_unit_of	is_unit_of	not an RO property
http://purl.obolibrary.org/obo/pato#reciprocal_of	reciprocal_of	not an RO property
http://purl.obolibrary.org/obo/pato#similar_in_magnitude_relative_to	similar_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/pato#singly_occurring_form_of	singly_occurring_form_of	not an RO property
