Level	Rule Name	Subject	Property	Value
WARN	missing_definition	obo:PBPKO_01501	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01502	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01503	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01504	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01505	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01506	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01507	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01508	IAO:0000115	
WARN	missing_definition	obo:PBPKO_01509	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03005	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03006	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03007	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03008	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03009	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03010	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03011	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03012	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03013	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03014	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03015	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03016	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03017	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03018	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03019	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03020	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03021	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03023	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03024	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03025	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03026	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03027	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03028	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03030	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03031	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03032	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03033	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03034	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03035	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03036	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03037	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03038	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03039	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03040	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03041	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03042	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03043	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03044	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03045	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03046	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03047	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03048	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03049	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03050	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03051	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03052	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03053	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03054	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03055	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03056	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03057	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03058	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03059	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03060	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03061	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03062	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03063	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03064	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03065	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03066	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03067	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03068	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03069	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03070	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03071	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03072	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03073	IAO:0000115	
WARN	missing_definition	obo:PBPKO_03074	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04038	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04039	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04040	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04041	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04042	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04043	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04044	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04045	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04046	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04047	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04048	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04049	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04050	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04051	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04052	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04053	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04054	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04055	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04056	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04057	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04058	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04059	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04060	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04061	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04062	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04063	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04064	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04065	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04066	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04067	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04068	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04069	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04070	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04071	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04072	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04073	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04074	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04075	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04076	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04077	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04078	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04079	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04080	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04081	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04082	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04083	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04084	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04085	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04086	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04087	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04088	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04089	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04090	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04091	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04092	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04093	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04094	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04095	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04096	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04097	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04098	IAO:0000115	
WARN	missing_definition	obo:PBPKO_04099	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06002	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06003	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06029	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06051	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06053	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06054	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06055	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06056	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06057	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06058	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06059	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06060	IAO:0000115	
WARN	missing_definition	obo:PBPKO_06061	IAO:0000115	
WARN	missing_definition	obo:PBPKO_07001	IAO:0000115	
