Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	obo:PCL_0011000	dc:description	The navigational tool on this page is a visual representation of the transcriptomic taxonomy of mouse MOp, which provides a comprehensive assessment of the molecular signatures of cell types comprising this region. Cell types in the taxonomy are grouped and visualized at three different levels: Class (innermost ring), Subclass (middle ring) and Cluster (outermost ring). Clicking on any region in the tool will navigate to an individual Cell Type Card, each of which provides detailed multimodal information describing that cell type and links to underlying data. 
WARN	annotation_whitespace	obo:PCL_0015000	dc:description	The navigational tool on this page is a visual representation of the transcriptomic taxonomy of human M1, which provides a comprehensive assessment of the molecular signatures of cell types comprising this region. Cell types in the taxonomy are grouped and visualized at three different levels: Class (innermost ring), Subclass (middle ring) and Cluster (outermost ring). Clicking on any region in the tool will navigate to an individual Cell Type Card, each of which provides detailed multimodal information describing that cell type and links to underlying data. 
WARN	annotation_whitespace	obo:PCL_0019000	dc:description	The navigational tool on this page is a visual representation of the transcriptomic taxonomy of marmoset M1, which provides a comprehensive assessment of the molecular signatures of cell types comprising this region. Cell types in the taxonomy are grouped and visualized at three different levels: Class (innermost ring), Subclass (middle ring) and Cluster (outermost ring). Clicking on any region in the tool will navigate to an individual Cell Type Card, each of which provides detailed multimodal information describing that cell type and links to underlying data. 
WARN	duplicate_exact_synonym	obo:PCL_0011254	oboInOwl:hasExactSynonym	VLMC(i)
WARN	duplicate_exact_synonym	obo:PCL_0011754	oboInOwl:hasExactSynonym	VLMC(i)
WARN	duplicate_exact_synonym	obo:PCL_0019134	oboInOwl:hasExactSynonym	VLMC(i)
WARN	duplicate_exact_synonym	obo:PCL_0011722	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0015126	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0015626	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0019134	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0019609	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0019634	oboInOwl:hasExactSynonym	VLMC
WARN	duplicate_exact_synonym	obo:PCL_0011149	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0011649	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0015162	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0015662	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0019124	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0019624	oboInOwl:hasExactSynonym	Vip_4
WARN	duplicate_exact_synonym	obo:PCL_0011241	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0011741	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0015161	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0015661	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0019127	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0019627	oboInOwl:hasExactSynonym	Vip_3
WARN	duplicate_exact_synonym	obo:PCL_0011242	oboInOwl:hasExactSynonym	Vip_2
WARN	duplicate_exact_synonym	obo:PCL_0011742	oboInOwl:hasExactSynonym	Vip_2
WARN	duplicate_exact_synonym	obo:PCL_0015160	oboInOwl:hasExactSynonym	Vip_2
WARN	duplicate_exact_synonym	obo:PCL_0015660	oboInOwl:hasExactSynonym	Vip_2
WARN	duplicate_exact_synonym	obo:PCL_0019125	oboInOwl:hasExactSynonym	Vip_2
WARN	duplicate_exact_synonym	obo:PCL_0019625	oboInOwl:hasExactSynonym	Vip_2
