Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	PDRO:0000102	owl:deprecated	@en
ERROR	multiple_definitions	PDRO:0000000	IAO:0000115	a condition describing the time elapsed since a drug dispensing process.@en
ERROR	multiple_definitions	PDRO:0000000	IAO:0000115	une condition de temps écoulé depuis une distribution de médicaments.@fr
ERROR	multiple_definitions	PDRO:0000001	IAO:0000115	A document authored by a health care provider that specifies how to realize some health care process for a particular patient.@en
ERROR	multiple_definitions	PDRO:0000001	IAO:0000115	Un document créé par un fournisseur de soin indiquant comment réaliser une partie d'un processus de santé pour un patient particulier.@fr
ERROR	multiple_definitions	PDRO:0000002	IAO:0000115	An author identification where the author is a particular health care provider and the document authored is a prescription.@en
ERROR	multiple_definitions	PDRO:0000002	IAO:0000115	Une identification d'auteur où l'auteur est un fournisseur de soins particulier et le document en question est une prescription.@fr
ERROR	multiple_definitions	PDRO:0000003	IAO:0000115	A written name denoting a particular patient.@en
ERROR	multiple_definitions	PDRO:0000003	IAO:0000115	Un nom écrit faisant référence à un patient particulier.@fr
ERROR	multiple_definitions	PDRO:0000004	IAO:0000115	La masse d'un aggrégat d'ingrédient actif.@fr
ERROR	multiple_definitions	PDRO:0000004	IAO:0000115	The mass of an active ingredient aggregate.@en
ERROR	multiple_definitions	PDRO:0000005	IAO:0000115	A textual entity that denotes the time of document creation.@en
ERROR	multiple_definitions	PDRO:0000005	IAO:0000115	Une entité textuelle indiquant l'instant de création d'un document.@fr
ERROR	multiple_definitions	PDRO:0000006	IAO:0000115	A document creation time identification where the document is a prescription.@en
ERROR	multiple_definitions	PDRO:0000006	IAO:0000115	Une identification de l'instant de création d'un document qui est une prescription médicale.@fr
ERROR	multiple_definitions	PDRO:0000007	IAO:0000115	A directive information entity that is composed by a drug administration specification and a drug dispensing specification.@en
ERROR	multiple_definitions	PDRO:0000007	IAO:0000115	Une entité informationnelle directive qui est composée par une spécification d’administration de médicament et une spécification de distribution de médicament.@fr
ERROR	multiple_definitions	PDRO:0000008	IAO:0000115	A site of drug administration specification that is part of a drug administration specification in a drug prescription.@en
ERROR	multiple_definitions	PDRO:0000008	IAO:0000115	Une spécification de site d’administration de médicament dans une spécification d'administration de médicament faisant partie d'une prescription de médicament.@fr
ERROR	multiple_definitions	PDRO:0000009	IAO:0000115	An information content entity that specifies one or several characteristics of a drug product.@en
ERROR	multiple_definitions	PDRO:0000009	IAO:0000115	Une entité de contenu informationnel qui spécifie une caractéristique d’un médicament prescrit.@fr
ERROR	multiple_definitions	PDRO:0000011	IAO:0000115	A data item that is about a drug product.@en
ERROR	multiple_definitions	PDRO:0000011	IAO:0000115	Un élément de données qui fournit une information sur un médicament.@fr
ERROR	multiple_definitions	PDRO:0000012	IAO:0000115	A treatment composed of one or more dose administrations.@en
ERROR	multiple_definitions	PDRO:0000012	IAO:0000115	Un traitement composé d'une ou plusieurs administrations de doses.@fr
ERROR	multiple_definitions	PDRO:0000019	IAO:0000115	A value specification that specifies a temporal instant.@en
ERROR	multiple_definitions	PDRO:0000019	IAO:0000115	Une spécification de valeur qui spécifie un instant temporel.@fr
ERROR	multiple_definitions	PDRO:0000020	IAO:0000115	An information content entity that specifies the route(s) of administration of a drug product.@en
ERROR	multiple_definitions	PDRO:0000020	IAO:0000115	Une entité informationnelle indiquant la ou les voies d'administration d'un médicament.@fr
ERROR	multiple_definitions	PDRO:0000021	IAO:0000115	A mass value specification that specifies the mass of an active ingredient aggegate.@en
ERROR	multiple_definitions	PDRO:0000021	IAO:0000115	Une spécification de valeur de masse indiquant la masse d'un aggrégat d'ingrédient actif.@fr
ERROR	multiple_definitions	PDRO:0000022	IAO:0000115	An information content entity that specifies the strength of a drug product.@en
ERROR	multiple_definitions	PDRO:0000022	IAO:0000115	Une entité de contenu informationnel qui spécifie la force d’un médicament prescrit.@fr
ERROR	multiple_definitions	PDRO:0000024	IAO:0000115	A health care prescription specifying the initiation, modification or cessation of a drug administration.@en
ERROR	multiple_definitions	PDRO:0000024	IAO:0000115	Une ordonnance indiquant une initiation, modification ou arrêt de l'administration de médicaments.@fr
ERROR	multiple_definitions	PDRO:0000026	IAO:0000115	A drug product information item that is about one or more magnitudes of biological activity, masses or quantities of active ingredient aggregate per unit quantity of a drug product.@en
ERROR	multiple_definitions	PDRO:0000026	IAO:0000115	Un élément d'information sur un médicament à propos de une ou plusieurs magnitudes d'activité biologique, masses ou quantités d'aggrégat d'ingrédient actif par unité de médicament.@fr
ERROR	multiple_definitions	PDRO:0000027	IAO:0000115	A drug strength item where the unit quantity is a discrete solid dose form.@en
ERROR	multiple_definitions	PDRO:0000027	IAO:0000115	Un élément d'information de force médicamenteuse où l'unité de quantité de médicament est une forme de dose médicamenteuse solide et discrète.@fr
ERROR	multiple_definitions	PDRO:0000028	IAO:0000115	A drug strength item where the unit quantity is a unit of volume.@en
ERROR	multiple_definitions	PDRO:0000028	IAO:0000115	Un élément d'information de force médicamenteuse où l'unité de quantité de médicament est une unité de volume.@fr
ERROR	multiple_definitions	PDRO:0000029	IAO:0000115	A drug strength item where the unit quantity is the mass of the drug product.@en
ERROR	multiple_definitions	PDRO:0000029	IAO:0000115	Un élément d'information de force médicamenteuse où l'unité de quantité de médicament est une unité de masse.@fr
ERROR	multiple_definitions	PDRO:0000030	IAO:0000115	An information content entity that specifies the duration during which a dose should be administered continuously.@en
ERROR	multiple_definitions	PDRO:0000030	IAO:0000115	Une entité de contenu informationnel qui spécifie la durée pendant laquelle une dose doit être administrée de manière continue.@fr
ERROR	multiple_definitions	PDRO:0000034	IAO:0000115	An information content entity that specifies the initial rate at which a dose should be administered.@en
ERROR	multiple_definitions	PDRO:0000034	IAO:0000115	Une entité de contenu informationnel qui spécifie le taux initial auquel une dose doit être administrée.@fr
ERROR	multiple_definitions	PDRO:0000036	IAO:0000115	A drug product information item that is about an active ingredient in a drug product.@en
ERROR	multiple_definitions	PDRO:0000036	IAO:0000115	Un élément d'information sur un médicament dénotant un de ses ingrédients.@fr
ERROR	multiple_definitions	PDRO:0000037	IAO:0000115	A drug product name given to a non-generic drug product by the pharmaceutical company that produces it.@en
ERROR	multiple_definitions	PDRO:0000037	IAO:0000115	Un nom de médicament non-générique donné par l'entreprise pharmaceutique qui le produit.@fr
ERROR	multiple_definitions	PDRO:0000038	IAO:0000115	A drug product information item that is about a dose form of a drug product.@en
