Level	Rule Name	Subject	Property	Value
WARN	missing_definition	mutualism phenotype	IAO:0000115	
WARN	missing_definition	normal motility phenotype	IAO:0000115	
WARN	missing_definition	abnormal motility phenotype	IAO:0000115	
WARN	missing_definition	increased motility	IAO:0000115	
WARN	missing_definition	decreased motility	IAO:0000115	
WARN	missing_definition	loss of motility	IAO:0000115	
WARN	missing_definition	motility phenotype	IAO:0000115	
WARN	missing_definition	chlorosis phenotype	IAO:0000115	
WARN	missing_definition	chlorosis absent	IAO:0000115	
WARN	missing_definition	chlorosis present	IAO:0000115	
WARN	missing_definition	host chlorosis phenotype in presence of pathogen	IAO:0000115	
WARN	missing_definition	host chlorosis absent with pathogen	IAO:0000115	
WARN	missing_definition	host chlorosis present with pathogen	IAO:0000115	
WARN	missing_definition	pathogen host interaction disease symptom phenotype	IAO:0000115	
WARN	missing_definition	systemic phenotype	IAO:0000115	
WARN	missing_definition	qualifier	IAO:0000115	
WARN	missing_definition	molecular function phenotype	IAO:0000115	
WARN	missing_definition	pathogen spore germination on host phenotype	IAO:0000115	
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasBroadSynonym	normal colony morphology
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasBroadSynonym	normal hyphal colony morphology
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasExactSynonym	normal filament formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasExactSynonym	normal filamentous formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasExactSynonym	normal hyphae formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasRelatedSynonym	normal colony morphology
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasRelatedSynonym	normal filament formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasRelatedSynonym	normal filamentous formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasRelatedSynonym	normal hyphae formation
WARN	duplicate_scoped_synonym	normal hyphal growth	oboInOwl:hasRelatedSynonym	normal hyphal colony morphology
WARN	duplicate_scoped_synonym	abnormal hyphal growth	oboInOwl:hasBroadSynonym	abnormal hyphal colony morphology
WARN	duplicate_scoped_synonym	abnormal hyphal growth	oboInOwl:hasRelatedSynonym	abnormal hyphal colony morphology
WARN	invalid_xref	obsolete pathogen host interaction metabolic process phenotype	oboInOwl:hasDbXref	GO_0008152
WARN	invalid_xref	metabolic process phenotype	oboInOwl:hasDbXref	GO_0008152
INFO	lowercase_definition	obsolete effector of pathogenicity phenotype	IAO:0000115	(Required for successful infection of the host species). The ability of an organism to activate or suppress host defences to enable infectious disease. (Irrespective of the host genotype).
INFO	lowercase_definition	obsolete effector of virulence phenotype	IAO:0000115	"(gene for gene relationships) or defined from the phenotype described in the published study.
The pathogen has the ability to cause infectious disease dependent upon the gene for gene relationship between the pathogen and host genotype."
INFO	missing_superclass	phenotype	rdfs:subClassOf	
