Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	PLANA:0000012	oboInOwl:hasExactSynonym	neural progenitor cell
WARN	duplicate_label_synonym	PLANA:0000034	oboInOwl:hasExactSynonym	epidermis
WARN	duplicate_label_synonym	PLANA:0000071	oboInOwl:hasExactSynonym	longitudinal muscle cell
WARN	duplicate_label_synonym	PLANA:0000223	oboInOwl:hasExactSynonym	oogonial stem cell
WARN	duplicate_label_synonym	PLANA:0000227	oboInOwl:hasExactSynonym	germ cell
WARN	duplicate_label_synonym	PLANA:0000229	oboInOwl:hasExactSynonym	female germ cell
WARN	duplicate_label_synonym	PLANA:0000478	oboInOwl:hasExactSynonym	pharynx musculature
WARN	duplicate_label_synonym	PLANA:0000479	oboInOwl:hasExactSynonym	pharynx inner nerve plexus
WARN	duplicate_label_synonym	PLANA:0002058	oboInOwl:hasExactSynonym	melanosome
WARN	duplicate_label_synonym	PLANA:0002079	oboInOwl:hasExactSynonym	pore
WARN	duplicate_label_synonym	PLANA:0002113	oboInOwl:hasExactSynonym	postpharyngeal region
WARN	duplicate_label_synonym	PLANA:0002118	oboInOwl:hasExactSynonym	epithelium
WARN	duplicate_label_synonym	PLANA:0003111	oboInOwl:hasExactSynonym	pharynx epithelial cell
WARN	duplicate_label_synonym	PLANA:0003300	oboInOwl:hasExactSynonym	cephalic ganglia primordium
WARN	duplicate_label_synonym	PLANA:0003608	oboInOwl:hasExactSynonym	longitudinal fragment
WARN	duplicate_label_synonym	PLANA:0003700	oboInOwl:hasExactSynonym	dorsal region of head fragment
WARN	duplicate_label_synonym	PLANA:0003701	oboInOwl:hasExactSynonym	ventral region of head fragment
WARN	duplicate_label_synonym	PLANA:0003702	oboInOwl:hasExactSynonym	anterior region of head fragment
WARN	duplicate_label_synonym	PLANA:0003703	oboInOwl:hasExactSynonym	posterior region of head fragment
WARN	duplicate_label_synonym	PLANA:0003704	oboInOwl:hasExactSynonym	dorsal region of trunk fragment
WARN	duplicate_label_synonym	PLANA:0003705	oboInOwl:hasExactSynonym	ventral region of trunk fragment
WARN	duplicate_label_synonym	PLANA:0003706	oboInOwl:hasExactSynonym	anterior region of trunk fragment
WARN	duplicate_label_synonym	PLANA:0003707	oboInOwl:hasExactSynonym	posterior region of trunk fragment
WARN	duplicate_label_synonym	PLANA:0003708	oboInOwl:hasExactSynonym	dorsal region of tail fragment
WARN	duplicate_label_synonym	PLANA:0003709	oboInOwl:hasExactSynonym	ventral region of tail fragment
WARN	duplicate_label_synonym	PLANA:0003710	oboInOwl:hasExactSynonym	anterior region of tail fragment
WARN	duplicate_label_synonym	PLANA:0003711	oboInOwl:hasExactSynonym	posterior region of tail fragment
WARN	duplicate_label_synonym	PLANA:0003712	oboInOwl:hasExactSynonym	dorsal region of prepharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003713	oboInOwl:hasExactSynonym	ventral region of prepharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003714	oboInOwl:hasExactSynonym	anterior region of prepharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003715	oboInOwl:hasExactSynonym	posterior region of prepharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003716	oboInOwl:hasExactSynonym	dorsal region of postpharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003717	oboInOwl:hasExactSynonym	ventral region of postpharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003718	oboInOwl:hasExactSynonym	anterior region of postpharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003719	oboInOwl:hasExactSynonym	posterior region of postpharyngeal fragment
WARN	duplicate_label_synonym	PLANA:0003720	oboInOwl:hasExactSynonym	dorsal region of anterior fragment
WARN	duplicate_label_synonym	PLANA:0003721	oboInOwl:hasExactSynonym	ventral region of anterior fragment
WARN	duplicate_label_synonym	PLANA:0003722	oboInOwl:hasExactSynonym	anterior region of anterior fragment
WARN	duplicate_label_synonym	PLANA:0003723	oboInOwl:hasExactSynonym	posterior region of anterior fragment
WARN	duplicate_label_synonym	PLANA:0003724	oboInOwl:hasExactSynonym	dorsal region of posterior fragment
WARN	duplicate_label_synonym	PLANA:0003725	oboInOwl:hasExactSynonym	ventral region of posterior fragment
WARN	duplicate_label_synonym	PLANA:0003726	oboInOwl:hasExactSynonym	anterior region of posterior fragment
WARN	duplicate_label_synonym	PLANA:0003727	oboInOwl:hasExactSynonym	posterior region of posterior fragment
WARN	duplicate_label_synonym	PLANA:0003728	oboInOwl:hasExactSynonym	dorsal region of lateral fragment
WARN	duplicate_label_synonym	PLANA:0003729	oboInOwl:hasExactSynonym	ventral region of lateral fragment
