Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete abnormal gastrovascular compartment	rdfs:label	obsolete abnormal gastrovascular compartment
ERROR	misused_obsolete_label	obsolete abnormal plane of autonomy	rdfs:label	obsolete abnormal plane of autonomy
ERROR	misused_obsolete_label	obsolete abnormal Schmidtea mediterranea developmental term	rdfs:label	obsolete abnormal Schmidtea mediterranea developmental term
ERROR	misused_obsolete_label	obsolete abnormal dispersed cleavage	rdfs:label	obsolete abnormal dispersed cleavage
ERROR	misused_obsolete_label	obsolete abnormal acidophilic cytoplasm	rdfs:label	obsolete abnormal acidophilic cytoplasm
ERROR	misused_obsolete_label	obsolete abnormal cytoskeleton organization	rdfs:label	obsolete abnormal cytoskeleton organization
ERROR	misused_obsolete_label	obsolete abnormal anatomical compartment subdivision feature	rdfs:label	obsolete abnormal anatomical compartment subdivision feature
ERROR	misused_obsolete_label	obsolete abnormal acellular anatomical structure	rdfs:label	obsolete abnormal acellular anatomical structure
ERROR	misused_obsolete_label	obsolete abnormal parenchymal compartment	rdfs:label	obsolete abnormal parenchymal compartment
ERROR	misused_obsolete_label	obsolete abnormal oviparity	rdfs:label	obsolete abnormal oviparity
ERROR	misused_obsolete_label	obsolete abnormal protosphere	rdfs:label	obsolete abnormal protosphere
ERROR	misused_obsolete_label	obsolete abnormal direct development	rdfs:label	obsolete abnormal direct development
ERROR	misused_obsolete_label	obsolete abnormal tissue morphogenesis	rdfs:label	obsolete abnormal tissue morphogenesis
ERROR	misused_obsolete_label	obsolete abnormal gametogenesis	rdfs:label	obsolete abnormal gametogenesis
ERROR	misused_obsolete_label	obsolete abnormal body wall musculature compartment	rdfs:label	obsolete abnormal body wall musculature compartment
ERROR	misused_obsolete_label	obsolete abnormal ventral compartment	rdfs:label	obsolete abnormal ventral compartment
ERROR	misused_obsolete_label	obsolete abnormal embryonic cleavage	rdfs:label	obsolete abnormal embryonic cleavage
ERROR	misused_obsolete_label	obsolete abnormal definitive anatomical structure	rdfs:label	obsolete abnormal definitive anatomical structure
ERROR	misused_obsolete_label	obsolete abnormal Schmidtea mediterranea developmental stage	rdfs:label	obsolete abnormal Schmidtea mediterranea developmental stage
ERROR	misused_obsolete_label	obsolete abnormal sphere formation	rdfs:label	obsolete abnormal sphere formation
ERROR	misused_obsolete_label	obsolete abnormal basophilic cytoplasm	rdfs:label	obsolete abnormal basophilic cytoplasm
ERROR	misused_obsolete_label	obsolete abnormal coronal plane 	rdfs:label	obsolete abnormal coronal plane 
ERROR	misused_obsolete_label	obsolete abnormal epidermal compartment	rdfs:label	obsolete abnormal epidermal compartment
ERROR	misused_obsolete_label	obsolete abnormal pharynx nerve plexus	rdfs:label	obsolete abnormal pharynx nerve plexus
ERROR	misused_obsolete_label	obsolete abnormal racing stripe	rdfs:label	obsolete abnormal racing stripe
ERROR	misused_obsolete_label	obsolete abnormal cross-fertilization	rdfs:label	obsolete abnormal cross-fertilization
