Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/po.owl	dc:title	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/po.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/po.owl	dc:license	
ERROR	missing_label	obo:po#Angiosperm	rdfs:label	
ERROR	missing_label	obo:po#Arabidopsis	rdfs:label	
ERROR	missing_label	obo:po#Bryophytes	rdfs:label	
ERROR	missing_label	obo:po#CL	rdfs:label	
ERROR	missing_label	obo:po#Citrus	rdfs:label	
ERROR	missing_label	obo:po#Gymnosperms	rdfs:label	
ERROR	missing_label	obo:po#Maize	rdfs:label	
ERROR	missing_label	obo:po#Musa	rdfs:label	
ERROR	missing_label	obo:po#Poaceae	rdfs:label	
ERROR	missing_label	obo:po#Potato	rdfs:label	
ERROR	missing_label	obo:po#Pteridophytes	rdfs:label	
ERROR	missing_label	obo:po#Rice	rdfs:label	
ERROR	missing_label	obo:po#Tomato	rdfs:label	
ERROR	missing_label	obo:po#TraitNet	rdfs:label	
ERROR	missing_label	obo:po#reference	rdfs:label	
WARN	missing_synonymtype_declaration	obo:po#German	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:po#Japanese	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:po#Plural	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:po#Spanish	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Angiosperm	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Arabidopsis	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Bryophytes	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#CL	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Citrus	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Gymnosperms	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Maize	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Musa	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Poaceae	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Potato	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Pteridophytes	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Rice	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#Tomato	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#TraitNet	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:po#reference	rdfs:subPropertyOf	
WARN	annotation_whitespace	PO:0007529	IAO:0000115	OBSOLETE. The stage at which the emerged root starts to elongate. 
WARN	missing_obsolete_label	PO:0000020	rdfs:label	starch sheath cell
