IRI	Label	Issue
http://purl.obolibrary.org/obo/PPO_0000005	abscised	not an RO property
http://purl.obolibrary.org/obo/PPO_0000006	abscised from	not an RO property
http://purl.obolibrary.org/obo/PPO_0000007	quality datum of	not an RO property
http://purl.obolibrary.org/obo/PPO_0000008	has quality datum	not an RO property
http://purl.obolibrary.org/obo/PPO_0000009	depends on structure	not an RO property
http://purl.obolibrary.org/obo/PPO_0000010	has visible part	not an RO property
http://purl.obolibrary.org/obo/PPO_0000011	visible part of	not an RO property
http://purl.obolibrary.org/obo/PPO_0000014	generated from	not an RO property
http://purl.obolibrary.org/obo/PPO_0000015	is or was part of	not an RO property
http://purl.obolibrary.org/obo/PPO_0000001	lower count	not an RO property
http://purl.obolibrary.org/obo/PPO_0000002	upper count	not an RO property
http://purl.obolibrary.org/obo/PPO_0000003	lower percent	not an RO property
http://purl.obolibrary.org/obo/PPO_0000004	upper percent	not an RO property
