Level	Rule Name	Subject	Property	Value
WARN	missing_definition	PPO:0000009	IAO:0000115	
WARN	missing_definition	PPO:0000010	IAO:0000115	
WARN	missing_definition	PPO:0000011	IAO:0000115	
WARN	missing_definition	PPO:0001000	IAO:0000115	
WARN	missing_definition	PPO:0001001	IAO:0000115	
WARN	missing_definition	PPO:0001002	IAO:0000115	
WARN	missing_definition	PPO:0001004	IAO:0000115	
WARN	missing_definition	PPO:0001005	IAO:0000115	
WARN	missing_definition	PPO:0001006	IAO:0000115	
WARN	missing_definition	PPO:0001007	IAO:0000115	
WARN	missing_definition	PPO:0001008	IAO:0000115	
WARN	missing_definition	PPO:0001025	IAO:0000115	
WARN	missing_definition	PPO:0001026	IAO:0000115	
WARN	missing_definition	PPO:0001027	IAO:0000115	
WARN	missing_definition	PPO:0001028	IAO:0000115	
WARN	missing_definition	PPO:0001029	IAO:0000115	
WARN	missing_definition	PPO:0001041	IAO:0000115	
WARN	missing_definition	PPO:0001042	IAO:0000115	
WARN	missing_definition	PPO:0007003	IAO:0000115	
WARN	missing_definition	PPO:0007007	IAO:0000115	
WARN	missing_definition	PPO:0007008	IAO:0000115	
WARN	missing_definition	PPO:0007009	IAO:0000115	
WARN	missing_definition	PPO:0007010	IAO:0000115	
WARN	missing_definition	PPO:0007011	IAO:0000115	
WARN	missing_definition	PPO:0007014	IAO:0000115	
WARN	missing_definition	PPO:0007015	IAO:0000115	
WARN	missing_definition	PPO:0007016	IAO:0000115	
WARN	missing_definition	PPO:0007017	IAO:0000115	
