Level	Rule Name	Subject	Property	Value
WARN	missing_synonymtype_declaration	obo:pr#Gene-based	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:pr#PRO-proteoform-ftid	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:pr#PRO-proteoform-std	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	obo:pr#PRO-short-label	rdfs:subPropertyOf	
WARN	duplicate_exact_synonym	PR:000034276	oboInOwl:hasExactSynonym	ydgK
WARN	duplicate_exact_synonym	PR:000044420	oboInOwl:hasExactSynonym	ydgK
WARN	duplicate_exact_synonym	PR:000023474	oboInOwl:hasExactSynonym	oxyR
WARN	duplicate_exact_synonym	PR:000044438	oboInOwl:hasExactSynonym	oxyR
WARN	duplicate_exact_synonym	PR:000023351	oboInOwl:hasExactSynonym	narG
WARN	duplicate_exact_synonym	PR:000044413	oboInOwl:hasExactSynonym	narG
WARN	equivalent_pair	PR:000050113	owl:equivalentClass	PR:000050120
WARN	missing_definition	PR:000002992	IAO:0000115	
WARN	missing_definition	PR:000003136	IAO:0000115	
WARN	missing_definition	PR:000003171	IAO:0000115	
WARN	missing_definition	PR:000003444	IAO:0000115	
WARN	missing_definition	PR:000024938	IAO:0000115	
WARN	missing_definition	PR:000024939	IAO:0000115	
WARN	missing_definition	PR:000025020	IAO:0000115	
WARN	missing_definition	PR:000025021	IAO:0000115	
WARN	missing_definition	PR:000029946	IAO:0000115	
WARN	missing_definition	PR:000029947	IAO:0000115	
WARN	missing_definition	PR:000029948	IAO:0000115	
WARN	missing_definition	PR:000029949	IAO:0000115	
WARN	missing_definition	PR:000029950	IAO:0000115	
WARN	missing_definition	PR:000029951	IAO:0000115	
WARN	missing_definition	PR:000029952	IAO:0000115	
WARN	missing_definition	PR:000029953	IAO:0000115	
WARN	missing_definition	PR:000029980	IAO:0000115	
WARN	missing_definition	PR:000029983	IAO:0000115	
WARN	missing_definition	PR:000030038	IAO:0000115	
WARN	missing_definition	PR:000030047	IAO:0000115	
WARN	missing_definition	PR:000036844	IAO:0000115	
WARN	missing_definition	PR:000036845	IAO:0000115	
WARN	missing_definition	PR:000036846	IAO:0000115	
WARN	missing_definition	PR:000044515	IAO:0000115	
WARN	missing_definition	PR:000044516	IAO:0000115	
WARN	missing_definition	PR:000044517	IAO:0000115	
WARN	missing_definition	PR:000044518	IAO:0000115	
WARN	missing_definition	PR:000044519	IAO:0000115	
WARN	missing_definition	PR:000044779	IAO:0000115	
WARN	missing_definition	PR:000044780	IAO:0000115	
WARN	missing_definition	PR:000044782	IAO:0000115	
WARN	missing_definition	PR:000044783	IAO:0000115	
WARN	missing_definition	PR:000044784	IAO:0000115	
WARN	missing_definition	PR:000044785	IAO:0000115	
WARN	missing_definition	PR:000044786	IAO:0000115	
WARN	missing_definition	PR:000050420	IAO:0000115	
WARN	missing_definition	PR:000050421	IAO:0000115	
WARN	missing_definition	PR:000050422	IAO:0000115	
WARN	missing_definition	PR:000050423	IAO:0000115	
WARN	missing_definition	PR:000050424	IAO:0000115	
WARN	missing_definition	PR:000050425	IAO:0000115	
WARN	missing_definition	obo:pr#Gene-based	IAO:0000115	
WARN	missing_definition	obo:pr#NC-IUPHAR	IAO:0000115	
WARN	missing_definition	obo:pr#PRO-common-name	IAO:0000115	
WARN	missing_definition	obo:pr#PRO-org-label	IAO:0000115	
WARN	missing_definition	obo:pr#PRO-proteoform-ftid	IAO:0000115	
WARN	missing_definition	obo:pr#PRO-proteoform-std	IAO:0000115	
WARN	missing_definition	obo:pr#PRO-short-label	IAO:0000115	
WARN	missing_definition	obo:pr#PSI-MOD-label	IAO:0000115	
WARN	missing_definition	obo:pr#Reactome-displayName	IAO:0000115	
WARN	missing_definition	obo:pr#confers_resistance_to	IAO:0000115	
WARN	missing_definition	obo:pr#has_gene_template	IAO:0000115	
WARN	missing_definition	obo:pr#lacks_part	IAO:0000115	
WARN	multiple_equivalent_classes	PR:000050113	owl:equivalentClass	PR:000050120
WARN	multiple_equivalent_classes	PR:000050113	owl:equivalentClass	blank node
