IRI	Label	Issue
http://purl.obolibrary.org/obo/PREFER_8000000	has fermentation experiment	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000001	is fermentation experiment of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000002	is fermentation run of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000003	has fermentation run	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000004	has medium ingredient	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000005	is medium ingredient of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000006	uses bioreactor	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000007	bioreactor used in	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000008	has bioreactor scale	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000009	is bioreactor scale of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000010	has fermentation culture type	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000011	has cultivation condition	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000012	has data acquisition quality	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000013	has feed profile type	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000014	is fermentation culture type of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000015	cultures cell	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000016	has collected	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000017	has measured compound	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000018	has operational mode	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000020	setpoint of	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000021	has denominator unit	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000022	has numerator unit	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000030	has setpoint	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000059	measured at time datum	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000060	has process measured variable	not an RO property
http://purl.obolibrary.org/obo/PREFER_8000061	is process measurement variable of	not an RO property
