IRI	Label	Issue
http://purl.obolibrary.org/obo/PSDO_0000034	has desired direction	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000109	described by	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000012	has comparison size	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000013	has prior comparison size	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000014	has streak length	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000015	has trend slope	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000017	message recency	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000021	message recurrence	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000022	measure recency	not an RO property
http://purl.obolibrary.org/obo/PSDO_0000027	measure recurrence	not an RO property
