Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/pw.owl	dc:license	
ERROR	duplicate_label	synaptic vesicle cycle pathway	rdfs:label	synaptic vesicle cycle pathway
ERROR	duplicate_label	synaptic vesicle cycle pathway	rdfs:label	synaptic vesicle cycle pathway
ERROR	duplicate_label	nervous system lysosomal storage disease pathway	rdfs:label	nervous system lysosomal storage disease pathway
ERROR	duplicate_label	nervous system lysosomal storage disease pathway	rdfs:label	nervous system lysosomal storage disease pathway
ERROR	duplicate_label	monoterpenoid biosynthetic pathway	rdfs:label	monoterpenoid biosynthetic pathway
ERROR	duplicate_label	monoterpenoid biosynthetic pathway	rdfs:label	monoterpenoid biosynthetic pathway
ERROR	duplicate_label	malonic aciduria pathway	rdfs:label	malonic aciduria pathway
ERROR	duplicate_label	malonic aciduria pathway	rdfs:label	malonic aciduria pathway
ERROR	duplicate_label	lysine metabolic pathway	rdfs:label	lysine metabolic pathway
ERROR	duplicate_label	lysine metabolic pathway	rdfs:label	lysine metabolic pathway
ERROR	duplicate_label	liver disease pathway	rdfs:label	liver disease pathway
ERROR	duplicate_label	liver disease pathway	rdfs:label	liver disease pathway
ERROR	duplicate_label	indometacin pharmacokinetics pathway	rdfs:label	indometacin pharmacokinetics pathway
ERROR	duplicate_label	indometacin pharmacokinetics pathway	rdfs:label	indometacin pharmacokinetics pathway
ERROR	duplicate_label	indometacin pharmacodynamics pathway	rdfs:label	indometacin pharmacodynamics pathway
ERROR	duplicate_label	indometacin pharmacodynamics pathway	rdfs:label	indometacin pharmacodynamics pathway
ERROR	duplicate_label	indometacin drug pathway	rdfs:label	indometacin drug pathway
ERROR	duplicate_label	indometacin drug pathway	rdfs:label	indometacin drug pathway
ERROR	duplicate_label	hypermethioninemia pathway	rdfs:label	hypermethioninemia pathway
ERROR	duplicate_label	hypermethioninemia pathway	rdfs:label	hypermethioninemia pathway
ERROR	duplicate_label	ether lipid metabolic pathway	rdfs:label	ether lipid metabolic pathway
ERROR	duplicate_label	ether lipid metabolic pathway	rdfs:label	ether lipid metabolic pathway
ERROR	duplicate_label	eicosanoid signaling pathway	rdfs:label	eicosanoid signaling pathway
ERROR	duplicate_label	eicosanoid signaling pathway	rdfs:label	eicosanoid signaling pathway
ERROR	duplicate_label	adrenergic beta receptor agonist drug pathway	rdfs:label	adrenergic beta receptor agonist drug pathway
ERROR	duplicate_label	adrenergic beta receptor agonist drug pathway	rdfs:label	adrenergic beta receptor agonist drug pathway
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/pw.owl	dc:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/pw.owl	dc:title	
ERROR	duplicate_definition	antithrombotic drug pathway	IAO:0000115	The pharmacokinetics and pharmacodynamics pathway of drugs that reduce or prevent the formation of blood clots.  They are further classified depending on the blood clotting processes they affect. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.
ERROR	duplicate_definition	other antithrombotic drug pathway	IAO:0000115	The pharmacokinetics and pharmacodynamics pathway of drugs that reduce or prevent the formation of blood clots.  They are further classified depending on the blood clotting processes they affect. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.
ERROR	duplicate_definition	spermine metabolic pathway	IAO:0000115	Polyamine metabolism plays important roles in a number of cellular processes. Spermidine and spermine are formed in two consecutive reactions carried out by distinct enzymes that employ the decarboxylated form of AdoMet as an aminopropyl donor.
ERROR	duplicate_definition	spermidine metabolic pathway	IAO:0000115	Polyamine metabolism plays important roles in a number of cellular processes. Spermidine and spermine are formed in two consecutive reactions carried out by distinct enzymes that employ the decarboxylated form of AdoMet as an aminopropyl donor.
ERROR	duplicate_definition	phosphatidylinositol 3-kinase signaling pathway	IAO:0000115	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class I signaling pathway	IAO:0000115	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class II signaling pathway	IAO:0000115	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class III signaling pathway	IAO:0000115	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.
ERROR	duplicate_definition	lncRNA maturation pathway	IAO:0000115	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.
ERROR	duplicate_definition	lncRNA capping pathway	IAO:0000115	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.
ERROR	duplicate_definition	lncRNA polyadenylation pathway	IAO:0000115	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphai family	IAO:0000115	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpha/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphaq family	IAO:0000115	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpha/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphas family	IAO:0000115	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpa/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.
ERROR	duplicate_definition	G protein mediated signaling pathway via Galpha12/Galpha13 family	IAO:0000115	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpa/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.
WARN	duplicate_label_synonym	congenital adrenal hyperplasia pathway	oboInOwl:hasExactSynonym	congenital adrenal hyperplasia pathway
WARN	duplicate_label_synonym	nonketotic hyperglycinemia pathway	oboInOwl:hasExactSynonym	nonketotic hyperglycinemia pathway
WARN	duplicate_label_synonym	synaptic vesicle cycle pathway	oboInOwl:hasExactSynonym	synaptic vesicle cycle pathway
WARN	duplicate_label_synonym	dermatological drug pathway	oboInOwl:hasExactSynonym	dermatological drug pathway
WARN	missing_obsolete_label	term zero	rdfs:label	term zero
WARN	missing_obsolete_label	Sterol, vitamin K, vitamine E and cartenoids biosynthesis	rdfs:label	Sterol, vitamin K, vitamine E and cartenoids  biosynthesis
WARN	missing_obsolete_label	Duplicated Glutamate Metabolism term	rdfs:label	Duplicated Glutamate Metabolism term
WARN	missing_obsolete_label	Duplicated Selenoamino acid metabolism term	rdfs:label	Duplicated Selenoamino acid metabolism term
