Level	Rule Name	Subject	Property	Value
ERROR	missing_label	CARO:0000006	rdfs:label	
ERROR	missing_label	GO:0004842	rdfs:label	
ERROR	missing_label	GO:0016301	rdfs:label	
ERROR	missing_label	IAO:0000426	rdfs:label	
ERROR	missing_label	RO:0001900	rdfs:label	
WARN	missing_definition	spatial region	definition	
WARN	missing_definition	disposition	definition	
WARN	missing_definition	quality	definition	
WARN	missing_definition	function	definition	
WARN	missing_definition	immaterial entity	definition	
WARN	missing_definition	CARO:0000006	definition	
WARN	missing_definition	GO:0004842	definition	
WARN	missing_definition	GO:0016301	definition	
WARN	missing_definition	definition	definition	
WARN	missing_definition	contained in	definition	
WARN	missing_definition	contains	definition	
WARN	missing_definition	aligned with	definition	
WARN	missing_definition	innervated_by	definition	
WARN	missing_definition	has synaptic terminal of	definition	
WARN	missing_definition	has necessary component activity	definition	
WARN	missing_definition	has component activity	definition	
WARN	missing_definition	directly regulated by	definition	
WARN	missing_definition	before or simultaneous with	definition	
WARN	missing_definition	simultaneous with	definition	
WARN	missing_definition	before	definition	
WARN	missing_definition	during which ends	definition	
WARN	missing_definition	encompasses	definition	
WARN	missing_definition	ends after	definition	
WARN	missing_definition	immediately preceded by	definition	
WARN	missing_definition	during which starts	definition	
WARN	missing_definition	starts before	definition	
WARN	missing_definition	immediately precedes	definition	
WARN	missing_definition	starts during	definition	
WARN	missing_definition	happens during	definition	
WARN	missing_definition	ends during	definition	
WARN	missing_definition	releases neurotransmitter	definition	
WARN	missing_definition	serially homologous to	definition	
WARN	missing_definition	temporally related to	definition	
WARN	missing_definition	part of developmental precursor of	definition	
WARN	missing_definition	results in formation of	definition	
WARN	missing_definition	results in disappearance of	definition	
WARN	missing_definition	results in developmental regression of	definition	
WARN	missing_definition	causally upstream of, positive effect	definition	
WARN	missing_definition	causally upstream of, negative effect	definition	
WARN	missing_definition	evolutionary variant of	definition	
WARN	missing_definition	confers advantage in	definition	
WARN	missing_definition	contributes to	definition	
WARN	missing_definition	enables	definition	
WARN	missing_definition	results in growth of	definition	
WARN	missing_definition	results in transport to from or in	definition	
WARN	missing_definition	formed as result of	definition	
WARN	missing_definition	has dendrite location	definition	
WARN	missing_definition	immediately causally downstream of	definition	
WARN	missing_definition	directly inhibits	definition	
WARN	missing_definition	indirectly inhibits	definition	
WARN	missing_definition	logical macro assertion on an annotation property	definition	
WARN	missing_definition	differs in	definition	
WARN	missing_definition	differs in attribute of	definition	
WARN	missing_definition	differs in attribute	definition	
WARN	missing_definition	genetically interacts with	definition	
WARN	missing_definition	parasite of	definition	
WARN	missing_definition	parasitized by	definition	
WARN	missing_definition	phosphorylates	definition	
WARN	missing_definition	host of	definition	
WARN	missing_definition	pollinates	definition	
WARN	missing_definition	pollinated by	definition	
WARN	missing_definition	acquires nutrients from	definition	
WARN	missing_definition	is vector for	definition	
WARN	missing_definition	has vector	definition	
WARN	missing_definition	partner in	definition	
WARN	missing_definition	subject participant in	definition	
WARN	missing_definition	target participant in	definition	
WARN	missing_definition	helper property (not for use in curation)	definition	
WARN	missing_definition	is symbiosis	definition	
WARN	missing_definition	is commensalism	definition	
WARN	missing_definition	is mutualism	definition	
WARN	missing_definition	is parasitism	definition	
WARN	missing_definition	provides nutrients for	definition	
WARN	missing_definition	eats	definition	
WARN	missing_definition	is eaten by	definition	
WARN	missing_definition	is kinase activity	definition	
WARN	missing_definition	is ubiquitination	definition	
WARN	missing_definition	inherited annotation property	definition	
WARN	missing_definition	receives input from	definition	
WARN	missing_definition	sends output to	definition	
WARN	missing_definition	relation between physical entity and a process or stage	definition	
WARN	missing_definition	depends on	definition	
WARN	missing_definition	causal relation between entities	definition	
WARN	missing_definition	temporal logical macro assertion on a class	definition	
WARN	missing_definition	measurement property has unit	definition	
WARN	missing_definition	has start time value	definition	
WARN	missing_definition	has end time value	definition	
WARN	missing_definition	start, weeks post birth	definition	
WARN	missing_definition	end, weeks post birth	definition	
WARN	missing_definition	allelopath of	definition	
WARN	missing_definition	pathogen of	definition	
WARN	missing_definition	has pathogen	definition	
WARN	missing_definition	causally influenced by	definition	
WARN	missing_definition	interaction relation helper property	definition	
WARN	missing_definition	molecular interaction relation helper property	definition	
WARN	missing_definition	participates in a biotic-biotic interaction with	definition	
WARN	missing_definition	logical macro assertion on an axiom	definition	
WARN	missing_definition	results in closure of	definition	
WARN	missing_definition	results in synthesis of	definition	
WARN	missing_definition	results in assembly of	definition	
WARN	missing_definition	results in disassembly of	definition	
WARN	missing_definition	results in remodeling of	definition	
WARN	missing_definition	evidential logical macro assertion on an axiom	definition	
WARN	missing_definition	related via evidence or inference to	definition	
WARN	missing_definition	visits	definition	
WARN	missing_definition	visited by	definition	
WARN	missing_definition	visits flowers of	definition	
WARN	missing_definition	has flowers visited by	definition	
WARN	missing_definition	lays eggs in	definition	
WARN	missing_definition	has eggs laid in by	definition	
WARN	missing_definition	kills	definition	
WARN	missing_definition	is killed by	definition	
WARN	missing_definition	endoparasite of	definition	
WARN	missing_definition	has endoparasite	definition	
WARN	missing_definition	condition has genetic basis in	definition	
WARN	missing_definition	has material basis in gain of function germline mutation in	definition	
WARN	missing_definition	has material basis in loss of function germline mutation in	definition	
WARN	missing_definition	has material basis in germline mutation in	definition	
WARN	missing_definition	has material basis in somatic mutation in	definition	
WARN	missing_definition	has major susceptibility factor	definition	
WARN	missing_definition	has partial material basis in germline mutation in	definition	
WARN	missing_definition	is genetic basis for condition	definition	
WARN	missing_definition	realizable has basis in	definition	
WARN	missing_definition	is basis for realizable	definition	
WARN	missing_definition	disease has basis in	definition	
WARN	missing_definition	causal relationship with disease as subject	definition	
WARN	missing_definition	disease causes dysfunction of	definition	
WARN	missing_definition	acts upstream of or within, positive effect	definition	
WARN	missing_definition	acts upstream of or within, negative effect	definition	
WARN	missing_definition	causally upstream of or within, negative effect	definition	
WARN	missing_definition	causally upstream of or within, positive effect	definition	
WARN	missing_definition	is positive form of	definition	
WARN	missing_definition	is negative form of	definition	
WARN	missing_definition	results in fusion of	definition	
WARN	missing_definition	exemplar data of	definition	
WARN	missing_definition	has phenotype or disease	definition	
WARN	missing_definition	subset_property	definition	
