IRI	Label	Issue
http://purl.obolibrary.org/obo/SLSO_0000016	owns	shares label with http://purl.obolibrary.org/obo/RO_0017008
http://purl.obolibrary.org/obo/GENO_0000536	has_genotype	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000001	operates	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000002	operatedby	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000003	managedat	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000004	managed	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000007	depicts	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000008	depictedin	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000011	fundedby	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000012	funded	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000013	implements	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000014	implementedby	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000015	owned by	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000017	investigates	not an RO property
http://purl.obolibrary.org/obo/SLSO_0000018	investigatedby	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001049	dataset catalog id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001050	subject id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001051	bio id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001054	document number	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001055	biospecimen category	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001056	release date	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001058	duration	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001059	alternate experiment name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001060	keyword	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001061	dataset availability	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001062	last name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001063	taxon	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001065	common name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001067	document title	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001068	session type	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001069	hardware description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001071	proposal source	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001072	mission id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001076	experiment type	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001077	durationrange	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001078	experiment id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001079	first name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001080	description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001081	image id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001084	biospecimen name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001085	institution name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001086	gender	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001087	launch date	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001089	per_id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001090	payload title	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001091	experiment title	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001092	land date	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001093	nasa center code	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001094	document description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001095	proposal date	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001096	component name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001097	configuration_description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001098	hardware type	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001099	city	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001100	configuration name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001101	file thumbnail	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001103	file name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001106	keywords	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001107	middle name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001108	review	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001109	tissue medium	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001110	container size	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001111	biospecimen center	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001112	collection day	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001113	component image	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001114	component image size	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001118	data collection site	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001119	protocol approach	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001120	processing level	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001121	hardware_name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001122	data source	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001123	dataset medium	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001124	creator	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001126	location (archive/request)	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001127	publication date	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001129	type	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001130	document availability	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001153	s3 file guid	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001132	document filename	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001135	data preservation status	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001138	archiving nasa center	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001139	agency	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001140	discipline	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001141	task solicitation	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001143	species	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001144	parameter	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001147	hardware alias	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001149	payload id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001150	image description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001154	image name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001155	file extension	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001157	file type	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001159	spacecraft or location	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001162	strain	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001163	center	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001164	animal id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001165	group id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001166	supplier id	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001167	supplier name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001168	subject description	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001169	weight	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001170	subject index	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001171	arc-slims system name	not an RO property
http://purl.obolibrary.org/obo/SLSO_0001173	managing nasa center	not an RO property
