IRI	Label	Issue
http://purl.obolibrary.org/obo/so#contains	contains	shares label with http://purl.obolibrary.org/obo/RO_0001019
http://purl.obolibrary.org/obo/so#overlaps	overlaps	shares label with http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/so#starts	starts	shares label with http://purl.obolibrary.org/obo/RO_0002223
http://purl.obolibrary.org/obo/so#adjacent_to	adjacent_to	not an RO property
http://purl.obolibrary.org/obo/so#associated_with	associated_with	not an RO property
http://purl.obolibrary.org/obo/so#complete_evidence_for_feature	complete_evidence_for_feature	not an RO property
http://purl.obolibrary.org/obo/so#connects_on	connects_on	not an RO property
http://purl.obolibrary.org/obo/so#contained_by	contained_by	not an RO property
http://purl.obolibrary.org/obo/so#derives_from	derives_from	not an RO property
http://purl.obolibrary.org/obo/so#disconnected_from	disconnected_from	not an RO property
http://purl.obolibrary.org/obo/so#edited_from	edited_from	not an RO property
http://purl.obolibrary.org/obo/so#edited_to	edited_to	not an RO property
http://purl.obolibrary.org/obo/so#evidence_for_feature	evidence_for_feature	not an RO property
http://purl.obolibrary.org/obo/so#exemplar_of	exemplar_of	not an RO property
http://purl.obolibrary.org/obo/so#finished_by	finished_by	not an RO property
http://purl.obolibrary.org/obo/so#finishes	finishes	not an RO property
http://purl.obolibrary.org/obo/so#gained	gained	not an RO property
http://purl.obolibrary.org/obo/so#genome_of	genome_of	not an RO property
http://purl.obolibrary.org/obo/so#guided_by	guided_by	not an RO property
http://purl.obolibrary.org/obo/so#guides	guides	not an RO property
http://purl.obolibrary.org/obo/so#has_integral_part	has_integral_part	not an RO property
http://purl.obolibrary.org/obo/so#has_origin	has_origin	not an RO property
http://purl.obolibrary.org/obo/so#has_part	has_part	not an RO property
http://purl.obolibrary.org/obo/so#has_quality	has_quality	not an RO property
http://purl.obolibrary.org/obo/so#homologous_to	homologous_to	not an RO property
http://purl.obolibrary.org/obo/so#integral_part_of	integral_part_of	not an RO property
http://purl.obolibrary.org/obo/so#is_consecutive_sequence_of	is_consecutive_sequence_of	not an RO property
http://purl.obolibrary.org/obo/so#lost	lost	not an RO property
http://purl.obolibrary.org/obo/so#maximally_overlaps	maximally_overlaps	not an RO property
http://purl.obolibrary.org/obo/so#member_of	member_of	not an RO property
http://purl.obolibrary.org/obo/so#non_functional_homolog_of	non_functional_homolog_of	not an RO property
http://purl.obolibrary.org/obo/so#orthologous_to	orthologous_to	not an RO property
http://purl.obolibrary.org/obo/so#paralogous_to	paralogous_to	not an RO property
http://purl.obolibrary.org/obo/so#part_of	part_of	not an RO property
http://purl.obolibrary.org/obo/so#partial_evidence_for_feature	partial_evidence_for_feature	not an RO property
http://purl.obolibrary.org/obo/so#position_of	position_of	not an RO property
http://purl.obolibrary.org/obo/so#processed_from	processed_from	not an RO property
http://purl.obolibrary.org/obo/so#processed_into	processed_into	not an RO property
http://purl.obolibrary.org/obo/so#recombined_from	recombined_from	not an RO property
http://purl.obolibrary.org/obo/so#recombined_to	recombined_to	not an RO property
http://purl.obolibrary.org/obo/so#sequence_of	sequence_of	not an RO property
http://purl.obolibrary.org/obo/so#similar_to	similar_to	not an RO property
http://purl.obolibrary.org/obo/so#started_by	started_by	not an RO property
http://purl.obolibrary.org/obo/so#trans_spliced_from	trans_spliced_from	not an RO property
http://purl.obolibrary.org/obo/so#trans_spliced_to	trans_spliced_to	not an RO property
http://purl.obolibrary.org/obo/so#transcribed_from	transcribed_from	not an RO property
http://purl.obolibrary.org/obo/so#transcribed_to	transcribed_to	not an RO property
http://purl.obolibrary.org/obo/so#translates_to	translates_to	not an RO property
http://purl.obolibrary.org/obo/so#translation_of	translation_of	not an RO property
http://purl.obolibrary.org/obo/so#variant_of	variant_of	not an RO property
