Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	U5_five_prime_LTR_region	IAO:0000115	The U5 segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	U5_three_prime_LTR_region	IAO:0000115	The U5 segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	U3_five_prime_LTR_region	IAO:0000115	The U3 segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	U3_three_prime_LTR_region	IAO:0000115	The U3 segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	clone_insert	IAO:0000115	The region of sequence that has been inserted and is being propagated by the clone.
ERROR	duplicate_definition	cloned_region	IAO:0000115	The region of sequence that has been inserted and is being propagated by the clone.
ERROR	duplicate_definition	R_five_prime_LTR_region	IAO:0000115	The R segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	R_three_prime_LTR_region	IAO:0000115	The R segment of the three-prime long terminal repeat.
ERROR	duplicate_definition	unitary_pseudogenic_rRNA	IAO:0000115	The pseudogene has no parent. It is the original gene, which is functional in some species but disrupted in some way (indels, mutation, recombination) in another species or strain.
ERROR	duplicate_definition	unitary_pseudogenic_tRNA	IAO:0000115	The pseudogene has no parent. It is the original gene, which is functional in some species but disrupted in some way (indels, mutation, recombination) in another species or strain.
ERROR	duplicate_definition	unprocessed_pseudogenic_rRNA	IAO:0000115	The pseudogene has arisen from a copy of the parent gene by duplication followed by accumulation of random mutation. The changes, compared to their functional homolog, include insertions, deletions, premature stop codons, frameshifts and a higher proportion of non-synonymous versus synonymous substitutions.
ERROR	duplicate_definition	unprocessed_pseudogenic_tRNA	IAO:0000115	The pseudogene has arisen from a copy of the parent gene by duplication followed by accumulation of random mutation. The changes, compared to their functional homolog, include insertions, deletions, premature stop codons, frameshifts and a higher proportion of non-synonymous versus synonymous substitutions.
ERROR	duplicate_definition	processed_pseudogenic_rRNA	IAO:0000115	The pseudogene has arisen by reverse transcription of a mRNA into cDNA, followed by reintegration into the genome. Therefore, it has lost any intron/exon structure, and it might have a pseudo-polyA-tail.
ERROR	duplicate_definition	processed_pseudogenic_tRNA	IAO:0000115	The pseudogene has arisen by reverse transcription of a mRNA into cDNA, followed by reintegration into the genome. Therefore, it has lost any intron/exon structure, and it might have a pseudo-polyA-tail.
ERROR	duplicate_definition	circular_single_stranded_DNA_chromosome	IAO:0000115	Structural unit composed of a self-replicating, single-stranded, circular DNA molecule.
ERROR	duplicate_definition	circular_single_stranded_RNA_chromosome	IAO:0000115	Structural unit composed of a self-replicating, single-stranded, circular DNA molecule.
ERROR	duplicate_definition	mitochondrial_sequence	IAO:0000115	DNA belonging to the genome of a mitochondria.
ERROR	duplicate_definition	mitochondrial_DNA	IAO:0000115	DNA belonging to the genome of a mitochondria.
ERROR	duplicate_definition	sugar_edge_base_pair	IAO:0000115	A type of non-canonical base-pairing.
ERROR	duplicate_definition	reverse_Hoogsteen_base_pair	IAO:0000115	A type of non-canonical base-pairing.
ERROR	duplicate_definition	engineered_foreign_transposable_element_gene	IAO:0000115	A transposable_element that is engineered and foreign.
ERROR	duplicate_definition	engineered_foreign_transposable_element	IAO:0000115	A transposable_element that is engineered and foreign.
ERROR	duplicate_definition	sequencing_primer	IAO:0000115	A single stranded oligo used for polymerase chain reaction.
ERROR	duplicate_definition	forward_primer	IAO:0000115	A single stranded oligo used for polymerase chain reaction.
ERROR	duplicate_definition	reverse_primer	IAO:0000115	A single stranded oligo used for polymerase chain reaction.
