Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	posterior lateral eye lens	IAO:0000115	The lens of the posterior lateral eye.
ERROR	duplicate_definition	posterior median eye lens	IAO:0000115	The lens of the posterior lateral eye.
ERROR	duplicate_definition	circulatory system	IAO:0000115	For Wirkner to do.
ERROR	duplicate_definition	sinus	IAO:0000115	For Wirkner to do.
ERROR	duplicate_definition	lacuna	IAO:0000115	For Wirkner to do.
ERROR	duplicate_definition	flagelliform gland	IAO:0000115	A large silk gland with complex lumen and long duct, discharging in a spigot on a posterior lateral spinneret.
ERROR	duplicate_definition	pseudoflagelliform gland	IAO:0000115	A large silk gland with complex lumen and long duct, discharging in a spigot on a posterior lateral spinneret.
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/spd.owl	dc:license	
ERROR	duplicate_label	palpal femoral thorn	rdfs:label	palpal femoral thorn
ERROR	duplicate_label	palpal femoral thorn	rdfs:label	palpal femoral thorn
ERROR	duplicate_label	macroseta	rdfs:label	macroseta
ERROR	duplicate_label	macroseta	rdfs:label	macroseta
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/spd.owl	dc:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/spd.owl	dc:title	
WARN	missing_obsolete_label	2nd opisthosomal segment (epigastrium)	rdfs:label	2nd opisthosomal segment (epigastrium)
WARN	missing_obsolete_label	3rd opisthosomal segment (posterior booklungs and tracheae)	rdfs:label	3rd opisthosomal segment (posterior booklungs and tracheae)
WARN	missing_obsolete_label	stage	rdfs:label	stage
WARN	missing_obsolete_label	organ system	rdfs:label	organ system
WARN	missing_obsolete_label	posterior lateral respiratory structure	rdfs:label	posterior lateral respiratory structure
WARN	missing_obsolete_label	median tracheae or entapophyses	rdfs:label	median tracheae or entapophyses
WARN	missing_obsolete_label	AMS-cribellum-colulus	rdfs:label	AMS-cribellum-colulus
WARN	missing_obsolete_label	intestine	rdfs:label	intestine
WARN	missing_obsolete_label	prosoma segment	rdfs:label	prosoma segment
WARN	missing_obsolete_label	external opisthosoma	rdfs:label	external opisthosoma
WARN	missing_obsolete_label	posterior median respiratory structure	rdfs:label	posterior median respiratory structure
WARN	missing_obsolete_label	posterior booklung or lateral tracheae	rdfs:label	posterior booklung or lateral tracheae
WARN	missing_obsolete_label	primary spermatheca	rdfs:label	primary spermatheca
WARN	missing_obsolete_label	stalk of spermatheca	rdfs:label	stalk of spermatheca
WARN	missing_obsolete_label	male serrula	rdfs:label	male serrula
WARN	missing_obsolete_label	male maxillary gland	rdfs:label	male maxillary gland
WARN	missing_obsolete_label	male endite apical tuft seta	rdfs:label	male endite apical tuft seta
WARN	missing_obsolete_label	sclerite of copulatory bulb	rdfs:label	sclerite of copulatory bulb
WARN	missing_obsolete_label	promarginal seta	rdfs:label	promarginal seta
