IRI	Label	Issue
http://purl.obolibrary.org/obo/STATO_0000115	has member	shares label with http://purl.obolibrary.org/obo/RO_0002351
http://purl.obolibrary.org/obo/STATO_0000001	declares	not an RO property
http://purl.obolibrary.org/obo/STATO_0000004	is declared by	not an RO property
http://purl.obolibrary.org/obo/STATO_0000101	has numerator	not an RO property
http://purl.obolibrary.org/obo/STATO_0000102	executes	not an RO property
http://purl.obolibrary.org/obo/STATO_0000110	assumes values specified by	not an RO property
http://purl.obolibrary.org/obo/STATO_0000114	is member of	not an RO property
http://purl.obolibrary.org/obo/STATO_0000205	is denoted by	not an RO property
http://purl.obolibrary.org/obo/STATO_0000259	has denominator	not an RO property
http://purl.obolibrary.org/obo/STATO_0000344	has effect on	not an RO property
http://purl.obolibrary.org/obo/STATO_0000345	has fixed effect on	not an RO property
http://purl.obolibrary.org/obo/STATO_0000380	has interaction effect on	not an RO property
http://purl.obolibrary.org/obo/STATO_0000381	has random effect on	not an RO property
http://purl.obolibrary.org/obo/STATO_0000382	has order in sequence	not an RO property
http://purl.obolibrary.org/obo/STATO_0000403	estimate of	not an RO property
http://purl.obolibrary.org/obo/STATO_0000557	computed from	not an RO property
http://purl.obolibrary.org/obo/STATO_0000129	has value	not an RO property
