Level	Rule Name	Subject	Property	Value
WARN	invalid_xref	swelling in chest	oboInOwl:hasDbXref	ICD9CM_2005:<new dbxref>
WARN	duplicate_label_synonym	blister	oboInOwl:hasExactSynonym	blister
WARN	duplicate_label_synonym	seizure	oboInOwl:hasExactSynonym	seizure
WARN	duplicate_label_synonym	weight loss	oboInOwl:hasExactSynonym	weight loss
WARN	duplicate_label_synonym	syncope	oboInOwl:hasExactSynonym	syncope
WARN	duplicate_label_synonym	hematochezia	oboInOwl:hasExactSynonym	hematochezia
WARN	duplicate_label_synonym	heartburn	oboInOwl:hasExactSynonym	heartburn
WARN	missing_obsolete_label	acute enteritis in newborns	rdfs:label	acute enteritis in newborns
WARN	missing_obsolete_label	arrested moulting	rdfs:label	arrested moulting
WARN	missing_obsolete_label	bloody diarrhea	rdfs:label	bloody diarrhea
WARN	missing_obsolete_label	bloody exudate	rdfs:label	bloody exudate
WARN	missing_obsolete_label	blurred vision	rdfs:label	blurred vision
WARN	missing_obsolete_label	capillary leakage	rdfs:label	capillary leakage
WARN	missing_obsolete_label	cardiomyocyte destruction	rdfs:label	cardiomyocyte destruction
WARN	missing_obsolete_label	epidermal proliferation	rdfs:label	epidermal proliferation
WARN	missing_obsolete_label	excess mucus in bronchi	rdfs:label	excess mucus in bronchi
WARN	missing_obsolete_label	exophthalmia	rdfs:label	exophthalmia
WARN	missing_obsolete_label	feather loss	rdfs:label	feather loss
WARN	missing_obsolete_label	flaccid limb paralysis	rdfs:label	flaccid limb paralysis
WARN	missing_obsolete_label	fluid in pericardial sac	rdfs:label	fluid in pericardial sac
WARN	missing_obsolete_label	fragile bones	rdfs:label	fragile bones
WARN	missing_obsolete_label	catarrhal enteritis	rdfs:label	catarrhal enteritis
WARN	missing_obsolete_label	hemorrhagic enteritis	rdfs:label	hemorrhagic enteritis
WARN	missing_obsolete_label	hemorrhagic meningitis	rdfs:label	hemorrhagic meningitis
WARN	missing_obsolete_label	hemorrhagic thoracic lymphadenitis	rdfs:label	hemorrhagic thoracic lymphadenitis
WARN	missing_obsolete_label	hunched posture	rdfs:label	hunched posture
WARN	missing_obsolete_label	hyperemic liver	rdfs:label	hyperemic liver
WARN	missing_obsolete_label	hyperemic spleen	rdfs:label	hyperemic spleen
WARN	missing_obsolete_label	hyperkeratotic plaques of surface of foot	rdfs:label	hyperkeratotic plaques of surface of foot
WARN	missing_obsolete_label	hyperplastic alveolar nodules	rdfs:label	hyperplastic alveolar nodules
WARN	missing_obsolete_label	ill-thrift	rdfs:label	ill-thrift
WARN	missing_obsolete_label	inflammation of meninges	rdfs:label	inflammation of meninges
WARN	missing_obsolete_label	joint swelling	rdfs:label	joint swelling
WARN	missing_obsolete_label	lesions in respiratory tract	rdfs:label	lesions in respiratory tract
WARN	missing_obsolete_label	lesions in spleen	rdfs:label	lesions in spleen
WARN	missing_obsolete_label	lesions in thymus	rdfs:label	lesions in thymus
WARN	missing_obsolete_label	localized cutaneous lesions	rdfs:label	localized cutaneous lesions
WARN	missing_obsolete_label	loose droppings	rdfs:label	loose droppings
WARN	missing_obsolete_label	loss of coordination	rdfs:label	loss of coordination
WARN	missing_obsolete_label	low grade fever	rdfs:label	low grade fever
WARN	missing_obsolete_label	lymphocytic hyperplasia	rdfs:label	lymphocytic hyperplasia
WARN	missing_obsolete_label	massive lymphadenopathy	rdfs:label	massive lymphadenopathy
WARN	missing_obsolete_label	neck swelling	rdfs:label	neck swelling
WARN	missing_obsolete_label	partial paralysis	rdfs:label	partial paralysis
WARN	missing_obsolete_label	persistent lymphocytosis	rdfs:label	persistent lymphocytosis
WARN	missing_obsolete_label	petechial hemorrhages	rdfs:label	petechial hemorrhages
WARN	missing_obsolete_label	photosensitivity	rdfs:label	photosensitivity
WARN	missing_obsolete_label	portal hepatitis	rdfs:label	portal hepatitis
WARN	missing_obsolete_label	proliferative mouth papules	rdfs:label	proliferative mouth papules
WARN	missing_obsolete_label	proliferative skin lesions	rdfs:label	proliferative skin lesions
WARN	missing_obsolete_label	proliferative tracheitis	rdfs:label	proliferative tracheitis
WARN	missing_obsolete_label	prolonged thrombocytopenia	rdfs:label	prolonged thrombocytopenia
WARN	missing_obsolete_label	pustular skin lesions	rdfs:label	pustular skin lesions
WARN	missing_obsolete_label	reddening	rdfs:label	reddening
WARN	missing_obsolete_label	retinal inflammation	rdfs:label	retinal inflammation
WARN	missing_obsolete_label	salivary gland swelling	rdfs:label	salivary gland swelling
WARN	missing_obsolete_label	sclerodermoid plaques	rdfs:label	sclerodermoid plaques
WARN	missing_obsolete_label	self-limiting liver inflammation	rdfs:label	self-limiting liver inflammation
WARN	missing_obsolete_label	skin papules	rdfs:label	skin papules
WARN	missing_obsolete_label	slight cough	rdfs:label	slight cough
WARN	missing_obsolete_label	slight pyrexia	rdfs:label	slight pyrexia
WARN	missing_obsolete_label	spleen hemorrhages	rdfs:label	spleen hemorrhages
WARN	missing_obsolete_label	spleen infiltrates	rdfs:label	spleen infiltrates
WARN	missing_obsolete_label	splitting of tissues	rdfs:label	splitting of tissues
WARN	missing_obsolete_label	sudden onset of severe chills	rdfs:label	sudden onset of severe chills
WARN	missing_obsolete_label	swollen cervical lymphnodes	rdfs:label	swollen cervical lymphnodes
WARN	missing_obsolete_label	systemic infection	rdfs:label	systemic infection
WARN	missing_obsolete_label	systemic necrosis	rdfs:label	systemic necrosis
WARN	missing_obsolete_label	systemic vasculitis	rdfs:label	systemic vasculitis
WARN	missing_obsolete_label	tarry droppings	rdfs:label	tarry droppings
WARN	missing_obsolete_label	thymus atrophy	rdfs:label	thymus atrophy
WARN	missing_obsolete_label	ulcerative dermal vesicles	rdfs:label	ulcerative dermal vesicles
WARN	missing_obsolete_label	upper respiratory distress	rdfs:label	upper respiratory distress
WARN	missing_obsolete_label	vascular lesions	rdfs:label	vascular lesions
WARN	missing_obsolete_label	vascular necrosis	rdfs:label	vascular necrosis
WARN	missing_obsolete_label	vein swelling	rdfs:label	vein swelling
WARN	missing_obsolete_label	vesicles on feet	rdfs:label	vesicles on feet
WARN	missing_obsolete_label	vesicles on hoof corona	rdfs:label	vesicles on hoof corona
WARN	missing_obsolete_label	vesicles on mouth	rdfs:label	vesicles on mouth
WARN	missing_obsolete_label	vesicles on teats	rdfs:label	vesicles on teats
WARN	missing_obsolete_label	vesicular lesions on lip border	rdfs:label	vesicular lesions on lip border
WARN	missing_obsolete_label	watery diarrhea	rdfs:label	watery diarrhea
WARN	missing_obsolete_label	watery ocular discharge	rdfs:label	watery ocular discharge
WARN	missing_obsolete_label	wet droppings	rdfs:label	wet droppings
WARN	missing_obsolete_label	yellow liver	rdfs:label	yellow liver
WARN	missing_obsolete_label	hemistanding	rdfs:label	hemistanding
WARN	missing_obsolete_label	hemiwalking	rdfs:label	hemiwalking
WARN	missing_obsolete_label	acute respiratory distress	rdfs:label	acute respiratory distress
WARN	missing_obsolete_label	acute suppurative lesions	rdfs:label	acute suppurative lesions
WARN	missing_obsolete_label	excess pericardial fluid	rdfs:label	excess pericardial fluid
WARN	missing_obsolete_label	partial paralysis of the limbs	rdfs:label	partial paralysis of the limbs
WARN	missing_obsolete_label	respiratory distress	rdfs:label	respiratory distress
WARN	missing_obsolete_label	ankle swelling	rdfs:label	ankle swelling
WARN	missing_obsolete_label	severe temperature increase	rdfs:label	severe temperature increase
WARN	missing_obsolete_label	ulcerations	rdfs:label	ulcerations
WARN	missing_obsolete_label	osteomyelitis	rdfs:label	osteomyelitis
WARN	missing_definition	abdominal cramp	IAO:0000115	
WARN	missing_definition	abdominal distention	IAO:0000115	
WARN	missing_definition	blindness	IAO:0000115	
WARN	missing_definition	giddiness	IAO:0000115	
WARN	missing_definition	crinkle	IAO:0000115	
WARN	missing_definition	darkening of skin	IAO:0000115	
WARN	missing_definition	deafness	IAO:0000115	
WARN	missing_definition	depression	IAO:0000115	
WARN	missing_definition	drowsiness	IAO:0000115	
WARN	missing_definition	dry cough	IAO:0000115	
WARN	missing_definition	flaccidity	IAO:0000115	
WARN	missing_definition	flat keratotic capsule	IAO:0000115	
WARN	missing_definition	hemorrhagic gastroenteritis	IAO:0000115	
WARN	missing_definition	dyspneic enteritis	IAO:0000115	
WARN	missing_definition	hepatic necrosis	IAO:0000115	
WARN	missing_definition	hepatitis	IAO:0000115	
WARN	missing_definition	hepatosplenomegaly	IAO:0000115	
WARN	missing_definition	hydrocephalus	IAO:0000115	
WARN	missing_definition	hypergammaglobulinemia	IAO:0000115	
WARN	missing_definition	hyperreflexia	IAO:0000115	
WARN	missing_definition	hypotension	IAO:0000115	
WARN	missing_definition	intestinal hemorrhage	IAO:0000115	
WARN	missing_definition	joint pain	IAO:0000115	
WARN	missing_definition	keratotic nodules of the skin	IAO:0000115	
WARN	missing_definition	laryngitis	IAO:0000115	
WARN	missing_definition	laryngotracheitis	IAO:0000115	
WARN	missing_definition	lesions in myocardium	IAO:0000115	
WARN	missing_definition	lesions in swim bladder	IAO:0000115	
WARN	missing_definition	listlessness	IAO:0000115	
WARN	missing_definition	coordination symptom	IAO:0000115	
WARN	missing_definition	lesions in lung	IAO:0000115	
WARN	missing_definition	lymphangitis	IAO:0000115	
WARN	missing_definition	lymphoblastoma	IAO:0000115	
WARN	missing_definition	lymphopenia	IAO:0000115	
WARN	missing_definition	massive hepatic necrosis	IAO:0000115	
WARN	missing_definition	encephalitis	IAO:0000115	
WARN	missing_definition	mild encephalitis	IAO:0000115	
WARN	missing_definition	muscle cramp	IAO:0000115	
WARN	missing_definition	muscle weakness	IAO:0000115	
WARN	missing_definition	myocarditis	IAO:0000115	
WARN	missing_definition	lesions in pancreas	IAO:0000115	
WARN	missing_definition	plasmacytosis	IAO:0000115	
WARN	missing_definition	mouth papules	IAO:0000115	
WARN	missing_definition	tracheitis	IAO:0000115	
WARN	missing_definition	thrombocytopenia	IAO:0000115	
WARN	missing_definition	rhinitis	IAO:0000115	
WARN	missing_definition	seizure	IAO:0000115	
WARN	missing_definition	liver inflammation	IAO:0000115	
WARN	missing_definition	severe backache	IAO:0000115	
WARN	missing_definition	conjunctivitis	IAO:0000115	
WARN	missing_definition	severe conjunctivitis	IAO:0000115	
WARN	missing_definition	severe headache	IAO:0000115	
WARN	missing_definition	severe joint pain	IAO:0000115	
WARN	missing_definition	severe necrosis	IAO:0000115	
WARN	missing_definition	sinusitis	IAO:0000115	
WARN	missing_definition	spasticity	IAO:0000115	
WARN	missing_definition	bronchopneumonia	IAO:0000115	
WARN	missing_definition	feces and droppings symptom	IAO:0000115	
WARN	missing_definition	steatorrhea	IAO:0000115	
WARN	missing_definition	vasculitis	IAO:0000115	
WARN	missing_definition	thymus symptom	IAO:0000115	
WARN	missing_definition	spleen symptom	IAO:0000115	
WARN	missing_definition	tracheobronchitis	IAO:0000115	
WARN	missing_definition	incoordination	IAO:0000115	
WARN	missing_definition	weakness	IAO:0000115	
WARN	missing_definition	weight loss	IAO:0000115	
WARN	missing_definition	liver symptom	IAO:0000115	
WARN	missing_definition	bubo	IAO:0000115	
WARN	missing_definition	muscle symptom	IAO:0000115	
WARN	missing_definition	change in skin color	IAO:0000115	
WARN	missing_definition	weariness	IAO:0000115	
WARN	missing_definition	exhaustion	IAO:0000115	
WARN	missing_definition	tiredness	IAO:0000115	
WARN	missing_definition	abdominal discomfort	IAO:0000115	
WARN	missing_definition	postural reaction	IAO:0000115	
WARN	missing_definition	wheelbarrowing	IAO:0000115	
WARN	missing_definition	hopping	IAO:0000115	
WARN	missing_definition	conscious proprioception	IAO:0000115	
WARN	missing_definition	abnormal hemiwalking hemistanding	IAO:0000115	
WARN	missing_definition	reproductive system symptom	IAO:0000115	
WARN	missing_definition	acute arthritis	IAO:0000115	
WARN	missing_definition	acute meningoencephalitis	IAO:0000115	
WARN	missing_definition	acute painful vision loss	IAO:0000115	
WARN	missing_definition	salivary gland symptom	IAO:0000115	
WARN	missing_definition	acute suppurative parotiditis	IAO:0000115	
WARN	missing_definition	anemia	IAO:0000115	
WARN	missing_definition	ischemia	IAO:0000115	
WARN	missing_definition	photophobia	IAO:0000115	
WARN	missing_definition	asthenopia	IAO:0000115	
WARN	missing_definition	eye strain	IAO:0000115	
WARN	missing_definition	inability to comprehend speech	IAO:0000115	
WARN	missing_definition	inability to speak	IAO:0000115	
WARN	missing_definition	inability to form words	IAO:0000115	
WARN	missing_definition	poor enunciation	IAO:0000115	
WARN	missing_definition	areflexia	IAO:0000115	
WARN	missing_definition	absence of knee jerk reflex	IAO:0000115	
WARN	missing_definition	limb weakness	IAO:0000115	
WARN	missing_definition	arm weakness	IAO:0000115	
WARN	missing_definition	leg weakness	IAO:0000115	
WARN	missing_definition	asthenia	IAO:0000115	
WARN	missing_definition	blood vessel infection	IAO:0000115	
WARN	missing_definition	hemorrhagic diarrhea	IAO:0000115	
WARN	missing_definition	bloody stool	IAO:0000115	
