IRI	Label	Issue
http://purl.obolibrary.org/obo/T4FS_0000554	confers/requires competency about	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000555	confers/requires knowledge about	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000556	requires/improves personal attribute	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000557	confers/requires practical skill about	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000558	has/wants competency in	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000559	has/wants knowledge about	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000560	supports implementation of	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000561	has/wants practical skill about	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000562	has aptitude for	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000563	contributes to the implementation of	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000575	competency gained through	not an RO property
http://purl.obolibrary.org/obo/T4FS_0000553	reference url	not an RO property
