Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/taxrank.owl	dc:title	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/taxrank.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/taxrank.owl	dc:description	
WARN	missing_definition	phylum	IAO:0000115	
WARN	missing_definition	class	IAO:0000115	
WARN	missing_definition	order	IAO:0000115	
WARN	missing_definition	family	IAO:0000115	
WARN	missing_definition	genus	IAO:0000115	
WARN	missing_definition	species	IAO:0000115	
WARN	missing_definition	subclass	IAO:0000115	
WARN	missing_definition	subphylum	IAO:0000115	
WARN	missing_definition	subgenus	IAO:0000115	
WARN	missing_definition	species_group	IAO:0000115	
WARN	missing_definition	species_subgroup	IAO:0000115	
WARN	missing_definition	species_complex	IAO:0000115	
WARN	missing_definition	infraorder	IAO:0000115	
WARN	missing_definition	suborder	IAO:0000115	
WARN	missing_definition	superclass	IAO:0000115	
WARN	missing_definition	varietas	IAO:0000115	
WARN	missing_definition	kingdom	IAO:0000115	
WARN	missing_definition	superfamily	IAO:0000115	
WARN	missing_definition	infraclass	IAO:0000115	
WARN	missing_definition	superorder	IAO:0000115	
WARN	missing_definition	parvorder	IAO:0000115	
WARN	missing_definition	superkingdom	IAO:0000115	
WARN	missing_definition	subspecies	IAO:0000115	
WARN	missing_definition	subfamily	IAO:0000115	
WARN	missing_definition	tribe	IAO:0000115	
WARN	missing_definition	forma	IAO:0000115	
WARN	missing_definition	superphylum	IAO:0000115	
WARN	missing_definition	subtribe	IAO:0000115	
WARN	missing_definition	subkingdom	IAO:0000115	
WARN	missing_definition	section	IAO:0000115	
WARN	missing_definition	series	IAO:0000115	
WARN	missing_definition	bio-variety	IAO:0000115	
WARN	missing_definition	candidate	IAO:0000115	
WARN	missing_definition	cultivar	IAO:0000115	
WARN	missing_definition	cultivar-group	IAO:0000115	
WARN	missing_definition	denominationclass	IAO:0000115	
WARN	missing_definition	domain	IAO:0000115	
WARN	missing_definition	graft-chimaera	IAO:0000115	
WARN	missing_definition	grex	IAO:0000115	
WARN	missing_definition	infraphylum	IAO:0000115	
WARN	missing_definition	infrafamily	IAO:0000115	
WARN	missing_definition	infragenerictaxon	IAO:0000115	
WARN	missing_definition	infragenus	IAO:0000115	
WARN	missing_definition	infrakingdom	IAO:0000115	
WARN	missing_definition	infraspecies	IAO:0000115	
WARN	missing_definition	infraspecificTaxon	IAO:0000115	
WARN	missing_definition	infratribe	IAO:0000115	
WARN	missing_definition	patho-variety	IAO:0000115	
WARN	missing_definition	specialform	IAO:0000115	
WARN	missing_definition	speciesaggregate	IAO:0000115	
WARN	missing_definition	subvariety	IAO:0000115	
WARN	missing_definition	subsubvariety	IAO:0000115	
WARN	missing_definition	subsection	IAO:0000115	
WARN	missing_definition	subseries	IAO:0000115	
WARN	missing_definition	subspecificaggregate	IAO:0000115	
WARN	missing_definition	subsubform	IAO:0000115	
WARN	missing_definition	supertribe	IAO:0000115	
WARN	missing_definition	supragenerictaxon	IAO:0000115	
WARN	missing_definition	subform	IAO:0000115	
WARN	missing_definition	has_rank	IAO:0000115	
