IRI	Label	Issue
http://purl.obolibrary.org/obo/to#evaluation_location	evaluation location	not an RO property
http://purl.obolibrary.org/obo/to#from_country	from country	not an RO property
http://purl.obolibrary.org/obo/to#has_absolute_phenotype	has absolute phenotype	not an RO property
http://purl.obolibrary.org/obo/to#has_dividend_entity	has dividend entity	not an RO property
http://purl.obolibrary.org/obo/to#has_dividend_quality	has dividend quality	not an RO property
http://purl.obolibrary.org/obo/to#has_divisor_entity	has divisor entity	not an RO property
http://purl.obolibrary.org/obo/to#has_divisor_quality	has divisor quality	not an RO property
http://purl.obolibrary.org/obo/to#has_phenotype_score	has phenotype score	not an RO property
http://purl.obolibrary.org/obo/to#has_phenotype_variable	has phenotype variable	not an RO property
http://purl.obolibrary.org/obo/to#has_ratio_quality	has ratio quality	not an RO property
http://purl.obolibrary.org/obo/to#has_relative_phenotype	has relative phenotype	not an RO property
http://purl.obolibrary.org/obo/to#relative_to	relative to	not an RO property
