Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/tto.owl	dc:title	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/tto.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/tto.owl	dc:description	
ERROR	duplicate_label	Sarcopterygii	rdfs:label	Sarcopterygii
ERROR	duplicate_label	Sarcopterygii	rdfs:label	Sarcopterygii
ERROR	duplicate_label	Nahangbagrus	rdfs:label	Nahangbagrus
ERROR	duplicate_label	Nahangbagrus	rdfs:label	Nahangbagrus
ERROR	duplicate_label	Liza ramado	rdfs:label	Liza ramado
ERROR	duplicate_label	Liza ramado	rdfs:label	Liza ramado
ERROR	duplicate_label	Labeo	rdfs:label	Labeo
ERROR	duplicate_label	Labeo	rdfs:label	Labeo
ERROR	duplicate_label	Hypseleotris cyprinoides	rdfs:label	Hypseleotris cyprinoides
ERROR	duplicate_label	Hypseleotris cyprinoides	rdfs:label	Hypseleotris cyprinoides
ERROR	duplicate_label	Hypomasticus	rdfs:label	Hypomasticus
ERROR	duplicate_label	Hypomasticus	rdfs:label	Hypomasticus
ERROR	duplicate_label	Diagramma pictum	rdfs:label	Diagramma pictum
ERROR	duplicate_label	Diagramma pictum	rdfs:label	Diagramma pictum
ERROR	duplicate_label	Chondrichthyes	rdfs:label	Chondrichthyes
ERROR	duplicate_label	Chondrichthyes	rdfs:label	Chondrichthyes
ERROR	duplicate_label	Actinopterygii	rdfs:label	Actinopterygii
ERROR	duplicate_label	Actinopterygii	rdfs:label	Actinopterygii
WARN	missing_synonymtype_declaration	common name	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	misspelling	rdfs:subPropertyOf	
WARN	missing_synonymtype_declaration	name with (author year)	rdfs:subPropertyOf	
WARN	annotation_whitespace	Cryptarius daugueti	oboInOwl:hasRelatedSynonym	Hemipimelodus daugueti 
WARN	annotation_whitespace	Gymnotus mamiraua	oboInOwl:hasRelatedSynonym	Gymnotus mamiraua 
WARN	annotation_whitespace	Gymnotus arapaima	oboInOwl:hasRelatedSynonym	Gymnotus arapaima 
WARN	annotation_whitespace	Gymnotus jonasi	oboInOwl:hasRelatedSynonym	Gymnotus jonasi 
WARN	annotation_whitespace	Sinilabeo tonkinensis	oboInOwl:hasRelatedSynonym	 loos
WARN	annotation_whitespace	Astyanax varzeae	oboInOwl:hasRelatedSynonym	 Astyanax varzeae
WARN	missing_obsolete_label	Genus1 (Sidlauskas and Vari 2008)	rdfs:label	Genus1 (Sidlauskas and Vari 2008)
WARN	missing_obsolete_label	Hypomasticus	rdfs:label	Hypomasticus
WARN	missing_obsolete_label	Roeboides sp. (Lucena and Menezes 1998)	rdfs:label	Roeboides sp. (Lucena and Menezes 1998)
WARN	missing_obsolete_label	Aopidoparia sp. (Siebert 1987)	rdfs:label	Aopidoparia sp. (Siebert 1987)
WARN	missing_obsolete_label	Squalius borysthenicus	rdfs:label	Squalius borysthenicus
WARN	missing_obsolete_label	Squalius berak	rdfs:label	Squalius berak
WARN	missing_obsolete_label	Squalius lepidus	rdfs:label	Squalius lepidus
WARN	missing_obsolete_label	Pseudophoxinus ghigii	rdfs:label	Pseudophoxinus ghigii
WARN	missing_obsolete_label	Glyptoperichthys gibbiceps	rdfs:label	Glyptoperichthys gibbiceps
WARN	missing_obsolete_label	Pseudancistrus pediculatus	rdfs:label	Pseudancistrus pediculatus
