IRI	Label	Issue
http://purl.obolibrary.org/obo/uberon/core#conduit_for	conduit for	shares label with http://purl.obolibrary.org/obo/RO_0002570
http://purl.obolibrary.org/obo/uberon/core#synapsed_by	synapsed by	shares label with http://purl.obolibrary.org/obo/RO_0002103
http://purl.obolibrary.org/obo/BSPO_0000096	anterior_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000097	distal_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000098	dorsal_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000099	posterior_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000100	proximal_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000102	ventral_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000107	deep_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000108	superficial_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000120	in_left_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000121	in_right_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000122	in_posterior_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000123	in_anterior_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000124	in_proximal_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000125	in_distal_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000126	in_lateral_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001100	in_superficial_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001101	in_deep_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001106	proximalmost_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001107	immediately_deep_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001108	distalmost_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001113	preaxialmost_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001114	postaxial_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001115	postaxialmost_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0005001	intersects_midsagittal_plane_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015009	immediately_anterior_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015012	immediately_posterior_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015014	immediately_superficial_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015101	in_dorsal_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015102	in_ventral_side_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015201	oral_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015202	aboral_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_1000000	preaxial_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#anastomoses_with	anastomoses with	not an RO property
http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to	anteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channel_for	channel for	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channels_from	channels_from	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channels_into	channels_into	not an RO property
http://purl.obolibrary.org/obo/uberon/core#distally_connected_to	distally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into	extends_fibers_into	not an RO property
http://purl.obolibrary.org/obo/uberon/core#filtered_through	filtered through	not an RO property
http://purl.obolibrary.org/obo/uberon/core#has_start	has_start	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_central_side_of	in_central_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_innermost_side_of	in_innermost_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_outermost_side_of	in_outermost_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies	indirectly_supplies	not an RO property
http://purl.obolibrary.org/obo/uberon/core#layer_part_of	layer part of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to	posteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#protects	protects	not an RO property
http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to	proximally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to	sexually_homologous_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#site_of	site_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#subdivision_of	subdivision of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_anteriorly_connected_to	transitively anteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_connected_to	transitively_connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_distally_connected_to	transitively distally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_proximally_connected_to	transitively proximally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#trunk_part_of	trunk_part_of	not an RO property
