Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	vertebral element 4	definition	Vertebra that is posteriorly adjacent to vertebra 5.
ERROR	duplicate_definition	vertebral element 6	definition	Vertebra that is posteriorly adjacent to vertebra 5.
ERROR	duplicate_definition	somite 1	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 5	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 26	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 20	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 30	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 11	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 14	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 17	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 2	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 23	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 27	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 3	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 7	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 12	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 15	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 18	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 21	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 24	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 28	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 4	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 8	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 10	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 13	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 16	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 19	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 22	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 25	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 29	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 6	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	somite 9	definition	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 11	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 14	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 17	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 2	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 22	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 25	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 28	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 30	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 6	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 9	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 1	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 12	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 15	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 18	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 20	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
ERROR	duplicate_definition	hypaxial region somite 23	definition	Somite-derived body wall muscle present ventral to the horizontal myoseptum. Kimmel et al, 1995.
