Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	UPHENO:0076905	rdfs:label	decreased inflammatory response
ERROR	duplicate_label	UPHENO:7000646	rdfs:label	decreased inflammatory response
ERROR	misused_obsolete_label	UPHENO:0006900	rdfs:label	obsolete mitochondrial respirasome phenotype
ERROR	misused_obsolete_label	UPHENO:0049627	rdfs:label	obsolete organic hydroxy compound metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0049779	rdfs:label	obsolete organonitrogen compound metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0049785	rdfs:label	obsolete organonitrogen compound biosynthetic process phenotype
ERROR	misused_obsolete_label	UPHENO:0049895	rdfs:label	obsolete response to organonitrogen compound phenotype
ERROR	misused_obsolete_label	UPHENO:0050025	rdfs:label	obsolete regulation of cellular metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050081	rdfs:label	obsolete response to organic cyclic compound phenotype
ERROR	misused_obsolete_label	UPHENO:0050091	rdfs:label	obsolete cellular catabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050099	rdfs:label	obsolete cellular biosynthetic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050113	rdfs:label	obsolete cellular metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050238	rdfs:label	obsolete organic hydroxy compound biosynthetic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050655	rdfs:label	obsolete mucopolysaccharide metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050784	rdfs:label	obsolete regulation of cellular biosynthetic process phenotype
ERROR	misused_obsolete_label	UPHENO:0050832	rdfs:label	obsolete cellular lipid metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0051227	rdfs:label	obsolete chondroitin sulfate proteoglycan biosynthetic process, chain elongation phenotype
ERROR	misused_obsolete_label	UPHENO:0051237	rdfs:label	obsolete regulation of telomerase activity phenotype
ERROR	misused_obsolete_label	UPHENO:0051543	rdfs:label	obsolete chondroitin sulfate metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0051545	rdfs:label	obsolete chondroitin sulfate biosynthetic process phenotype
ERROR	misused_obsolete_label	UPHENO:0059810	rdfs:label	obsolete organonitrogen compound biosynthetic process in blood phenotype
ERROR	misused_obsolete_label	UPHENO:0059813	rdfs:label	obsolete organonitrogen compound metabolic process in blood phenotype
ERROR	misused_obsolete_label	UPHENO:0059822	rdfs:label	obsolete cellular biosynthetic process in blood phenotype
ERROR	misused_obsolete_label	UPHENO:0059851	rdfs:label	obsolete cellular metabolic process in blood phenotype
ERROR	misused_obsolete_label	UPHENO:0080026	rdfs:label	obsolete RNA polymerase II activity phenotype
ERROR	misused_obsolete_label	UPHENO:0083115	rdfs:label	obsolete actin phosphorylation phenotype
ERROR	misused_obsolete_label	UPHENO:0083211	rdfs:label	obsolete negative regulation of chemorepellent activity phenotype
ERROR	misused_obsolete_label	UPHENO:0083212	rdfs:label	obsolete positive regulation of chemorepellent activity phenotype
ERROR	misused_obsolete_label	UPHENO:0083214	rdfs:label	obsolete regulation of chemorepellent activity phenotype
ERROR	misused_obsolete_label	UPHENO:0088235	rdfs:label	obsolete 5-methylcytosine metabolic process phenotype
ERROR	misused_obsolete_label	UPHENO:0088240	rdfs:label	obsolete NADH metabolic process phenotype
WARN	duplicate_exact_synonym	UPHENO:0080524	oboInOwl:hasExactSynonym	bone rib
WARN	duplicate_exact_synonym	UPHENO:0081403	oboInOwl:hasExactSynonym	bone rib
WARN	duplicate_exact_synonym	UPHENO:0080515	oboInOwl:hasExactSynonym	bone humerus
WARN	duplicate_exact_synonym	UPHENO:0081409	oboInOwl:hasExactSynonym	bone humerus
WARN	duplicate_exact_synonym	UPHENO:0080477	oboInOwl:hasExactSynonym	bone epiphysis of first metatarsal bone
