Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	obo:VBO_0000892	oboInOwl:hasExactSynonym	Žemaitukai
WARN	duplicate_exact_synonym	obo:VBO_0010244	oboInOwl:hasExactSynonym	Žemaitukai
WARN	duplicate_exact_synonym	obo:VBO_0001291	oboInOwl:hasExactSynonym	Żelaźnieńska
WARN	duplicate_exact_synonym	obo:VBO_0014115	oboInOwl:hasExactSynonym	Żelaźnieńska
WARN	duplicate_exact_synonym	obo:VBO_0002733	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0002760	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0002763	oboInOwl:hasExactSynonym	Šarole
WARN	duplicate_exact_synonym	obo:VBO_0001305	oboInOwl:hasExactSynonym	Świniarka
WARN	duplicate_exact_synonym	obo:VBO_0014150	oboInOwl:hasExactSynonym	Świniarka
WARN	duplicate_exact_synonym	obo:VBO_0001100	oboInOwl:hasExactSynonym	Ñandú
WARN	duplicate_exact_synonym	obo:VBO_0011922	oboInOwl:hasExactSynonym	Ñandú
WARN	duplicate_exact_synonym	obo:VBO_0005306	oboInOwl:hasExactSynonym	Çukurova
WARN	duplicate_exact_synonym	obo:VBO_0011802	oboInOwl:hasExactSynonym	Çukurova
WARN	duplicate_exact_synonym	obo:VBO_0010341	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010344	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010345	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010350	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010354	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010355	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010371	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010376	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0010399	oboInOwl:hasExactSynonym	Árabe
WARN	duplicate_exact_synonym	obo:VBO_0004327	oboInOwl:hasExactSynonym	Zébu Peul Soudanais
WARN	duplicate_exact_synonym	obo:VBO_0004328	oboInOwl:hasExactSynonym	Zébu Peul Soudanais
WARN	duplicate_exact_synonym	obo:VBO_0004331	oboInOwl:hasExactSynonym	Zébu Peul Soudanais
WARN	duplicate_exact_synonym	obo:VBO_0013908	oboInOwl:hasExactSynonym	Zwergschecken
WARN	duplicate_exact_synonym	obo:VBO_0014040	oboInOwl:hasExactSynonym	Zwergschecken
WARN	duplicate_exact_synonym	obo:VBO_0007025	oboInOwl:hasExactSynonym	Zwerg-Yokohama
WARN	duplicate_exact_synonym	obo:VBO_0007520	oboInOwl:hasExactSynonym	Zwerg-Yokohama
WARN	duplicate_exact_synonym	obo:VBO_0007021	oboInOwl:hasExactSynonym	Zwerg-Sussex
WARN	duplicate_exact_synonym	obo:VBO_0007517	oboInOwl:hasExactSynonym	Zwerg-Sussex
WARN	duplicate_exact_synonym	obo:VBO_0007010	oboInOwl:hasExactSynonym	Zwerg-Phönix
WARN	duplicate_exact_synonym	obo:VBO_0007514	oboInOwl:hasExactSynonym	Zwerg-Phönix
WARN	duplicate_exact_synonym	obo:VBO_0006994	oboInOwl:hasExactSynonym	Zwerg-Kraienköppe
WARN	duplicate_exact_synonym	obo:VBO_0007509	oboInOwl:hasExactSynonym	Zwerg-Kraienköppe
WARN	duplicate_exact_synonym	obo:VBO_0006986	oboInOwl:hasExactSynonym	Zwerg-Hamburger
WARN	duplicate_exact_synonym	obo:VBO_0007508	oboInOwl:hasExactSynonym	Zwerg-Hamburger
WARN	duplicate_exact_synonym	obo:VBO_0006977	oboInOwl:hasExactSynonym	Zwerg-Cochin
WARN	duplicate_exact_synonym	obo:VBO_0007506	oboInOwl:hasExactSynonym	Zwerg-Cochin
