IRI	Label	Issue
http://purl.obolibrary.org/obo/VO_0000016	has vaccine conjugate protein	not an RO property
http://purl.obolibrary.org/obo/VO_0000138	has bacterial vaccine vector	not an RO property
http://purl.obolibrary.org/obo/VO_0000270	has vaccine contraindication	not an RO property
http://purl.obolibrary.org/obo/VO_0000281	has viral vaccine vector	not an RO property
http://purl.obolibrary.org/obo/VO_0000369	has dna vaccine plasmid	not an RO property
http://purl.obolibrary.org/obo/VO_0000445	infection_of	not an RO property
http://purl.obolibrary.org/obo/VO_0000462	induced by vaccination of	not an RO property
http://purl.obolibrary.org/obo/VO_0000476	has dna vaccine antigen gene	not an RO property
http://purl.obolibrary.org/obo/VO_0000520	has vaccine component	not an RO property
http://purl.obolibrary.org/obo/VO_0000524	has vaccine antigen	not an RO property
http://purl.obolibrary.org/obo/VO_0000525	has subunit vaccine antigen	not an RO property
http://purl.obolibrary.org/obo/VO_0000527	has vaccine protective antigen	not an RO property
http://purl.obolibrary.org/obo/VO_0000529	has vaccine adjuvant	not an RO property
http://purl.obolibrary.org/obo/VO_0000530	has vaccine vector	not an RO property
http://purl.obolibrary.org/obo/VO_0000531	has vaccine allergen	not an RO property
http://purl.obolibrary.org/obo/VO_0000537	vaccine organism secretes	not an RO property
http://purl.obolibrary.org/obo/VO_0000538	has vaccine preservative	not an RO property
http://purl.obolibrary.org/obo/VO_0000547	vaccinated in route	not an RO property
http://purl.obolibrary.org/obo/VO_0000553	has vaccinee	not an RO property
http://purl.obolibrary.org/obo/VO_0000608	dna vaccine expresses protein antigen	not an RO property
http://purl.obolibrary.org/obo/VO_0000638	vaccinates	not an RO property
http://purl.obolibrary.org/obo/VO_0000711	has_vaccine_allergen	not an RO property
http://purl.obolibrary.org/obo/VO_0000799	vaccine organism has mutation	not an RO property
http://purl.obolibrary.org/obo/VO_0000818	has vaccine virmugen	not an RO property
http://purl.obolibrary.org/obo/VO_0000894	has subunit vaccine protective antigen	not an RO property
http://purl.obolibrary.org/obo/VO_0000908	is_distributed_by	not an RO property
http://purl.obolibrary.org/obo/VO_0001011	immunizes against disease	not an RO property
http://purl.obolibrary.org/obo/VO_0001039	has gene mutation	not an RO property
http://purl.obolibrary.org/obo/VO_0001243	immunizes host	not an RO property
http://purl.obolibrary.org/obo/VO_0003127	has prime vaccine	not an RO property
http://purl.obolibrary.org/obo/VO_0003128	has boost vaccine	not an RO property
http://purl.obolibrary.org/obo/VO_0003355	immunizes against microbe	not an RO property
http://purl.obolibrary.org/obo/VO_0004909	immunizes against disease process	not an RO property
http://purl.obolibrary.org/obo/VO_0005242	up-expressed as immune signature of	not an RO property
