Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/v.owl	dc:license	
ERROR	duplicate_label	Yersinia pestis smpB/ssrA mutant vaccine	rdfs:label	Yersinia pestis smpB/ssrA mutant vaccine
ERROR	duplicate_label	Yersinia pestis smpB/ssrA mutant vaccine	rdfs:label	Yersinia pestis smpB/ssrA mutant vaccine
ERROR	duplicate_label	Yersinia pestis guaBA mutant vaccine	rdfs:label	Yersinia pestis guaBA mutant vaccine
ERROR	duplicate_label	Yersinia pestis guaBA mutant vaccine	rdfs:label	Yersinia pestis guaBA mutant vaccine
ERROR	duplicate_label	Western equine encephalomyelitis virus PE2/E2 mutant virus	rdfs:label	Western equine encephalomyelitis virus PE2/E2 mutant virus
ERROR	duplicate_label	Western equine encephalomyelitis virus PE2/E2 mutant virus	rdfs:label	Western equine encephalomyelitis virus PE2/E2 mutant virus
ERROR	duplicate_label	Western equine encephalomyelitis virus PE2/E1 mutant vaccine	rdfs:label	Western equine encephalomyelitis virus PE2/E1 mutant vaccine
ERROR	duplicate_label	Western equine encephalomyelitis virus PE2/E1 mutant vaccine	rdfs:label	Western equine encephalomyelitis virus PE2/E1 mutant vaccine
ERROR	duplicate_label	WEEV Subunit E2 Protein Vaccine	rdfs:label	WEEV Subunit E2 Protein Vaccine
ERROR	duplicate_label	WEEV Subunit E2 Protein Vaccine	rdfs:label	WEEV Subunit E2 Protein Vaccine
ERROR	duplicate_label	WEEV DNA Vaccine encoding 6K-E1 Protein	rdfs:label	WEEV DNA Vaccine encoding 6K-E1 Protein
ERROR	duplicate_label	WEEV DNA Vaccine encoding 6K-E1 Protein	rdfs:label	WEEV DNA Vaccine encoding 6K-E1 Protein
ERROR	duplicate_label	VP7	rdfs:label	VP7
ERROR	duplicate_label	VP7	rdfs:label	VP7
ERROR	duplicate_label	VP6	rdfs:label	VP6
ERROR	duplicate_label	VP6	rdfs:label	VP6
ERROR	duplicate_label	VP6	rdfs:label	VP6
ERROR	duplicate_label	VP4	rdfs:label	VP4
ERROR	duplicate_label	VP4	rdfs:label	VP4
ERROR	duplicate_label	VP4	rdfs:label	VP4
ERROR	duplicate_label	VP2	rdfs:label	VP2
ERROR	duplicate_label	VP2	rdfs:label	VP2
ERROR	duplicate_label	virG from Shigella	rdfs:label	virG from Shigella
ERROR	duplicate_label	virG from Shigella	rdfs:label	virG from Shigella
ERROR	duplicate_label	VEE Virus PE2/E1 mutant vaccine	rdfs:label	VEE Virus PE2/E1 mutant vaccine
ERROR	duplicate_label	VEE Virus PE2/E1 mutant vaccine	rdfs:label	VEE Virus PE2/E1 mutant vaccine
ERROR	duplicate_label	US6	rdfs:label	US6
ERROR	duplicate_label	US6	rdfs:label	US6
ERROR	duplicate_label	US6	rdfs:label	US6
ERROR	duplicate_label	UL44	rdfs:label	UL44
ERROR	duplicate_label	UL44	rdfs:label	UL44
ERROR	duplicate_label	UL44	rdfs:label	UL44
ERROR	duplicate_label	TSA	rdfs:label	TSA
ERROR	duplicate_label	TSA	rdfs:label	TSA
ERROR	duplicate_label	Toxoplasma gondii OMPDC/UP mutant vaccine	rdfs:label	Toxoplasma gondii OMPDC/UP mutant vaccine
ERROR	duplicate_label	Toxoplasma gondii OMPDC/UP mutant vaccine	rdfs:label	Toxoplasma gondii OMPDC/UP mutant vaccine
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.29)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.29)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.29)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.29)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.26)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.26)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.26)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.26)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.24)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.24)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.24)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.24)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.23)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.23)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.23)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.23)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.22)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.22)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.22)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.22)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.12)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.12)
ERROR	duplicate_label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.12)	rdfs:label	Swine Influenza H1N1 & H3N2, Killed Virus Vaccine (USDA: 19A5.12)
ERROR	duplicate_label	siaD from Neisseria meningitidis	rdfs:label	siaD from Neisseria meningitidis
ERROR	duplicate_label	siaD from Neisseria meningitidis	rdfs:label	siaD from Neisseria meningitidis
ERROR	duplicate_label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine	rdfs:label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine
ERROR	duplicate_label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine	rdfs:label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine
ERROR	duplicate_label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine	rdfs:label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine
ERROR	duplicate_label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine	rdfs:label	Shigella sonnei virG/senA/senB/msbB2 mutant vaccine
