Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	blood chylomicron cholesterol amount	IAO:0000115	The proportion, quantity, or volume in whole blood, serum, or plasma of the cholesterol associated with lipoprotein complexes that transport exogenous triglycerides and cholesterol from the intestines to other tissues.
ERROR	duplicate_definition	blood chylomicron triglyceride amount	IAO:0000115	The proportion, quantity, or volume in whole blood, serum, or plasma of the cholesterol associated with lipoprotein complexes that transport exogenous triglycerides and cholesterol from the intestines to other tissues.
ERROR	duplicate_definition	toll-like receptor 2 protein amount	IAO:0000115	The proportion, quantity, or volume in serum of this membrane protein which is expressed on the surface of certain cells and plays a role in immune response.
ERROR	duplicate_definition	toll-like receptor 9 protein amount	IAO:0000115	The proportion, quantity, or volume in serum of this membrane protein which is expressed on the surface of certain cells and plays a role in immune response.
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/TEMP	dc11:description	
ERROR	duplicate_label	pulmonary blood flow trait	rdfs:label	pulmonary blood flow trait
ERROR	duplicate_label	pulmonary blood flow trait	rdfs:label	pulmonary blood flow trait
ERROR	duplicate_label	ear orientation trait	rdfs:label	ear orientation trait
ERROR	duplicate_label	ear orientation trait	rdfs:label	ear orientation trait
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/TEMP	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/TEMP	dc11:title	
WARN	annotation_whitespace	Meissner's corpuscle morphology trait	oboInOwl:hasExactSynonym	"tactile corpuscle morphology trait	"
WARN	annotation_whitespace	epidermis stratum basale morphology trait	oboInOwl:hasExactSynonym	stratum basale epidermis morphology trait 
WARN	annotation_whitespace	epidermis stratum basale morphology trait	oboInOwl:hasExactSynonym	stratum germinativum morphology trait 
WARN	annotation_whitespace	penile erection physiology trait	oboInOwl:hasRelatedSynonym	penile erection function 
WARN	annotation_whitespace	hematopoiesis trait	oboInOwl:hasExactSynonym	blood development trait 
WARN	annotation_whitespace	B cell antigen presentation trait	oboInOwl:hasExactSynonym	lymphocyte antigen presentation 
WARN	annotation_whitespace	Langerhans cell antigen presentation trait	oboInOwl:hasExactSynonym	interdigitating reticular cell antigen presentation 
WARN	annotation_whitespace	skull size trait	oboInOwl:hasExactSynonym	"cranium size trait	"
WARN	annotation_whitespace	menarche initiation trait	oboInOwl:hasExactSynonym	"onset of menarche	"
WARN	annotation_whitespace	saccular macula morphology trait	oboInOwl:hasRelatedSynonym	saccular spot morphology trait 
WARN	annotation_whitespace	zygomatic bone morphology trait	oboInOwl:hasExactSynonym	 jugal bone morphology trait
WARN	annotation_whitespace	T-helper 1 cell quantity	oboInOwl:hasExactSynonym	 T helper 1 cell number
WARN	annotation_whitespace	B-1b B cell morphology trait	oboInOwl:hasExactSynonym	 B-1b B-cell morphology trait
WARN	annotation_whitespace	colon mass	oboInOwl:hasRelatedSynonym	tissue weight of the colon 
WARN	annotation_whitespace	hindlimb muscle mass	oboInOwl:hasNarrowSynonym	ham muscle mass 
WARN	duplicate_exact_synonym	interatrial septum configuration trait	oboInOwl:hasExactSynonym	atrium septum morphology trait
WARN	duplicate_exact_synonym	interatrial septum morphology trait	oboInOwl:hasExactSynonym	atrium septum morphology trait
WARN	missing_definition	mammary gland secreted fluid morphology trait	IAO:0000115	
WARN	missing_definition	mammary gland growth trait	IAO:0000115	
WARN	missing_definition	total urine protein amount	IAO:0000115	
WARN	missing_definition	total milk casein amount	IAO:0000115	
WARN	missing_definition	total milk mineral amount	IAO:0000115	
WARN	missing_definition	organism trait	IAO:0000115	
WARN	missing_definition	maternal behavior trait	IAO:0000115	
WARN	missing_definition	maternal nurturing trait	IAO:0000115	
WARN	missing_definition	cranium mass	IAO:0000115	
WARN	missing_definition	touch perception trait	IAO:0000115	
WARN	missing_obsolete_label	red blood cell quantity	rdfs:label	red blood cell quantity
WARN	missing_obsolete_label	ear orientation trait	rdfs:label	ear orientation trait
WARN	missing_obsolete_label	total urine molecular amount	rdfs:label	total urine molecular amount
WARN	missing_obsolete_label	blood morphology trait	rdfs:label	blood morphology trait
WARN	missing_obsolete_label	blood circulatory physiology trait	rdfs:label	blood circulatory physiology trait
WARN	missing_obsolete_label	lymph circulatory physiology trait	rdfs:label	lymph circulatory physiology trait
WARN	missing_obsolete_label	blood molecular composition trait	rdfs:label	blood molecular composition trait
WARN	missing_obsolete_label	blood flow velocity	rdfs:label	blood flow velocity
WARN	missing_obsolete_label	blood vessel proliferation trait	rdfs:label	blood vessel proliferation trait
WARN	missing_obsolete_label	cardiac output amount	rdfs:label	cardiac output amount
