Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/xco.owl	dc:title	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/xco.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/xco.owl	dc:license	
WARN	missing_obsolete_label	drink with chemical additive	rdfs:label	drink with chemical additive
WARN	missing_obsolete_label	water with NG-Nitroarginine Methyl Ester	rdfs:label	water with NG-Nitroarginine Methyl Ester
WARN	missing_obsolete_label	null	rdfs:label	null
WARN	missing_definition	standard rat chow	IAO:0000115	
WARN	missing_definition	housing condition	IAO:0000115	
WARN	missing_definition	individual housing	IAO:0000115	
WARN	missing_definition	housing in pairs	IAO:0000115	
WARN	missing_definition	housing with socially dominant partner	IAO:0000115	
WARN	missing_definition	housing with socially subordinate partner	IAO:0000115	
WARN	missing_definition	body position change, seated to standing	IAO:0000115	
WARN	missing_definition	body position change, supine to standing	IAO:0000115	
WARN	missing_definition	standard diet	IAO:0000115	
WARN	missing_definition	tea	IAO:0000115	
WARN	missing_definition	stationary bicycle dynamometer	IAO:0000115	
WARN	missing_definition	specific pathogen-free conditions	IAO:0000115	
WARN	missing_definition	temperature exposure	IAO:0000115	
WARN	missing_definition	enzyme substrate	IAO:0000115	
WARN	missing_definition	neurotransmitter	IAO:0000115	
WARN	missing_definition	chemical time series	IAO:0000115	
WARN	missing_definition	hepatectomy	IAO:0000115	
WARN	missing_definition	partial hepatectomy	IAO:0000115	
WARN	missing_definition	controlled sucrose content diet	IAO:0000115	
WARN	missing_definition	controlled copper content diet	IAO:0000115	
WARN	missing_definition	arginine	IAO:0000115	
WARN	missing_definition	adrenomedulin	IAO:0000115	
WARN	missing_definition	controlled hydralazine hydrochloride content drinking water	IAO:0000115	
WARN	missing_definition	controlled tolvaptan content diet	IAO:0000115	
WARN	missing_definition	controlled vancomycin content drinking water	IAO:0000115	
WARN	missing_definition	controlled meropenem content drinking water	IAO:0000115	
WARN	missing_definition	Gnai2 antisense oligonucleotide	IAO:0000115	
WARN	missing_definition	surgical manipulation of blood vessels	IAO:0000115	
WARN	missing_definition	tritiated quinidine	IAO:0000115	
WARN	missing_definition	tritiated digoxin	IAO:0000115	
WARN	missing_definition	controlled exposure to a foster mother of a different strain within the same species.	IAO:0000115	
INFO	lowercase_definition	polyfructosan	IAO:0000115	a A hormone cocktail designed to stabilize the circulating levels of the most important sodium-retaining and waterretaining hormones. It contained d-aldosterone (66 ng/kg per min), hydrocortisone (33 ng/kg per min), norepinephrine (333 ng/kg per min) and Arg8-vasopressin acetate (0.17 ng/kg per min).
INFO	missing_superclass	experimental condition	rdfs:subClassOf	
