Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	increased cell population proliferation in myotome	rdfs:label	increased cell population proliferation in myotome
ERROR	duplicate_label	increased cell population proliferation in myotome	rdfs:label	increased cell population proliferation in myotome
ERROR	multiple_labels	abnormally localised cement gland	rdfs:label	abnormally localised cement gland
ERROR	multiple_labels	abnormally localised cement gland	rdfs:label	mislocalized cement gland
ERROR	multiple_labels	mislocalized head	rdfs:label	abnormally localised head
ERROR	multiple_labels	mislocalized head	rdfs:label	mislocalized head
ERROR	multiple_labels	abnormally localised neural tube	rdfs:label	abnormally localised neural tube
ERROR	multiple_labels	abnormally localised neural tube	rdfs:label	mislocalized neural tube
ERROR	multiple_labels	mislocalized tail	rdfs:label	abnormally localised tail
ERROR	multiple_labels	mislocalized tail	rdfs:label	mislocalized tail
ERROR	multiple_labels	abnormally localised utricle	rdfs:label	abnormally localised utricle
ERROR	multiple_labels	abnormally localised utricle	rdfs:label	mislocalized utricle
ERROR	label_whitespace	abnormal anterior-posterior axis, curved dorsal 	rdfs:label	abnormal anterior-posterior axis, curved dorsal 
ERROR	label_whitespace	obsolete malformed right eye 	rdfs:label	obsolete malformed right eye 
ERROR	label_whitespace	abnormal bending of anterior-posterior axis 	rdfs:label	abnormal bending of anterior-posterior axis 
ERROR	label_whitespace	abnormal bending of humerus 	rdfs:label	abnormal bending of humerus 
ERROR	label_whitespace	abnormal bending of anterior neural tube 	rdfs:label	abnormal bending of anterior neural tube 
ERROR	label_whitespace	abnormal bending of tail 	rdfs:label	abnormal bending of tail 
ERROR	label_whitespace	abnormal bending of dorsal tail 	rdfs:label	abnormal bending of dorsal tail 
ERROR	label_whitespace	abnormal bending of dorsal trunk 	rdfs:label	abnormal bending of dorsal trunk 
ERROR	label_whitespace	abnormal bending of left-right axis 	rdfs:label	abnormal bending of left-right axis 
ERROR	label_whitespace	abnormal anterior-posterior axis, curved lateral 	rdfs:label	abnormal anterior-posterior axis, curved lateral 
ERROR	label_whitespace	abnormal anterior-posterior axis, curved ventral 	rdfs:label	abnormal anterior-posterior axis, curved ventral 
ERROR	label_whitespace	abnormally coiled small intestine 	rdfs:label	abnormally coiled small intestine 
ERROR	label_whitespace	abnormally decreased coiling of small intestine 	rdfs:label	abnormally decreased coiling of small intestine 
ERROR	label_whitespace	abnormally decreased coiling of external coil of the small intestine 	rdfs:label	abnormally decreased coiling of external coil of the small intestine 
ERROR	label_whitespace	abnormally decreased coiling of internal coil of the small intestine 	rdfs:label	abnormally decreased coiling of internal coil of the small intestine 
WARN	missing_obsolete_label	abnormally increased number of multiciliated cell in the epidermis inner layer	rdfs:label	abnormally increased number of multiciliated cell in the epidermis inner layer
WARN	missing_obsolete_label	decreased length of posterior region	rdfs:label	decreased length of posterior region
WARN	missing_obsolete_label	abnormally decreased number of multiciliated cell in the epidermis outer layer	rdfs:label	abnormally decreased number of multiciliated cell in the epidermis outer layer
WARN	missing_obsolete_label	abnormal bending of dorsal tail 	rdfs:label	abnormal bending of dorsal tail 
INFO	lowercase_definition	decreased width of the cartilage element in head	IAO:0000115	skinny or decreased width of the cartilage element in head.
INFO	lowercase_definition	increased length of the somite	IAO:0000115	longer, increased length of, somite
INFO	lowercase_definition	increased length of the anterior-posterior axis	IAO:0000115	longer, increased length of, anterior-posterior axis
INFO	lowercase_definition	decreased width of the cement gland	IAO:0000115	skinny or decreased width of the cement gland.
INFO	lowercase_definition	decreased width of the craniofacial region	IAO:0000115	skinny or decreased width of the craniofacial region.
INFO	lowercase_definition	decreased width of the head	IAO:0000115	skinny or decreased width of the head.
INFO	lowercase_definition	decreased width of the mouth	IAO:0000115	skinny or decreased width of the mouth.
INFO	lowercase_definition	decreased width of the neural plate	IAO:0000115	skinny or decreased width of the neural plate.
INFO	lowercase_definition	decreased width of the pre-chordal neural plate	IAO:0000115	skinny or decreased width of the pre-chordal neural plate.
INFO	lowercase_definition	decreased alpha-tubulin acetylation	IAO:0000115	decreased alpha-tubulin acetylation.
