Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	ZP:0000001	rdfs:label	zebrafish anatomical entity quality, abnormal
ERROR	duplicate_label	ZP:0107311	rdfs:label	zebrafish anatomical entity quality, abnormal
ERROR	duplicate_label	ZP:0000673	rdfs:label	slow muscle cell decreased process quality muscle cell development, abnormal
ERROR	duplicate_label	ZP:0139843	rdfs:label	slow muscle cell decreased process quality muscle cell development, abnormal
ERROR	duplicate_label	ZP:0011867	rdfs:label	Rohon-Beard neuron decreased occurrence endocytic recycling, abnormal
ERROR	duplicate_label	ZP:0139915	rdfs:label	Rohon-Beard neuron decreased occurrence endocytic recycling, abnormal
ERROR	duplicate_label	ZP:0103997	rdfs:label	retina delayed regulation of cell cycle, abnormal
ERROR	duplicate_label	ZP:0140650	rdfs:label	retina delayed regulation of cell cycle, abnormal
ERROR	duplicate_label	ZP:0014959	rdfs:label	response to xenobiotic stimulus quality, abnormal
ERROR	duplicate_label	ZP:0139758	rdfs:label	response to xenobiotic stimulus quality, abnormal
ERROR	duplicate_label	ZP:0106949	rdfs:label	response to xenobiotic stimulus process quality, abnormal
ERROR	duplicate_label	ZP:0140669	rdfs:label	response to xenobiotic stimulus process quality, abnormal
ERROR	duplicate_label	ZP:0014042	rdfs:label	response to xenobiotic stimulus increased intensity, abnormal
ERROR	duplicate_label	ZP:0015158	rdfs:label	response to xenobiotic stimulus increased intensity, abnormal
ERROR	duplicate_label	ZP:0014041	rdfs:label	response to xenobiotic stimulus decreased intensity, abnormal
ERROR	duplicate_label	ZP:0139724	rdfs:label	response to xenobiotic stimulus decreased intensity, abnormal
ERROR	duplicate_label	ZP:0013788	rdfs:label	regulation of cell cycle process quality, abnormal
ERROR	duplicate_label	ZP:0014579	rdfs:label	regulation of cell cycle process quality, abnormal
ERROR	duplicate_label	ZP:0005094	rdfs:label	regulation of cell cycle increased occurrence, abnormal
ERROR	duplicate_label	ZP:0009021	rdfs:label	regulation of cell cycle increased occurrence, abnormal
ERROR	duplicate_label	ZP:0139802	rdfs:label	regulation of cell cycle increased occurrence, abnormal
ERROR	duplicate_label	ZP:0006866	rdfs:label	regulation of cell cycle increased duration, abnormal
ERROR	duplicate_label	ZP:0139737	rdfs:label	regulation of cell cycle increased duration, abnormal
ERROR	duplicate_label	ZP:0002335	rdfs:label	regulation of cell cycle disrupted, abnormal
ERROR	duplicate_label	ZP:0005093	rdfs:label	regulation of cell cycle disrupted, abnormal
ERROR	duplicate_label	ZP:0006719	rdfs:label	regulation of cell cycle disrupted, abnormal
ERROR	duplicate_label	ZP:0010159	rdfs:label	regulation of cell cycle delayed, abnormal
ERROR	duplicate_label	ZP:0140470	rdfs:label	regulation of cell cycle delayed, abnormal
ERROR	duplicate_label	ZP:0105655	rdfs:label	regulation of cell cycle decreased process quality, abnormal
ERROR	duplicate_label	ZP:0139742	rdfs:label	regulation of cell cycle decreased process quality, abnormal
ERROR	duplicate_label	ZP:0008876	rdfs:label	nuclear pore localization disrupted, abnormal
ERROR	duplicate_label	ZP:0140190	rdfs:label	nuclear pore localization disrupted, abnormal
ERROR	duplicate_label	ZP:0013393	rdfs:label	muscle cell development process quality, abnormal
ERROR	duplicate_label	ZP:0139716	rdfs:label	muscle cell development process quality, abnormal
ERROR	duplicate_label	ZP:0002005	rdfs:label	muscle cell development disrupted, abnormal
ERROR	duplicate_label	ZP:0004377	rdfs:label	muscle cell development disrupted, abnormal
ERROR	duplicate_label	ZP:0013929	rdfs:label	molecular_function quality, abnormal
ERROR	duplicate_label	ZP:0131286	rdfs:label	molecular_function quality, abnormal
ERROR	duplicate_label	ZP:0014150	rdfs:label	mitotic G2 DNA damage checkpoint signaling disrupted, abnormal
ERROR	duplicate_label	ZP:0139827	rdfs:label	mitotic G2 DNA damage checkpoint signaling disrupted, abnormal
ERROR	duplicate_label	ZP:0020995	rdfs:label	liver increased accumulation lipid droplet liver, abnormal
ERROR	duplicate_label	ZP:0145588	rdfs:label	liver increased accumulation lipid droplet liver, abnormal
ERROR	duplicate_label	ZP:0020381	rdfs:label	head muscle delayed muscle cell development, abnormal
ERROR	duplicate_label	ZP:0140564	rdfs:label	head muscle delayed muscle cell development, abnormal
